Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.48,24.6%,"4,984",13.2%
Jhin,S,3.72,20.9%,"6,575",17.4%
Shen,S,3.78,20.1%,"6,038",16.0%
Sona,S,3.89,18.3%,"4,221",11.2%
Fiora,S,3.89,19.3%,"6,327",16.8%
Bard,S,3.99,18.4%,"5,803",15.4%
Zed,S,4.01,24.5%,550,1.5%
Blitzcrank,S,4.04,17.2%,"7,196",19.1%
Rhaast,S,4.09,16.3%,"8,114",21.5%
Kindred,S,4.11,13.0%,"7,670",20.3%
Teemo,S,4.19,11.0%,"2,584",6.8%
Vex,A,4.22,18.1%,"3,469",9.2%
Bel'Veth,A,4.23,12.2%,"6,873",18.2%
Master Yi,A,4.24,13.2%,"5,953",15.8%
Riven,A,4.27,13.7%,"8,097",21.4%
Caitlyn,A,4.28,11.4%,"2,527",6.7%
Corki,A,4.31,12.6%,"4,601",12.2%
Rek'Sai,A,4.31,10.3%,"3,150",8.3%
Tahm Kench,A,4.32,15.2%,"11,096",29.4%
Talon,A,4.34,11.4%,"2,646",7.0%
Briar,A,4.36,9.9%,"2,905",7.7%
Aatrox,A,4.36,13.9%,"6,744",17.9%
Gragas,A,4.36,12.3%,"4,629",12.3%
Nami,B,4.40,11.0%,"3,151",8.3%
Kai'Sa,B,4.40,12.3%,"6,186",16.4%
Akali,B,4.41,12.6%,"9,501",25.2%
Twisted Fate,B,4.42,11.7%,"3,332",8.8%
Karma,B,4.43,13.4%,"9,380",24.8%
Urgot,B,4.44,13.3%,"7,795",20.6%
Maokai,B,4.44,13.2%,"11,614",30.8%
Milio,B,4.45,12.8%,"6,067",16.1%
The Mighty Mech,B,4.46,13.4%,"6,876",18.2%
Graves,B,4.47,17.3%,"2,618",6.9%
Mordekaiser,B,4.48,12.4%,"12,894",34.1%
Nasus,B,4.49,9.6%,"2,841",7.5%
Zoe,B,4.49,9.2%,"3,104",8.2%
Nunu & Willump,B,4.50,13.7%,"11,321",30.0%
Xayah,B,4.51,15.9%,"3,888",10.3%
Gwen,B,4.52,10.6%,"1,951",5.2%
Jax,B,4.52,13.3%,"6,323",16.7%
Lissandra,B,4.53,10.5%,"6,903",18.3%
Aurelion Sol,B,4.55,18.4%,"1,405",3.7%
Leona,B,4.55,9.8%,"4,708",12.5%
Illaoi,B,4.56,11.2%,"9,572",25.3%
Meepsie,B,4.57,11.6%,"9,641",25.5%
Cho'Gath,B,4.60,12.4%,"5,864",15.5%
Rammus,B,4.60,12.3%,"7,427",19.7%
Fizz,B,4.60,11.5%,"3,380",8.9%
LeBlanc,C,4.61,9.6%,"3,359",8.9%
Lulu,C,4.66,13.9%,"1,859",4.9%
Poppy,C,4.68,11.4%,"3,409",9.0%
Veigar,C,4.68,13.4%,"1,334",3.5%
Pyke,C,4.69,8.5%,"1,699",4.5%
Gnar,C,4.71,15.6%,"2,091",5.5%
Pantheon,C,4.72,12.1%,"5,923",15.7%
Viktor,C,4.76,9.0%,"1,088",2.9%
Samira,D,4.80,12.5%,"1,228",3.3%
Ornn,D,4.87,10.3%,"2,739",7.3%
Ezreal,D,4.90,13.2%,"2,545",6.7%
Aurora,D,4.91,10.8%,"2,394",6.3%
Miss Fortune,D,4.95,11.2%,699,1.9%
Diana,D,5.03,11.3%,629,1.7%
Jinx,D,5.09,14.8%,582,1.5%
