Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.39,24.5%,"44,779",10.9%
Rhaast,S,3.58,21.4%,"84,834",20.7%
Shen,S,3.73,19.4%,"56,619",13.8%
Jhin,S,3.76,20.0%,"63,400",15.5%
Bard,S,3.89,18.1%,"57,216",14.0%
Sona,S,3.90,18.3%,"34,397",8.4%
Blitzcrank,S,3.95,19.1%,"63,378",15.5%
Fiora,S,3.95,18.4%,"81,376",19.9%
Zed,S,4.08,25.3%,"6,530",1.6%
Nami,A,4.21,12.5%,"24,286",5.9%
Teemo,A,4.24,12.2%,"32,131",7.8%
Kindred,A,4.24,13.6%,"102,223",24.9%
Zoe,A,4.30,12.0%,"34,653",8.5%
Rek'Sai,A,4.33,12.0%,"32,633",8.0%
Master Yi,A,4.34,13.4%,"88,016",21.5%
Vex,A,4.35,17.8%,"27,911",6.8%
Bel'Veth,A,4.35,12.9%,"99,897",24.4%
Riven,A,4.36,11.8%,"113,174",27.6%
Kai'Sa,A,4.37,13.0%,"77,104",18.8%
Tahm Kench,A,4.38,14.7%,"133,116",32.5%
Gragas,A,4.39,13.1%,"81,933",20.0%
Karma,B,4.40,14.3%,"87,746",21.4%
The Mighty Mech,B,4.42,11.9%,"103,609",25.3%
Urgot,B,4.42,13.9%,"94,132",23.0%
Maokai,B,4.43,14.0%,"131,944",32.2%
Nasus,B,4.44,11.0%,"29,494",7.2%
Cho'Gath,B,4.44,12.9%,"75,522",18.4%
Corki,B,4.44,9.9%,"84,195",20.5%
Mordekaiser,B,4.45,13.1%,"126,660",30.9%
Aatrox,B,4.46,14.8%,"67,337",16.4%
Leona,B,4.46,11.3%,"47,707",11.6%
Pyke,B,4.47,11.2%,"11,869",2.9%
Milio,B,4.48,11.1%,"109,707",26.8%
Talon,B,4.48,11.3%,"22,978",5.6%
Caitlyn,B,4.48,10.6%,"22,428",5.5%
Nunu & Willump,B,4.49,14.7%,"93,783",22.9%
Twisted Fate,B,4.49,13.3%,"48,463",11.8%
Briar,B,4.49,10.8%,"28,722",7.0%
Lulu,B,4.51,15.1%,"33,359",8.1%
Lissandra,B,4.53,11.3%,"73,836",18.0%
Illaoi,B,4.55,11.7%,"84,354",20.6%
Meepsie,B,4.57,10.4%,"116,213",28.4%
Pantheon,B,4.57,14.1%,"61,807",15.1%
Fizz,B,4.57,8.8%,"67,812",16.6%
Jax,B,4.57,13.5%,"66,246",16.2%
LeBlanc,B,4.58,11.3%,"25,133",6.1%
Akali,B,4.58,12.7%,"73,271",17.9%
Graves,B,4.58,17.7%,"21,323",5.2%
Rammus,C,4.63,9.9%,"93,685",22.9%
Xayah,C,4.68,14.8%,"23,367",5.7%
Gwen,C,4.69,9.3%,"14,161",3.5%
Aurelion Sol,C,4.71,20.7%,"8,907",2.2%
Viktor,C,4.74,9.0%,"6,480",1.6%
Poppy,D,4.81,8.0%,"61,003",14.9%
Veigar,D,4.90,13.0%,"8,453",2.1%
Samira,D,4.92,11.7%,"5,415",1.3%
Ezreal,D,4.95,13.3%,"10,984",2.7%
Miss Fortune,D,4.96,10.8%,"3,411",0.8%
Gnar,D,5.02,13.0%,"14,426",3.5%
Ornn,D,5.05,9.7%,"10,884",2.7%
Aurora,D,5.27,10.3%,"8,759",2.1%
Diana,D,5.31,9.2%,"5,191",1.3%
Jinx,D,5.51,13.0%,"5,635",1.4%
