Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.34,42.9%,212,0.0%
Jhin,S,3.78,20.4%,"117,409",19.4%
Shen,S,3.87,20.0%,"133,552",22.0%
Rhaast,S,3.98,18.3%,"171,540",28.3%
Bard,S,3.99,16.9%,"128,908",21.3%
Morgana,S,3.99,19.8%,"71,145",11.7%
Blitzcrank,S,4.01,19.0%,"239,331",39.5%
Sona,S,4.08,16.6%,"117,428",19.4%
Fiora,A,4.20,17.9%,"103,007",17.0%
Teemo,A,4.21,15.3%,"39,048",6.4%
Nami,A,4.28,13.7%,"92,227",15.2%
Vex,A,4.30,18.7%,"95,755",15.8%
Kindred,A,4.31,10.2%,"68,546",11.3%
Gwen,A,4.31,13.5%,"83,751",13.8%
Karma,A,4.33,13.9%,"157,650",26.0%
The Mighty Mech,A,4.35,11.4%,"107,036",17.7%
Zed,A,4.37,17.2%,"7,979",1.3%
Master Yi,A,4.38,10.3%,"57,800",9.5%
Riven,A,4.38,10.5%,"109,660",18.1%
Pyke,A,4.39,9.5%,"27,666",4.6%
Samira,B,4.41,14.5%,"81,160",13.4%
Corki,B,4.42,8.9%,"74,432",12.3%
Ornn,B,4.44,12.5%,"118,311",19.5%
Meepsie,B,4.45,11.5%,"209,037",34.5%
Tahm Kench,B,4.46,14.0%,"181,916",30.0%
Xayah,B,4.46,15.6%,"73,098",12.1%
Gragas,B,4.46,9.4%,"66,477",11.0%
Milio,B,4.47,9.3%,"85,635",14.1%
Nunu & Willump,B,4.47,15.1%,"245,544",40.5%
Urgot,B,4.47,10.6%,"85,999",14.2%
Rammus,B,4.48,9.8%,"107,724",17.8%
Lulu,B,4.48,11.9%,"27,740",4.6%
Nasus,B,4.48,13.3%,"74,504",12.3%
Graves,B,4.48,18.9%,"74,679",12.3%
Fizz,B,4.50,8.6%,"65,794",10.9%
Maokai,B,4.50,12.2%,"181,638",30.0%
Aatrox,B,4.50,14.5%,"161,723",26.7%
Bel'Veth,B,4.51,8.7%,"75,047",12.4%
Pantheon,B,4.51,11.5%,"99,941",16.5%
Mordekaiser,B,4.52,12.7%,"180,651",29.8%
Viktor,B,4.52,9.4%,"18,596",3.1%
Gnar,B,4.53,12.4%,"27,038",4.5%
Kai'Sa,B,4.55,11.0%,"36,078",6.0%
Cho'Gath,B,4.55,11.4%,"48,817",8.1%
Jax,B,4.55,13.5%,"95,680",15.8%
Twisted Fate,B,4.56,10.8%,"26,280",4.3%
Akali,B,4.59,14.6%,"87,836",14.5%
Illaoi,C,4.63,12.0%,"150,208",24.8%
Aurelion Sol,C,4.64,11.9%,"39,089",6.5%
Poppy,C,4.65,8.4%,"65,248",10.8%
Miss Fortune,C,4.67,6.6%,"30,804",5.1%
Lissandra,C,4.69,9.5%,"56,548",9.3%
Rek'Sai,D,4.81,7.9%,"18,174",3.0%
LeBlanc,D,4.81,9.2%,"43,227",7.1%
Diana,D,4.81,9.4%,"22,805",3.8%
Leona,D,4.82,9.8%,"64,267",10.6%
Ezreal,D,4.82,11.3%,"17,608",2.9%
Caitlyn,D,4.87,6.6%,"11,137",1.8%
Jinx,D,4.96,10.4%,"23,882",3.9%
Talon,D,5.00,7.8%,"8,634",1.4%
Veigar,D,5.01,12.7%,"6,962",1.1%
Aurora,D,5.07,12.2%,"16,680",2.8%
Zoe,D,5.16,5.8%,"16,180",2.7%
Briar,D,5.56,5.7%,"13,165",2.2%
