Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.92,19.2%,"104,692",20.5%
Shen,S,4.05,17.4%,"149,724",29.3%
Bard,S,4.06,16.8%,"112,194",22.0%
Sona,S,4.06,16.5%,"62,698",12.3%
Jhin,S,4.10,16.8%,"49,630",9.7%
Nami,S,4.10,14.4%,"73,076",14.3%
Fiora,S,4.14,17.8%,"108,006",21.2%
Blitzcrank,S,4.15,16.4%,"143,059",28.0%
Rhaast,S,4.16,13.2%,"84,262",16.5%
Pyke,S,4.18,11.1%,"51,761",10.1%
Lissandra,S,4.20,11.3%,"62,704",12.3%
Viktor,A,4.28,11.2%,"60,424",11.8%
Vex,A,4.30,16.0%,"87,547",17.2%
Riven,A,4.32,14.8%,"87,411",17.1%
Zed,A,4.34,16.8%,"6,030",1.2%
Gwen,A,4.37,14.2%,"43,855",8.6%
Corki,A,4.38,13.7%,"43,645",8.6%
Samira,A,4.39,14.5%,"27,416",5.4%
Karma,A,4.39,13.1%,"145,733",28.6%
Bel'Veth,A,4.39,11.3%,"42,042",8.2%
Kindred,A,4.39,11.5%,"62,082",12.2%
Meepsie,A,4.40,11.9%,"170,851",33.5%
Mordekaiser,B,4.42,11.6%,"173,461",34.0%
Aurelion Sol,B,4.44,15.2%,"71,209",14.0%
Talon,B,4.44,10.8%,"29,675",5.8%
Teemo,B,4.44,11.0%,"18,670",3.7%
Illaoi,B,4.45,11.1%,"136,384",26.7%
The Mighty Mech,B,4.46,14.5%,"104,649",20.5%
Aatrox,B,4.46,12.4%,"123,030",24.1%
Caitlyn,B,4.46,9.8%,"50,346",9.9%
Milio,B,4.46,13.0%,"39,267",7.7%
Akali,B,4.49,13.0%,"104,750",20.5%
Nunu & Willump,B,4.49,13.1%,"161,829",31.7%
Xayah,B,4.51,13.4%,"44,556",8.7%
Rek'Sai,B,4.52,8.6%,"20,243",4.0%
Tahm Kench,B,4.53,15.1%,"158,062",31.0%
Urgot,B,4.54,13.9%,"84,798",16.6%
Ornn,B,4.54,12.2%,"79,927",15.7%
Jax,B,4.55,11.4%,"62,245",12.2%
LeBlanc,B,4.55,10.3%,"74,398",14.6%
Fizz,B,4.56,12.9%,"36,843",7.2%
Master Yi,B,4.58,12.1%,"64,067",12.6%
Maokai,B,4.59,11.4%,"105,959",20.8%
Zoe,B,4.59,8.8%,"38,595",7.6%
Twisted Fate,B,4.59,9.3%,"28,600",5.6%
Graves,C,4.60,15.0%,"70,136",13.7%
Pantheon,C,4.60,13.7%,"58,925",11.5%
Nasus,C,4.60,11.6%,"44,432",8.7%
Kai'Sa,C,4.61,10.1%,"22,681",4.4%
Veigar,C,4.62,13.5%,"14,590",2.9%
Rammus,C,4.63,12.1%,"115,600",22.7%
Poppy,C,4.66,12.4%,"39,189",7.7%
Leona,C,4.67,9.4%,"67,351",13.2%
Gnar,C,4.70,13.6%,"22,585",4.4%
Briar,C,4.74,8.2%,"20,604",4.0%
Miss Fortune,D,4.82,6.9%,"11,495",2.3%
Gragas,D,4.88,6.6%,"23,643",4.6%
Aurora,D,4.88,14.1%,"22,256",4.4%
Ezreal,D,4.89,11.9%,"15,392",3.0%
Cho'Gath,D,4.91,10.6%,"17,945",3.5%
Lulu,D,4.92,9.3%,"15,556",3.0%
Diana,D,5.04,12.1%,"11,866",2.3%
Jinx,D,5.29,12.2%,"12,242",2.4%
