Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.28,46.4%,220,0.0%
Jhin,S,3.75,20.5%,"120,638",20.2%
Shen,S,3.85,19.8%,"139,859",23.4%
Blitzcrank,S,3.96,19.1%,"246,363",41.2%
Rhaast,S,3.97,18.2%,"154,869",25.9%
Morgana,S,4.01,19.4%,"66,368",11.1%
Bard,S,4.01,16.9%,"122,824",20.5%
Sona,S,4.08,16.3%,"113,699",19.0%
Fiora,A,4.22,17.6%,"89,800",15.0%
Teemo,A,4.26,14.4%,"59,613",10.0%
Nami,A,4.27,13.9%,"127,508",21.3%
Vex,A,4.31,18.5%,"83,194",13.9%
Kindred,A,4.32,9.9%,"61,355",10.2%
Karma,A,4.33,13.9%,"151,148",25.2%
Samira,A,4.33,15.0%,"126,560",21.1%
Gwen,A,4.34,13.3%,"116,071",19.4%
Master Yi,A,4.37,10.2%,"51,180",8.5%
The Mighty Mech,A,4.38,11.3%,"97,278",16.2%
Ornn,A,4.38,13.5%,"158,637",26.5%
Riven,B,4.42,10.3%,"98,156",16.4%
Nasus,B,4.42,13.5%,"112,991",18.9%
Pyke,B,4.42,9.1%,"26,364",4.4%
Lulu,B,4.46,12.3%,"29,895",5.0%
Xayah,B,4.46,15.5%,"67,951",11.4%
Tahm Kench,B,4.46,13.9%,"166,518",27.8%
Meepsie,B,4.47,11.5%,"196,964",32.9%
Zed,B,4.47,16.7%,"7,217",1.2%
Corki,B,4.49,8.8%,"65,919",11.0%
Gragas,B,4.49,9.2%,"59,162",9.9%
Nunu & Willump,B,4.49,14.9%,"223,104",37.3%
Milio,B,4.49,9.5%,"75,334",12.6%
Urgot,B,4.49,10.5%,"76,197",12.7%
Maokai,B,4.50,12.2%,"165,371",27.6%
Mordekaiser,B,4.51,12.8%,"164,447",27.5%
Graves,B,4.51,18.6%,"65,800",11.0%
Viktor,B,4.51,9.2%,"17,105",2.9%
Aatrox,B,4.51,14.4%,"145,783",24.4%
Pantheon,B,4.52,11.4%,"103,793",17.3%
Twisted Fate,B,4.52,11.1%,"26,485",4.4%
Bel'Veth,B,4.53,8.4%,"66,312",11.1%
Rammus,B,4.55,9.5%,"107,171",17.9%
Jax,B,4.55,13.5%,"89,751",15.0%
Gnar,B,4.56,11.8%,"31,315",5.2%
Kai'Sa,B,4.57,10.8%,"31,749",5.3%
Fizz,B,4.58,8.5%,"57,538",9.6%
Cho'Gath,B,4.58,11.2%,"43,254",7.2%
Akali,B,4.60,14.2%,"77,685",13.0%
Illaoi,C,4.62,12.0%,"143,533",24.0%
Aurelion Sol,C,4.65,11.9%,"34,908",5.8%
Poppy,C,4.69,8.4%,"60,500",10.1%
Miss Fortune,C,4.70,6.6%,"28,363",4.7%
Lissandra,C,4.70,9.1%,"55,259",9.2%
LeBlanc,C,4.79,9.0%,"44,032",7.4%
Rek'Sai,C,4.79,7.7%,"17,950",3.0%
Leona,C,4.80,9.7%,"62,034",10.4%
Diana,D,4.80,9.7%,"21,156",3.5%
Ezreal,D,4.87,10.9%,"17,746",3.0%
Caitlyn,D,4.90,6.3%,"10,349",1.7%
Jinx,D,4.97,10.1%,"23,840",4.0%
Talon,D,5.00,7.4%,"8,142",1.4%
Aurora,D,5.08,12.3%,"16,248",2.7%
Veigar,D,5.13,11.9%,"7,382",1.2%
Zoe,D,5.15,5.8%,"14,146",2.4%
Briar,D,5.55,5.7%,"12,625",2.1%
