Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.26,47.7%,199,0.0%
Jhin,S,3.75,20.4%,"120,463",20.3%
Shen,S,3.85,19.8%,"139,209",23.5%
Blitzcrank,S,3.96,19.1%,"246,825",41.6%
Rhaast,S,3.97,18.3%,"152,538",25.7%
Morgana,S,4.02,19.3%,"65,317",11.0%
Bard,S,4.03,16.9%,"122,940",20.7%
Sona,S,4.09,16.3%,"114,381",19.3%
Fiora,A,4.23,17.4%,"87,391",14.7%
Teemo,A,4.25,14.6%,"61,561",10.4%
Nami,A,4.25,14.2%,"129,056",21.8%
Samira,A,4.30,15.4%,"131,150",22.1%
Vex,A,4.31,18.4%,"81,632",13.8%
Kindred,A,4.32,9.6%,"60,268",10.2%
Gwen,A,4.32,13.5%,"117,108",19.7%
Karma,A,4.33,13.9%,"151,070",25.5%
Ornn,A,4.35,13.9%,"160,468",27.0%
Master Yi,A,4.38,10.1%,"49,657",8.4%
The Mighty Mech,A,4.38,11.3%,"95,300",16.1%
Nasus,A,4.39,13.8%,"115,936",19.5%
Riven,B,4.42,10.3%,"93,082",15.7%
Pyke,B,4.42,9.3%,"26,412",4.5%
Xayah,B,4.46,15.5%,"66,622",11.2%
Zed,B,4.47,16.5%,"7,096",1.2%
Tahm Kench,B,4.47,13.7%,"161,896",27.3%
Meepsie,B,4.47,11.5%,"195,700",33.0%
Lulu,B,4.48,12.0%,"29,684",5.0%
Nunu & Willump,B,4.49,14.9%,"218,869",36.9%
Gragas,B,4.49,9.1%,"57,680",9.7%
Urgot,B,4.49,10.4%,"73,403",12.4%
Corki,B,4.49,8.8%,"63,758",10.7%
Maokai,B,4.50,12.0%,"162,065",27.3%
Viktor,B,4.51,9.4%,"17,057",2.9%
Milio,B,4.51,9.3%,"73,215",12.3%
Mordekaiser,B,4.51,12.8%,"163,830",27.6%
Graves,B,4.52,18.4%,"64,562",10.9%
Aatrox,B,4.52,14.2%,"143,085",24.1%
Bel'Veth,B,4.54,8.3%,"64,746",10.9%
Pantheon,B,4.54,11.2%,"100,921",17.0%
Rammus,B,4.55,9.6%,"105,520",17.8%
Jax,B,4.55,13.3%,"88,538",14.9%
Twisted Fate,B,4.56,10.8%,"26,472",4.5%
Gnar,B,4.56,11.7%,"31,117",5.2%
Fizz,B,4.59,8.4%,"55,580",9.4%
Kai'Sa,B,4.60,10.4%,"30,899",5.2%
Akali,C,4.61,13.8%,"76,947",13.0%
Cho'Gath,C,4.61,10.8%,"42,294",7.1%
Illaoi,C,4.63,12.1%,"143,776",24.2%
Aurelion Sol,C,4.65,11.9%,"34,760",5.9%
Miss Fortune,C,4.69,6.7%,"26,930",4.5%
Poppy,C,4.70,8.4%,"58,872",9.9%
Lissandra,C,4.73,8.9%,"54,211",9.1%
Diana,C,4.78,9.6%,"20,944",3.5%
LeBlanc,C,4.79,9.1%,"43,412",7.3%
Leona,C,4.79,9.8%,"61,426",10.4%
Rek'Sai,D,4.81,7.4%,"18,081",3.0%
Ezreal,D,4.90,10.7%,"17,446",2.9%
Caitlyn,D,4.91,6.3%,"10,204",1.7%
Jinx,D,4.96,9.8%,"24,810",4.2%
Talon,D,5.02,7.4%,"7,975",1.3%
Aurora,D,5.06,12.2%,"16,360",2.8%
Veigar,D,5.16,11.3%,"7,465",1.3%
Zoe,D,5.17,5.8%,"13,751",2.3%
Briar,D,5.58,5.5%,"12,509",2.1%
