Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.89,19.2%,"32,166",21.9%
Shen,S,4.03,17.5%,"44,702",30.4%
Sona,S,4.07,16.6%,"19,485",13.3%
Bard,S,4.07,16.5%,"33,956",23.1%
Fiora,S,4.11,17.8%,"31,107",21.2%
Jhin,S,4.11,17.1%,"13,484",9.2%
Nami,S,4.15,14.5%,"20,133",13.7%
Blitzcrank,S,4.15,16.4%,"42,324",28.8%
Rhaast,S,4.18,13.3%,"23,583",16.1%
Pyke,A,4.21,11.3%,"13,273",9.0%
Lissandra,A,4.22,11.8%,"16,613",11.3%
Zed,A,4.25,17.4%,"1,677",1.1%
Vex,A,4.29,16.3%,"26,327",17.9%
Riven,A,4.31,14.8%,"25,448",17.3%
Viktor,A,4.34,11.0%,"16,263",11.1%
Gwen,A,4.34,14.3%,"12,900",8.8%
Bel'Veth,A,4.35,12.0%,"12,237",8.3%
Kindred,A,4.38,11.9%,"18,522",12.6%
Corki,A,4.38,13.8%,"12,461",8.5%
Karma,B,4.41,12.5%,"41,965",28.6%
Aatrox,B,4.42,12.9%,"36,184",24.6%
Meepsie,B,4.43,11.9%,"49,453",33.7%
Talon,B,4.43,11.2%,"7,915",5.4%
Teemo,B,4.43,11.6%,"5,496",3.7%
Samira,B,4.44,14.1%,"7,181",4.9%
Akali,B,4.44,13.4%,"31,513",21.5%
Mordekaiser,B,4.44,11.5%,"49,328",33.6%
Caitlyn,B,4.44,10.1%,"13,567",9.2%
Milio,B,4.45,13.1%,"11,297",7.7%
Aurelion Sol,B,4.46,14.6%,"20,237",13.8%
The Mighty Mech,B,4.46,14.2%,"30,375",20.7%
Rek'Sai,B,4.48,9.0%,"5,169",3.5%
Illaoi,B,4.48,11.1%,"38,852",26.4%
Nunu & Willump,B,4.49,13.1%,"46,699",31.8%
Tahm Kench,B,4.50,15.2%,"45,402",30.9%
Urgot,B,4.53,13.6%,"24,603",16.7%
Fizz,B,4.54,12.6%,"10,994",7.5%
Xayah,B,4.54,13.3%,"12,284",8.4%
Maokai,B,4.54,11.8%,"32,713",22.3%
Ornn,B,4.55,11.9%,"23,124",15.7%
Jax,B,4.55,11.8%,"17,326",11.8%
Master Yi,B,4.56,12.3%,"19,482",13.3%
Graves,B,4.56,15.4%,"21,386",14.6%
Pantheon,B,4.57,13.8%,"17,441",11.9%
Veigar,B,4.57,14.3%,"4,398",3.0%
LeBlanc,B,4.58,10.1%,"22,438",15.3%
Twisted Fate,B,4.58,9.8%,"7,747",5.3%
Kai'Sa,B,4.59,9.8%,"6,192",4.2%
Nasus,C,4.61,11.6%,"12,898",8.8%
Zoe,C,4.61,8.3%,"10,577",7.2%
Rammus,C,4.63,11.9%,"34,615",23.6%
Poppy,C,4.66,12.4%,"11,422",7.8%
Gnar,C,4.68,13.9%,"6,566",4.5%
Leona,C,4.69,9.2%,"19,929",13.6%
Briar,C,4.70,8.5%,"5,158",3.5%
Miss Fortune,D,4.81,6.3%,"3,646",2.5%
Ezreal,D,4.82,12.1%,"4,207",2.9%
Gragas,D,4.84,6.8%,"7,452",5.1%
Aurora,D,4.87,14.7%,"6,255",4.3%
Cho'Gath,D,4.87,11.5%,"4,639",3.2%
Lulu,D,4.90,9.3%,"4,249",2.9%
Diana,D,5.02,12.8%,"3,650",2.5%
Jinx,D,5.19,12.9%,"3,654",2.5%
