Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.95,19.5%,"101,182",19.1%
Jhin,S,4.01,17.5%,"63,450",11.9%
Sona,S,4.03,17.5%,"61,258",11.5%
Shen,S,4.03,17.9%,"154,025",29.0%
Bard,S,4.06,17.7%,"106,951",20.1%
Nami,S,4.11,14.3%,"76,980",14.5%
Blitzcrank,S,4.12,17.2%,"148,805",28.0%
Rhaast,S,4.13,14.5%,"97,799",18.4%
Lissandra,S,4.17,11.9%,"71,756",13.5%
Zed,S,4.20,18.8%,"7,576",1.4%
Pyke,A,4.21,11.3%,"58,902",11.1%
Fiora,A,4.23,17.2%,"104,052",19.6%
Vex,A,4.26,17.1%,"91,216",17.2%
Riven,A,4.28,14.5%,"96,040",18.1%
Corki,A,4.31,13.1%,"49,766",9.4%
Viktor,A,4.32,11.3%,"61,602",11.6%
Kindred,A,4.32,10.9%,"62,332",11.7%
Caitlyn,A,4.34,10.2%,"59,169",11.1%
Bel'Veth,A,4.34,10.7%,"45,529",8.6%
Samira,A,4.35,14.7%,"34,344",6.5%
Meepsie,A,4.36,12.6%,"180,108",33.9%
Rek'Sai,A,4.37,9.6%,"28,403",5.3%
Mordekaiser,A,4.39,12.4%,"187,552",35.3%
Milio,A,4.39,12.6%,"44,893",8.5%
Gwen,A,4.39,13.4%,"47,364",8.9%
Karma,B,4.41,13.3%,"141,075",26.6%
Xayah,B,4.41,14.1%,"61,189",11.5%
Aatrox,B,4.42,12.5%,"131,190",24.7%
Talon,B,4.43,10.8%,"34,765",6.5%
Akali,B,4.45,13.0%,"104,964",19.8%
Illaoi,B,4.46,11.4%,"138,561",26.1%
Teemo,B,4.46,10.6%,"20,161",3.8%
Kai'Sa,B,4.46,11.2%,"29,500",5.6%
Nunu & Willump,B,4.47,13.6%,"177,367",33.4%
Jax,B,4.48,12.2%,"81,196",15.3%
Fizz,B,4.51,12.8%,"43,132",8.1%
Rammus,B,4.52,13.0%,"135,207",25.5%
Ornn,B,4.52,12.3%,"90,676",17.1%
Maokai,B,4.54,11.3%,"100,765",19.0%
Twisted Fate,B,4.56,9.6%,"33,594",6.3%
Briar,B,4.59,9.3%,"29,335",5.5%
LeBlanc,B,4.59,9.8%,"67,581",12.7%
The Mighty Mech,C,4.60,13.5%,"87,661",16.5%
Zoe,C,4.61,8.7%,"37,573",7.1%
Graves,C,4.61,15.0%,"70,699",13.3%
Nasus,C,4.61,11.2%,"47,636",9.0%
Pantheon,C,4.62,13.0%,"63,716",12.0%
Gnar,C,4.62,13.8%,"33,585",6.3%
Poppy,C,4.63,12.0%,"46,631",8.8%
Veigar,C,4.63,12.8%,"16,850",3.2%
Tahm Kench,C,4.64,13.8%,"146,759",27.6%
Master Yi,C,4.65,11.1%,"57,493",10.8%
Leona,C,4.68,9.2%,"64,124",12.1%
Aurelion Sol,C,4.71,14.0%,"52,404",9.9%
Cho'Gath,C,4.76,11.4%,"23,148",4.4%
Urgot,C,4.77,12.3%,"66,345",12.5%
Aurora,D,4.84,14.4%,"23,723",4.5%
Ezreal,D,4.85,12.6%,"18,047",3.4%
Lulu,D,4.88,9.7%,"19,083",3.6%
Miss Fortune,D,4.89,6.8%,"11,133",2.1%
Gragas,D,4.89,6.2%,"24,022",4.5%
Diana,D,4.94,12.2%,"11,915",2.2%
Jinx,D,5.29,12.2%,"12,633",2.4%
