Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.53,49.1%,53,0.0%
Shen,S,3.64,20.6%,"33,321",15.2%
Rhaast,S,3.70,21.0%,"38,274",17.5%
Bard,S,3.76,19.7%,"48,707",22.3%
Jhin,S,3.79,20.4%,"32,004",14.6%
Fiora,S,3.81,21.3%,"30,811",14.1%
Sona,S,3.90,19.2%,"37,141",17.0%
Blitzcrank,S,3.99,19.4%,"52,745",24.1%
Master Yi,S,4.08,15.3%,"26,568",12.1%
Vex,S,4.08,22.2%,"20,781",9.5%
Zed,S,4.08,23.3%,"3,141",1.4%
Kindred,S,4.09,15.1%,"27,934",12.8%
Morgana,S,4.16,16.3%,"40,244",18.4%
Bel'Veth,A,4.20,14.4%,"25,886",11.8%
Gragas,A,4.21,14.1%,"27,031",12.4%
Urgot,A,4.21,15.4%,"32,820",15.0%
Tahm Kench,A,4.28,16.2%,"53,990",24.7%
Maokai,A,4.28,15.2%,"46,840",21.4%
Riven,A,4.30,10.8%,"53,493",24.5%
Corki,A,4.31,9.3%,"43,492",19.9%
The Mighty Mech,A,4.36,11.3%,"74,596",34.1%
Fizz,A,4.37,9.0%,"39,170",17.9%
Kai'Sa,A,4.38,14.1%,"24,431",11.2%
Milio,A,4.39,10.1%,"52,562",24.0%
Graves,A,4.40,21.1%,"12,355",5.7%
Aatrox,B,4.42,15.8%,"26,792",12.3%
Karma,B,4.42,13.6%,"78,726",36.0%
Akali,B,4.44,16.3%,"22,781",10.4%
Rammus,B,4.45,10.0%,"55,007",25.2%
Meepsie,B,4.45,11.3%,"98,595",45.1%
Pyke,B,4.46,10.6%,"12,738",5.8%
Cho'Gath,B,4.46,14.2%,"28,321",13.0%
Teemo,B,4.50,11.4%,"6,127",2.8%
Lulu,B,4.50,13.8%,"12,312",5.6%
Twisted Fate,B,4.51,12.6%,"14,169",6.5%
Mordekaiser,B,4.53,13.0%,"90,104",41.2%
Nunu & Willump,B,4.54,13.9%,"75,911",34.7%
Pantheon,B,4.56,13.7%,"27,145",12.4%
Rek'Sai,B,4.58,12.1%,"6,412",2.9%
Aurelion Sol,C,4.61,11.8%,"33,839",15.5%
Illaoi,C,4.63,12.0%,"70,378",32.2%
Poppy,C,4.65,7.7%,"33,922",15.5%
Lissandra,C,4.67,10.4%,"35,343",16.2%
Jax,C,4.67,12.4%,"27,001",12.3%
Xayah,C,4.69,13.6%,"15,248",7.0%
Caitlyn,C,4.71,8.7%,"5,339",2.4%
Viktor,C,4.71,9.1%,"10,923",5.0%
LeBlanc,C,4.73,10.3%,"22,929",10.5%
Nami,C,4.74,8.9%,"16,209",7.4%
Zoe,C,4.78,8.3%,"13,631",6.2%
Talon,C,4.79,9.5%,"5,910",2.7%
Veigar,C,4.79,13.2%,"3,476",1.6%
Gwen,C,4.79,9.8%,"6,266",2.9%
Samira,D,4.85,11.1%,"7,627",3.5%
Miss Fortune,D,4.91,8.9%,"6,313",2.9%
Ornn,D,4.92,9.6%,"13,453",6.2%
Leona,D,4.92,9.1%,"25,465",11.6%
Aurora,D,4.94,12.7%,"9,582",4.4%
Gnar,D,4.99,11.5%,"9,317",4.3%
Diana,D,5.04,11.3%,"8,835",4.0%
Nasus,D,5.05,7.7%,"8,830",4.0%
Ezreal,D,5.05,12.1%,"6,113",2.8%
Jinx,D,5.12,14.0%,"7,001",3.2%
Briar,D,5.19,9.6%,"5,250",2.4%
