Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.48,23.2%,"30,165",12.6%
Jhin,S,3.75,20.2%,"43,264",18.1%
Shen,S,3.79,19.1%,"36,101",15.1%
Sona,S,3.86,18.8%,"23,859",10.0%
Rhaast,S,3.90,17.8%,"44,815",18.7%
Bard,S,3.91,18.8%,"35,178",14.7%
Fiora,S,3.92,18.6%,"42,577",17.8%
Blitzcrank,S,3.99,18.7%,"40,644",17.0%
Zed,S,4.08,24.7%,"3,322",1.4%
Kindred,S,4.19,13.0%,"53,337",22.3%
Teemo,A,4.23,11.9%,"17,329",7.2%
Master Yi,A,4.28,13.2%,"43,409",18.1%
Vex,A,4.29,18.2%,"18,556",7.8%
Bel'Veth,A,4.29,12.3%,"49,840",20.8%
Riven,A,4.30,12.8%,"60,607",25.3%
Nami,A,4.32,11.5%,"16,434",6.9%
Gragas,A,4.35,12.7%,"37,056",15.5%
Tahm Kench,A,4.35,15.0%,"72,678",30.4%
The Mighty Mech,A,4.36,13.0%,"52,457",21.9%
Zoe,A,4.36,11.0%,"18,544",7.8%
Karma,A,4.37,14.4%,"59,619",24.9%
Rek'Sai,A,4.37,10.8%,"20,093",8.4%
Corki,A,4.38,10.6%,"37,957",15.9%
Kai'Sa,A,4.40,12.3%,"48,322",20.2%
Urgot,B,4.41,13.7%,"50,581",21.1%
Talon,B,4.44,11.1%,"14,598",6.1%
Mordekaiser,B,4.45,13.1%,"81,723",34.2%
Briar,B,4.45,9.9%,"18,188",7.6%
Caitlyn,B,4.45,10.2%,"14,103",5.9%
Maokai,B,4.47,13.4%,"73,625",30.8%
Akali,B,4.48,12.7%,"51,253",21.4%
Pyke,B,4.49,11.2%,"8,738",3.7%
Milio,B,4.49,11.5%,"49,683",20.8%
Nunu & Willump,B,4.49,14.5%,"61,666",25.8%
Meepsie,B,4.49,11.5%,"66,101",27.6%
Aatrox,B,4.50,13.6%,"40,376",16.9%
Leona,B,4.50,11.0%,"27,205",11.4%
Aurelion Sol,B,4.50,21.4%,"6,760",2.8%
Nasus,B,4.50,10.5%,"16,998",7.1%
Lissandra,B,4.50,11.3%,"47,698",19.9%
Illaoi,B,4.52,11.8%,"57,953",24.2%
Cho'Gath,B,4.52,12.6%,"44,766",18.7%
Fizz,B,4.53,9.7%,"28,664",12.0%
Graves,B,4.53,17.0%,"14,435",6.0%
Twisted Fate,B,4.56,11.8%,"24,334",10.2%
LeBlanc,B,4.56,10.9%,"17,206",7.2%
Gwen,B,4.59,9.8%,"10,644",4.4%
Rammus,B,4.59,11.0%,"49,605",20.7%
Xayah,B,4.60,15.2%,"19,296",8.1%
Jax,C,4.63,12.7%,"39,301",16.4%
Veigar,C,4.67,13.9%,"6,880",2.9%
Pantheon,C,4.68,13.3%,"36,958",15.4%
Poppy,C,4.69,9.5%,"27,795",11.6%
Lulu,C,4.70,13.4%,"16,480",6.9%
Viktor,C,4.74,9.2%,"5,251",2.2%
Samira,D,4.83,12.3%,"5,222",2.2%
Ezreal,D,4.85,14.5%,"11,523",4.8%
Gnar,D,4.86,13.5%,"11,009",4.6%
Aurora,D,4.98,11.3%,"9,970",4.2%
Ornn,D,4.99,9.6%,"10,769",4.5%
Miss Fortune,D,5.04,9.8%,"3,537",1.5%
Diana,D,5.15,11.1%,"3,240",1.4%
Jinx,D,5.29,13.7%,"3,265",1.4%
