Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.03,50.0%,66,0.0%
Bard,S,3.86,18.9%,"30,449",20.9%
Jhin,S,3.88,19.2%,"29,640",20.4%
Sona,S,3.93,18.8%,"28,832",19.8%
Shen,S,3.96,20.4%,"29,213",20.1%
Blitzcrank,S,3.99,20.0%,"54,863",37.7%
Rhaast,S,4.02,18.0%,"47,973",33.0%
Morgana,S,4.05,19.1%,"19,417",13.3%
Zed,S,4.14,20.6%,"2,086",1.4%
Fiora,S,4.14,18.6%,"28,802",19.8%
Vex,S,4.14,21.0%,"28,573",19.6%
Corki,A,4.28,8.9%,"15,428",10.6%
The Mighty Mech,A,4.29,11.2%,"25,638",17.6%
Karma,A,4.29,14.3%,"39,867",27.4%
Fizz,A,4.31,9.1%,"13,147",9.0%
Riven,A,4.32,10.1%,"20,480",14.1%
Meepsie,A,4.34,12.6%,"48,630",33.4%
Graves,A,4.37,20.5%,"20,116",13.8%
Kindred,A,4.37,9.5%,"19,826",13.6%
Nunu & Willump,A,4.39,16.2%,"66,945",46.0%
Master Yi,B,4.40,9.8%,"16,488",11.3%
Pyke,B,4.41,9.6%,"6,325",4.3%
Milio,B,4.42,8.8%,"19,475",13.4%
Tahm Kench,B,4.44,13.8%,"47,961",33.0%
Mordekaiser,B,4.44,13.2%,"50,516",34.7%
Rammus,B,4.45,9.7%,"20,804",14.3%
Gragas,B,4.48,9.3%,"17,967",12.4%
Xayah,B,4.49,15.2%,"22,925",15.8%
Urgot,B,4.50,9.6%,"21,689",14.9%
Aatrox,B,4.50,14.4%,"49,424",34.0%
Illaoi,B,4.51,13.0%,"39,973",27.5%
Viktor,B,4.52,8.7%,"5,898",4.1%
Maokai,B,4.53,11.8%,"52,064",35.8%
Cho'Gath,B,4.53,11.0%,"13,562",9.3%
Kai'Sa,B,4.53,10.6%,"10,512",7.2%
Akali,B,4.54,15.3%,"26,263",18.1%
Aurelion Sol,B,4.56,10.6%,"10,452",7.2%
Poppy,B,4.58,8.0%,"12,256",8.4%
Bel'Veth,B,4.59,8.1%,"20,876",14.4%
Pantheon,B,4.60,10.1%,"17,276",11.9%
Jax,C,4.61,12.7%,"29,532",20.3%
Nami,C,4.65,8.8%,"9,030",6.2%
Leona,C,4.66,11.3%,"16,696",11.5%
Veigar,C,4.67,14.4%,"1,406",1.0%
LeBlanc,C,4.68,10.3%,"11,594",8.0%
Lissandra,C,4.68,8.9%,"15,898",10.9%
Teemo,C,4.69,10.7%,"3,219",2.2%
Lulu,C,4.71,9.5%,"6,186",4.3%
Gwen,C,4.71,9.1%,"5,978",4.1%
Miss Fortune,C,4.75,5.9%,"8,551",5.9%
Diana,C,4.76,9.1%,"6,704",4.6%
Zoe,C,4.77,8.4%,"5,470",3.8%
Ornn,D,4.82,7.2%,"14,255",9.8%
Twisted Fate,D,4.84,7.4%,"7,023",4.8%
Gnar,D,4.84,12.2%,"3,422",2.4%
Rek'Sai,D,4.89,6.8%,"4,956",3.4%
Aurora,D,4.91,12.2%,"4,556",3.1%
Jinx,D,4.93,10.3%,"6,061",4.2%
Caitlyn,D,4.98,5.0%,"4,163",2.9%
Ezreal,D,4.98,9.9%,"2,913",2.0%
Nasus,D,5.05,7.6%,"6,330",4.4%
Samira,D,5.06,9.9%,"7,811",5.4%
Talon,D,5.11,6.1%,"3,228",2.2%
Briar,D,5.44,5.5%,"3,712",2.6%
