Unit,Cost,Avg Place,Top 4%,Games,Win%
Jhin,S,3.92,20.9%,"939,659",16.4%
Bard,S,3.96,20.7%,"1,063,125",18.5%
Morgana,S,4.00,19.4%,"873,985",15.2%
Sona,S,4.04,17.5%,"612,713",10.7%
Shen,S,4.06,17.7%,"1,311,113",22.8%
Nami,S,4.09,13.2%,"849,056",14.8%
Blitzcrank,S,4.12,17.2%,"1,456,251",25.4%
Rhaast,S,4.17,15.2%,"1,339,951",23.3%
Pyke,S,4.18,11.5%,"646,076",11.2%
Zed,A,4.21,17.9%,"88,724",1.5%
Lissandra,A,4.22,11.0%,"967,273",16.8%
Viktor,A,4.23,11.1%,"560,458",9.8%
Kindred,A,4.24,10.4%,"596,592",10.4%
Riven,A,4.26,13.7%,"950,479",16.5%
Caitlyn,A,4.29,9.6%,"663,946",11.6%
Fiora,A,4.29,17.4%,"888,267",15.5%
Corki,A,4.31,12.2%,"560,454",9.8%
Bel'Veth,A,4.35,9.7%,"498,614",8.7%
Vex,A,4.37,15.9%,"834,938",14.5%
Mordekaiser,A,4.37,13.8%,"2,164,762",37.7%
Teemo,A,4.38,9.4%,"345,689",6.0%
Rek'Sai,A,4.38,8.8%,"383,420",6.7%
Meepsie,A,4.38,12.1%,"1,637,638",28.5%
Akali,A,4.39,12.3%,"1,155,418",20.1%
Karma,A,4.39,13.5%,"1,199,515",20.9%
Milio,A,4.40,11.5%,"479,172",8.3%
Samira,B,4.41,14.0%,"436,711",7.6%
Aatrox,B,4.41,11.5%,"1,309,849",22.8%
Gwen,B,4.43,12.2%,"485,666",8.5%
Talon,B,4.44,10.1%,"430,979",7.5%
Xayah,B,4.45,16.9%,"1,016,186",17.7%
The Mighty Mech,B,4.46,13.8%,"900,556",15.7%
Maokai,B,4.47,10.8%,"1,121,424",19.5%
Nunu & Willump,B,4.47,15.3%,"2,145,833",37.4%
Jax,B,4.47,14.6%,"1,241,750",21.6%
Kai'Sa,B,4.48,10.3%,"396,828",6.9%
Zoe,B,4.49,8.8%,"396,079",6.9%
Illaoi,B,4.50,11.2%,"1,510,678",26.3%
Rammus,B,4.52,14.5%,"1,533,762",26.7%
Twisted Fate,B,4.53,9.0%,"413,532",7.2%
Gnar,B,4.54,17.7%,"616,135",10.7%
Ornn,B,4.57,11.5%,"962,623",16.8%
Nasus,B,4.57,9.8%,"588,591",10.2%
LeBlanc,B,4.58,9.8%,"493,168",8.6%
Fizz,B,4.59,11.4%,"433,258",7.5%
Urgot,C,4.60,13.1%,"642,262",11.2%
Aurelion Sol,C,4.61,15.8%,"374,848",6.5%
Poppy,C,4.62,11.6%,"492,971",8.6%
Veigar,C,4.63,12.1%,"240,096",4.2%
Leona,C,4.64,8.7%,"614,434",10.7%
Master Yi,C,4.64,11.3%,"436,312",7.6%
Graves,C,4.65,14.9%,"649,722",11.3%
Tahm Kench,C,4.66,13.7%,"1,306,232",22.7%
Cho'Gath,C,4.70,10.5%,"350,598",6.1%
Pantheon,C,4.71,11.9%,"665,970",11.6%
Briar,C,4.75,8.1%,"421,165",7.3%
Aurora,C,4.79,11.8%,"403,372",7.0%
Miss Fortune,D,4.86,6.9%,"104,313",1.8%
Lulu,D,4.87,9.5%,"186,246",3.2%
Gragas,D,4.89,6.2%,"238,414",4.2%
Ezreal,D,4.93,11.3%,"214,821",3.7%
Diana,D,5.19,8.2%,"105,688",1.8%
Jinx,D,6.00,8.2%,"136,130",2.4%
