Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.47,23.5%,"33,731",12.6%
Jhin,S,3.76,20.2%,"47,920",17.9%
Shen,S,3.79,19.0%,"39,959",14.9%
Rhaast,S,3.84,18.5%,"49,618",18.5%
Sona,S,3.86,18.6%,"25,974",9.7%
Bard,S,3.90,18.7%,"39,316",14.7%
Fiora,S,3.92,18.5%,"48,558",18.1%
Blitzcrank,S,3.98,18.6%,"44,794",16.7%
Zed,S,4.08,25.2%,"3,825",1.4%
Kindred,S,4.18,13.2%,"60,880",22.7%
Teemo,A,4.24,11.7%,"19,682",7.3%
Master Yi,A,4.27,13.4%,"50,117",18.7%
Bel'Veth,A,4.29,12.5%,"57,290",21.4%
Vex,A,4.30,18.0%,"20,114",7.5%
Nami,A,4.31,11.4%,"17,997",6.7%
Riven,A,4.31,12.6%,"69,276",25.8%
Gragas,A,4.33,13.0%,"43,744",16.3%
Rek'Sai,A,4.33,11.3%,"22,442",8.4%
Tahm Kench,A,4.35,14.9%,"82,645",30.8%
Zoe,A,4.35,11.1%,"21,043",7.8%
Karma,A,4.37,14.3%,"66,284",24.7%
Kai'Sa,A,4.38,12.6%,"54,422",20.3%
The Mighty Mech,A,4.38,12.7%,"61,342",22.9%
Urgot,A,4.40,13.9%,"57,339",21.4%
Corki,B,4.40,10.3%,"44,436",16.6%
Briar,B,4.43,10.3%,"20,170",7.5%
Mordekaiser,B,4.44,13.1%,"90,722",33.8%
Maokai,B,4.46,13.5%,"82,997",30.9%
Talon,B,4.46,11.2%,"15,993",6.0%
Caitlyn,B,4.47,10.0%,"15,351",5.7%
Pyke,B,4.48,11.2%,"9,506",3.5%
Akali,B,4.49,12.7%,"55,224",20.6%
Nunu & Willump,B,4.49,14.6%,"67,829",25.3%
Leona,B,4.50,10.8%,"30,353",11.3%
Nasus,B,4.50,10.3%,"19,061",7.1%
Milio,B,4.51,11.3%,"58,469",21.8%
Meepsie,B,4.51,11.3%,"74,540",27.8%
Cho'Gath,B,4.51,12.7%,"51,088",19.0%
Aatrox,B,4.52,13.5%,"44,889",16.7%
Lissandra,B,4.52,11.2%,"52,969",19.7%
Illaoi,B,4.53,11.7%,"63,331",23.6%
Fizz,B,4.54,9.5%,"34,266",12.8%
Graves,B,4.55,17.0%,"15,676",5.8%
Twisted Fate,B,4.56,12.1%,"28,073",10.5%
Gwen,B,4.57,10.0%,"11,599",4.3%
LeBlanc,B,4.57,11.1%,"18,639",6.9%
Aurelion Sol,B,4.59,20.5%,"7,344",2.7%
Rammus,B,4.59,10.9%,"56,460",21.0%
Xayah,C,4.60,15.5%,"20,182",7.5%
Jax,C,4.63,13.0%,"43,788",16.3%
Veigar,C,4.66,14.5%,"7,394",2.8%
Pantheon,C,4.67,13.4%,"41,343",15.4%
Lulu,C,4.69,13.6%,"19,394",7.2%
Poppy,C,4.71,9.3%,"32,801",12.2%
Viktor,C,4.75,9.4%,"5,602",2.1%
Samira,D,4.83,12.6%,"5,378",2.0%
Gnar,D,4.87,14.2%,"11,680",4.4%
Ezreal,D,4.88,14.4%,"11,853",4.4%
Ornn,D,5.02,9.5%,"11,102",4.1%
Aurora,D,5.03,11.0%,"9,916",3.7%
Miss Fortune,D,5.09,9.9%,"3,769",1.4%
Diana,D,5.26,10.3%,"3,326",1.2%
Jinx,D,5.37,13.0%,"3,458",1.3%
