Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.27,43.3%,141,0.0%
Jhin,S,3.93,18.9%,"75,469",19.1%
Bard,S,3.94,17.5%,"95,365",24.2%
Sona,S,4.00,17.7%,"91,205",23.1%
Rhaast,S,4.02,18.4%,"126,929",32.2%
Shen,S,4.03,19.3%,"83,530",21.2%
Blitzcrank,S,4.05,19.2%,"160,188",40.6%
Morgana,S,4.06,19.1%,"50,673",12.8%
Zed,S,4.19,18.8%,"6,102",1.5%
Fiora,S,4.19,18.3%,"81,594",20.7%
Vex,S,4.19,19.9%,"92,415",23.4%
Corki,A,4.30,8.6%,"45,562",11.5%
Kindred,A,4.32,9.5%,"48,664",12.3%
Karma,A,4.32,14.0%,"115,557",29.3%
Pyke,A,4.33,10.5%,"15,416",3.9%
Riven,A,4.34,9.5%,"57,586",14.6%
The Mighty Mech,A,4.34,10.3%,"69,883",17.7%
Master Yi,A,4.34,9.9%,"40,414",10.2%
Fizz,A,4.35,8.5%,"40,686",10.3%
Meepsie,A,4.37,12.2%,"144,546",36.6%
Milio,B,4.42,8.7%,"56,380",14.3%
Graves,B,4.42,19.9%,"60,352",15.3%
Nunu & Willump,B,4.42,15.7%,"185,669",47.1%
Gragas,B,4.43,9.3%,"43,245",11.0%
Tahm Kench,B,4.45,13.8%,"122,308",31.0%
Urgot,B,4.46,9.6%,"56,299",14.3%
Aatrox,B,4.47,15.3%,"128,752",32.6%
Rammus,B,4.47,9.0%,"57,631",14.6%
Mordekaiser,B,4.48,12.9%,"143,668",36.4%
Viktor,B,4.48,9.1%,"14,336",3.6%
Xayah,B,4.49,15.5%,"55,701",14.1%
Maokai,B,4.49,12.2%,"133,166",33.8%
Bel'Veth,B,4.52,8.0%,"53,195",13.5%
Akali,B,4.52,15.8%,"72,890",18.5%
Illaoi,B,4.54,12.7%,"117,295",29.7%
Jax,B,4.56,13.5%,"70,991",18.0%
Cho'Gath,B,4.57,10.4%,"33,585",8.5%
Pantheon,C,4.60,10.3%,"42,812",10.9%
Kai'Sa,C,4.60,9.8%,"25,875",6.6%
Poppy,C,4.61,7.7%,"36,225",9.2%
Lulu,C,4.61,10.8%,"15,847",4.0%
Gwen,C,4.64,9.3%,"13,328",3.4%
Aurelion Sol,C,4.64,10.3%,"28,007",7.1%
Leona,C,4.65,11.8%,"59,368",15.0%
Veigar,C,4.66,15.7%,"2,930",0.7%
Miss Fortune,C,4.68,5.8%,"21,241",5.4%
Nami,C,4.69,9.0%,"19,146",4.9%
Twisted Fate,C,4.69,9.2%,"16,850",4.3%
Lissandra,C,4.75,8.8%,"37,749",9.6%
Ornn,C,4.75,7.3%,"33,273",8.4%
Teemo,C,4.77,9.5%,"7,704",2.0%
LeBlanc,D,4.81,9.2%,"34,271",8.7%
Rek'Sai,D,4.83,7.0%,"12,847",3.3%
Diana,D,4.90,8.3%,"16,730",4.2%
Caitlyn,D,4.90,5.9%,"7,670",1.9%
Gnar,D,4.91,11.5%,"7,412",1.9%
Jinx,D,5.00,9.2%,"16,823",4.3%
Talon,D,5.01,7.8%,"6,258",1.6%
Ezreal,D,5.04,10.0%,"6,668",1.7%
Aurora,D,5.04,11.7%,"10,850",2.7%
Zoe,D,5.05,6.9%,"17,095",4.3%
Samira,D,5.07,10.1%,"17,706",4.5%
Nasus,D,5.21,6.9%,"15,685",4.0%
Briar,D,5.39,5.6%,"9,894",2.5%
