Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.53,37.0%,92,0.0%
Jhin,S,3.82,20.3%,"118,502",19.7%
Bard,S,3.86,17.7%,"130,032",21.7%
Rhaast,S,3.91,20.0%,"186,615",31.1%
Shen,S,4.00,18.5%,"124,440",20.7%
Sona,S,4.02,18.2%,"102,426",17.1%
Blitzcrank,S,4.06,19.7%,"197,817",33.0%
Zed,S,4.08,22.4%,"10,184",1.7%
Morgana,S,4.11,18.2%,"73,180",12.2%
Fiora,S,4.17,18.0%,"122,705",20.4%
The Mighty Mech,A,4.29,10.5%,"164,860",27.5%
Karma,A,4.30,14.5%,"172,287",28.7%
Vex,A,4.30,19.8%,"107,806",18.0%
Master Yi,A,4.34,10.9%,"73,538",12.3%
Pyke,A,4.35,10.4%,"18,610",3.1%
Corki,A,4.35,8.2%,"118,214",19.7%
Kindred,A,4.35,10.8%,"75,161",12.5%
Cho'Gath,A,4.37,13.3%,"80,831",13.5%
Riven,A,4.37,8.8%,"128,592",21.4%
Tahm Kench,A,4.39,14.4%,"184,864",30.8%
Fizz,B,4.41,7.9%,"109,470",18.2%
Urgot,B,4.41,11.1%,"84,813",14.1%
Kai'Sa,B,4.41,12.8%,"65,163",10.9%
Gragas,B,4.41,10.5%,"74,431",12.4%
Meepsie,B,4.42,11.1%,"234,025",39.0%
Milio,B,4.44,8.7%,"141,008",23.5%
Nunu & Willump,B,4.44,16.0%,"248,020",41.3%
Mordekaiser,B,4.46,13.5%,"205,519",34.2%
Rammus,B,4.47,8.5%,"135,102",22.5%
Maokai,B,4.47,13.2%,"182,211",30.4%
Aatrox,B,4.48,16.2%,"160,423",26.7%
Bel'Veth,B,4.49,10.0%,"73,431",12.2%
Xayah,B,4.49,16.4%,"66,330",11.1%
Aurelion Sol,B,4.49,11.3%,"57,937",9.7%
Graves,B,4.54,18.5%,"79,880",13.3%
Pantheon,B,4.57,12.4%,"75,178",12.5%
Jax,B,4.57,14.1%,"96,266",16.0%
Akali,B,4.58,16.0%,"97,732",16.3%
Viktor,B,4.60,8.5%,"15,043",2.5%
Lulu,B,4.60,12.1%,"33,315",5.6%
Illaoi,C,4.62,12.6%,"144,109",24.0%
Lissandra,C,4.63,10.9%,"73,569",12.3%
Twisted Fate,C,4.65,11.1%,"33,341",5.6%
Poppy,C,4.67,6.8%,"91,897",15.3%
Teemo,C,4.70,9.4%,"10,363",1.7%
LeBlanc,C,4.76,10.2%,"40,472",6.7%
Veigar,C,4.76,14.8%,"5,738",1.0%
Miss Fortune,D,4.81,7.1%,"19,515",3.3%
Nami,D,4.81,8.3%,"18,407",3.1%
Zoe,D,4.86,7.6%,"16,973",2.8%
Diana,D,4.89,10.7%,"23,319",3.9%
Rek'Sai,D,4.90,8.8%,"13,205",2.2%
Gwen,D,4.90,8.0%,"10,349",1.7%
Ezreal,D,4.93,12.5%,"11,652",1.9%
Ornn,D,4.96,7.1%,"30,618",5.1%
Leona,D,4.97,8.9%,"49,536",8.3%
Aurora,D,5.02,12.4%,"18,878",3.1%
Gnar,D,5.03,11.3%,"11,421",1.9%
Caitlyn,D,5.03,6.3%,"7,473",1.2%
Jinx,D,5.08,12.0%,"20,061",3.3%
Talon,D,5.10,7.8%,"8,381",1.4%
Samira,D,5.17,9.7%,"19,358",3.2%
Nasus,D,5.31,5.8%,"15,661",2.6%
Briar,D,6.03,5.0%,"8,684",1.4%
