Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.65,43.3%,104,0.0%
Rhaast,S,3.71,21.5%,"101,827",19.5%
Shen,S,3.74,19.7%,"88,642",17.0%
Bard,S,3.79,18.6%,"117,385",22.5%
Jhin,S,3.80,19.8%,"79,014",15.1%
Sona,S,3.91,19.0%,"88,089",16.9%
Fiora,S,3.93,20.1%,"89,809",17.2%
Blitzcrank,S,4.06,18.9%,"134,627",25.8%
Vex,S,4.18,21.4%,"60,301",11.6%
Morgana,S,4.18,16.7%,"87,175",16.7%
Master Yi,S,4.19,14.1%,"75,655",14.5%
Kindred,A,4.20,14.1%,"74,412",14.3%
Zed,A,4.22,22.2%,"8,271",1.6%
Gragas,A,4.25,13.7%,"74,450",14.3%
Urgot,A,4.25,14.4%,"83,439",16.0%
Bel'Veth,A,4.30,13.5%,"69,701",13.4%
Tahm Kench,A,4.31,15.2%,"135,918",26.0%
Maokai,A,4.34,14.5%,"124,192",23.8%
The Mighty Mech,A,4.38,10.8%,"178,005",34.1%
Riven,A,4.38,9.9%,"130,824",25.1%
Pyke,A,4.39,11.8%,"22,376",4.3%
Karma,A,4.39,13.8%,"178,719",34.2%
Corki,A,4.39,8.8%,"114,709",22.0%
Cho'Gath,B,4.43,13.7%,"75,897",14.5%
Fizz,B,4.43,8.5%,"104,966",20.1%
Aatrox,B,4.44,16.4%,"72,071",13.8%
Milio,B,4.44,9.8%,"138,480",26.5%
Kai'Sa,B,4.44,13.2%,"62,720",12.0%
Meepsie,B,4.46,11.3%,"229,616",44.0%
Graves,B,4.48,20.1%,"38,638",7.4%
Rammus,B,4.49,9.3%,"135,609",26.0%
Lulu,B,4.51,14.0%,"32,306",6.2%
Nunu & Willump,B,4.51,14.4%,"178,829",34.3%
Mordekaiser,B,4.52,12.9%,"206,231",39.5%
Akali,B,4.53,16.1%,"63,718",12.2%
Pantheon,B,4.53,13.8%,"69,250",13.3%
Twisted Fate,B,4.55,12.8%,"35,107",6.7%
Aurelion Sol,B,4.57,11.5%,"88,149",16.9%
Teemo,B,4.58,10.6%,"11,114",2.1%
Viktor,B,4.58,9.8%,"18,342",3.5%
Illaoi,C,4.62,12.4%,"146,670",28.1%
Jax,C,4.66,12.6%,"57,695",11.1%
Lissandra,C,4.68,10.6%,"75,829",14.5%
Rek'Sai,C,4.69,11.2%,"12,958",2.5%
Xayah,C,4.72,13.6%,"27,118",5.2%
Nami,C,4.73,9.2%,"24,408",4.7%
LeBlanc,C,4.73,11.0%,"42,804",8.2%
Poppy,C,4.74,7.2%,"88,572",17.0%
Gwen,C,4.75,10.2%,"10,829",2.1%
Zoe,C,4.77,8.4%,"21,970",4.2%
Samira,D,4.81,11.6%,"11,970",2.3%
Caitlyn,D,4.84,7.5%,"9,840",1.9%
Veigar,D,4.85,14.0%,"6,927",1.3%
Ornn,D,4.86,10.0%,"22,321",4.3%
Talon,D,4.86,8.7%,"10,387",2.0%
Miss Fortune,D,4.89,8.7%,"9,406",1.8%
Leona,D,4.94,9.6%,"49,607",9.5%
Ezreal,D,4.97,12.9%,"12,710",2.4%
Gnar,D,4.98,12.2%,"17,122",3.3%
Diana,D,4.99,13.3%,"16,621",3.2%
Aurora,D,4.99,13.8%,"18,820",3.6%
Jinx,D,5.09,15.5%,"15,252",2.9%
Nasus,D,5.12,7.1%,"16,741",3.2%
Briar,D,5.51,7.5%,"9,432",1.8%
