Unit,Cost,Avg Place,Top 4%,Games,Win%
Morgana,S,3.96,19.5%,"279,999",18.7%
Jhin,S,4.01,17.4%,"187,209",12.5%
Sona,S,4.03,17.6%,"168,201",11.3%
Shen,S,4.04,18.0%,"425,131",28.4%
Bard,S,4.05,17.9%,"296,475",19.8%
Nami,S,4.11,14.1%,"217,658",14.6%
Blitzcrank,S,4.12,17.3%,"418,558",28.0%
Rhaast,S,4.15,14.6%,"290,060",19.4%
Zed,S,4.16,19.6%,"21,790",1.5%
Lissandra,S,4.19,11.6%,"211,764",14.2%
Pyke,A,4.21,11.3%,"168,633",11.3%
Fiora,A,4.23,17.5%,"284,096",19.0%
Riven,A,4.27,14.4%,"269,278",18.0%
Vex,A,4.28,17.1%,"255,840",17.1%
Kindred,A,4.30,11.0%,"172,249",11.5%
Viktor,A,4.30,11.3%,"170,440",11.4%
Corki,A,4.33,13.0%,"142,348",9.5%
Caitlyn,A,4.33,10.1%,"172,247",11.5%
Bel'Veth,A,4.34,10.5%,"128,459",8.6%
Samira,A,4.37,14.7%,"99,658",6.7%
Meepsie,A,4.37,12.6%,"502,275",33.6%
Rek'Sai,A,4.38,9.4%,"85,351",5.7%
Mordekaiser,A,4.39,12.4%,"532,681",35.6%
Karma,B,4.40,13.4%,"383,116",25.6%
Milio,B,4.41,12.5%,"130,025",8.7%
Gwen,B,4.41,13.0%,"136,269",9.1%
Aatrox,B,4.41,12.5%,"371,690",24.9%
Xayah,B,4.41,14.3%,"182,707",12.2%
Talon,B,4.42,10.8%,"98,493",6.6%
Akali,B,4.44,13.0%,"293,405",19.6%
Teemo,B,4.44,10.4%,"61,079",4.1%
Illaoi,B,4.46,11.4%,"386,121",25.8%
Nunu & Willump,B,4.46,13.8%,"501,877",33.6%
Jax,B,4.48,12.4%,"242,555",16.2%
Kai'Sa,B,4.49,10.8%,"89,862",6.0%
Rammus,B,4.51,13.1%,"390,723",26.1%
Ornn,B,4.53,12.2%,"259,767",17.4%
Fizz,B,4.53,12.5%,"123,382",8.3%
Maokai,B,4.54,11.2%,"281,988",18.9%
Twisted Fate,B,4.56,9.6%,"99,175",6.6%
The Mighty Mech,B,4.58,13.8%,"234,633",15.7%
LeBlanc,B,4.58,10.0%,"181,227",12.1%
Zoe,B,4.59,8.8%,"103,096",6.9%
Gnar,B,4.60,14.1%,"105,078",7.0%
Briar,B,4.60,9.0%,"88,294",5.9%
Graves,C,4.61,15.2%,"198,160",13.3%
Nasus,C,4.62,11.0%,"137,866",9.2%
Veigar,C,4.63,12.7%,"47,868",3.2%
Poppy,C,4.63,12.0%,"131,553",8.8%
Pantheon,C,4.64,12.6%,"182,701",12.2%
Master Yi,C,4.64,11.3%,"150,332",10.1%
Tahm Kench,C,4.65,13.8%,"399,980",26.8%
Leona,C,4.68,9.3%,"177,173",11.9%
Aurelion Sol,C,4.69,14.5%,"132,785",8.9%
Urgot,C,4.75,12.7%,"169,932",11.4%
Cho'Gath,C,4.76,11.1%,"72,490",4.9%
Aurora,D,4.85,14.3%,"68,335",4.6%
Lulu,D,4.87,9.7%,"51,122",3.4%
Ezreal,D,4.87,11.8%,"52,883",3.5%
Miss Fortune,D,4.88,7.0%,"30,452",2.0%
Gragas,D,4.89,6.5%,"67,353",4.5%
Diana,D,4.97,11.8%,"34,012",2.3%
Jinx,D,5.35,12.0%,"36,345",2.4%
