Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.88,-2.62,71.2%,59,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,3.23,-1.27,41.1%,2695,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Sympathetic Implant,S,3.77,-0.73,14.2%,5854,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.92,-0.58,12.7%,3161,0.5%,Pyke | Master Yi | Fiora | Kindred | Urgot
Malware Matrix,S,4.03,-0.47,12.1%,3503,0.6%,Master Yi | Pyke | Fiora | Kindred | Sona
Drone Uplink,B,4.33,-0.17,8.8%,3225,0.5%,Sona | Viktor | Gragas | Pyke | Master Yi
Biomatter Preserver,C,4.45,-0.05,8.3%,1224,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.21,-0.03,11.8%,19958,3.2%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.22,-0.02,12.1%,14675,2.4%,Master Yi | Kindred | Fiora | Pyke | Urgot
Battle Bunny Crossbow,C,3.57,-0.02,37.0%,6668,1.1%,Jinx | Xayah | Graves | Corki | Kindred
Drone Uplink,C,4.43,-0.02,10.9%,16511,2.7%,Viktor | Urgot | Kindred | Sona | Fiora
Biomatter Preserver,C,4.36,-0.01,11.6%,13905,2.3%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Sympathetic Implant,C,4.55,-0.01,10.4%,16148,2.6%,Viktor | Sona | Maokai | Kindred | Urgot
Iceblast Armor,C,3.19,-0.01,44.6%,2749,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Broken Prototype,C,4.52,-0.01,14.8%,10013,1.6%,Illaoi | Meepsie | The Mighty Mech | Leona | Nunu & Willump
Lioness's Lament,C,3.36,-0.01,41.1%,2676,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Leaky Prototype,C,4.53,-0.01,14.7%,8364,1.4%,Aurora | LeBlanc | Milio | Bard | Jinx
Sparking Prototype,C,4.57,-0.01,14.3%,9126,1.5%,Jinx | LeBlanc | Riven | Aurora | Kindred
Echoing Batblades,C,3.57,-0.01,38.6%,2305,0.4%,Xayah | Jinx | Fiora | Graves | Corki
Cyclonic Slicers,C,3.68,-0.00,37.3%,2320,0.4%,Fiora | Diana | Riven | Blitzcrank | Illaoi
Searing Shortbow,C,3.67,-0.00,37.0%,2281,0.4%,Aurora | Aurelion Sol | Vex | Bard | Karma
The Annihilator,C,3.68,-0.00,34.7%,2175,0.4%,Aurora | Aurelion Sol | Corki | Fiora | Vex
Tentacle Slam,C,4.71,-0.00,15.7%,9590,1.6%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
UwU Blaster,C,3.76,-0.00,36.1%,2219,0.4%,Jinx | Xayah | Corki | Graves | Fiora
Guiding Hex,C,4.68,-0.00,17.0%,7685,1.2%,Aurora | Karma | Bard | Milio | Vex
Evolved Embershot,C,1.75,-0.00,72.7%,121,0.0%,Aurora | Aurelion Sol | Vex | Bard | Kindred
OwO Blaster,C,2.29,-0.00,65.5%,84,0.0%,Jinx | Graves | Xayah | Fiora | Corki
Deep Freeze,C,1.75,-0.00,76.8%,69,0.0%,Illaoi | Nunu & Willump | The Mighty Mech | Rammus | Tahm Kench
Leonine Lamentation,C,1.90,-0.00,79.4%,63,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Animapocalypse,C,2.23,-0.00,71.9%,64,0.0%,Aurora | Aurelion Sol | Fiora | Corki | Vex
Unceasing Cyclone,C,2.35,-0.00,67.3%,49,0.0%,Fiora | Diana | The Mighty Mech | Riven | Blitzcrank
Bunny Prime Ballista,C,2.64,-0.00,68.9%,45,0.0%,Graves | Xayah | Fiora | Jinx | Kindred
Vayne's Chromablades,C,2.60,-0.00,57.5%,40,0.0%,Fiora | Graves | Xayah | Jinx | Corki
Omniweapon,C,1.00,-0.00,100.0%,2,0.0%,Fiora | Jhin | LeBlanc | Shen
Savage Slicer,D,5.10,+0.00,12.4%,6177,1.0%,Riven | Briar | Fiora | Jinx | Blitzcrank
Rocket Swarm,D,5.15,+0.00,11.5%,5846,0.9%,Jinx | Kindred | Jhin | Graves | Corki
