Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.05,-3.45,95.0%,20,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.20,-1.30,43.7%,771,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Sympathetic Implant,S,3.72,-0.78,16.1%,1444,1.0%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.89,-0.61,13.6%,843,0.6%,Pyke | Master Yi | Sona | Viktor | Fiora
Malware Matrix,S,3.98,-0.52,12.3%,843,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Drone Uplink,B,4.39,-0.11,8.6%,883,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Malware Matrix,C,4.30,-0.02,10.8%,4349,2.9%,Master Yi | Kindred | Pyke | Fiora | Sona
Sympathetic Implant,C,4.37,-0.02,10.4%,4668,3.1%,Kindred | Sona | Viktor | Urgot | Fiora
Drone Uplink,C,4.40,-0.02,10.3%,4542,3.1%,Viktor | Kindred | Sona | Urgot | Fiora
Battle Bunny Crossbow,C,3.45,-0.02,39.4%,1727,1.2%,Jinx | Xayah | Graves | Kindred | Corki
Target-Lock Optics,C,4.28,-0.02,11.8%,3639,2.5%,Master Yi | Kindred | Pyke | Fiora | Urgot
Biomatter Preserver,C,4.37,-0.01,10.4%,3469,2.3%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Biomatter Preserver,C,4.49,-0.01,10.5%,353,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Iceblast Armor,C,3.07,-0.01,45.4%,734,0.5%,Illaoi | Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus
Lioness's Lament,C,3.14,-0.01,44.6%,736,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.49,-0.01,15.6%,2093,1.4%,Illaoi | Nunu & Willump | Meepsie | Leona | The Mighty Mech
The Annihilator,C,3.28,-0.01,42.5%,607,0.4%,Aurelion Sol | Aurora | Vex | Fiora | Jhin
Searing Shortbow,C,3.44,-0.01,39.9%,606,0.4%,Aurora | Aurelion Sol | Vex | Bard | Sona
Echoing Batblades,C,3.56,-0.01,41.4%,599,0.4%,Xayah | Jinx | Fiora | Graves | Kindred
UwU Blaster,C,3.55,-0.01,41.7%,597,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Tentacle Slam,C,4.61,-0.01,16.8%,2116,1.4%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Cyclonic Slicers,C,3.61,-0.01,39.8%,590,0.4%,Fiora | Diana | Blitzcrank | Riven | Illaoi
Sparking Prototype,C,4.62,-0.01,15.2%,1998,1.3%,Jinx | LeBlanc | Aurora | Vex | Fiora
Leaky Prototype,C,4.57,-0.01,15.5%,1756,1.2%,Aurora | LeBlanc | Blitzcrank | Sona | Karma
Guiding Hex,C,4.68,-0.00,16.5%,1702,1.1%,Aurora | Bard | Karma | Vex | Blitzcrank
Evolved Embershot,C,1.45,-0.00,82.5%,40,0.0%,Aurora | Aurelion Sol | Vex | Sona | Bard
OwO Blaster,C,2.45,-0.00,60.0%,20,0.0%,Jinx | Graves | Xayah | Fiora | Kindred
Leonine Lamentation,C,1.87,-0.00,80.0%,15,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Animapocalypse,C,2.50,-0.00,56.3%,16,0.0%,Aurora | Aurelion Sol | Vex | Fiora | Graves
Unceasing Cyclone,C,2.40,-0.00,66.7%,15,0.0%,Fiora | Diana | Riven | The Mighty Mech | Blitzcrank
Vayne's Chromablades,C,2.60,-0.00,73.3%,15,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
Deep Freeze,C,2.57,-0.00,71.4%,14,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Bunny Prime Ballista,C,3.18,-0.00,54.5%,11,0.0%,Graves | Fiora | Xayah | Jinx | Corki
Savage Slicer,D,5.11,+0.00,14.5%,1332,0.9%,Fiora | Briar | Riven | Graves | Blitzcrank
Rocket Swarm,D,5.15,+0.00,9.8%,1341,0.9%,Jinx | Jhin | Graves | Kindred | Xayah
