Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.17,-3.33,93.8%,48,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.20,-1.30,44.2%,1882,0.5%,Illaoi | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
Sympathetic Implant,S,3.75,-0.75,16.4%,3497,1.0%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.88,-0.62,13.5%,2083,0.6%,Pyke | Master Yi | Sona | Viktor | Fiora
Malware Matrix,S,4.05,-0.45,12.3%,2074,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Drone Uplink,C,4.42,-0.08,7.7%,2211,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.48,-0.02,10.2%,847,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.25,-0.02,11.4%,10178,2.8%,Master Yi | Pyke | Kindred | Fiora | Sona
Sympathetic Implant,C,4.40,-0.02,10.5%,10962,3.0%,Kindred | Sona | Viktor | Urgot | Master Yi
Drone Uplink,C,4.39,-0.02,10.4%,10795,3.0%,Viktor | Kindred | Sona | Urgot | Fiora
Battle Bunny Crossbow,C,3.49,-0.02,38.4%,4170,1.1%,Jinx | Xayah | Graves | Kindred | Corki
Target-Lock Optics,C,4.31,-0.02,11.2%,8815,2.4%,Master Yi | Pyke | Kindred | Fiora | Urgot
Biomatter Preserver,C,4.39,-0.01,10.5%,8187,2.3%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Iceblast Armor,C,3.10,-0.01,46.4%,1852,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.17,-0.01,44.9%,1814,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.48,-0.01,15.7%,5203,1.4%,Illaoi | Nunu & Willump | Meepsie | Leona | The Mighty Mech
Echoing Batblades,C,3.51,-0.01,41.1%,1481,0.4%,Xayah | Fiora | Jinx | Graves | Kindred
Searing Shortbow,C,3.49,-0.01,39.4%,1468,0.4%,Aurora | Aurelion Sol | Vex | Bard | Sona
The Annihilator,C,3.52,-0.01,40.1%,1487,0.4%,Aurelion Sol | Aurora | Vex | Fiora | Jhin
Sparking Prototype,C,4.55,-0.01,15.6%,4834,1.3%,Jinx | LeBlanc | Aurora | Vex | Fiora
Leaky Prototype,C,4.51,-0.01,15.9%,4361,1.2%,Aurora | LeBlanc | Blitzcrank | Sona | Karma
Cyclonic Slicers,C,3.72,-0.01,36.2%,1527,0.4%,Fiora | Diana | Blitzcrank | Riven | The Mighty Mech
UwU Blaster,C,3.67,-0.01,38.1%,1459,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Tentacle Slam,C,4.70,-0.00,16.5%,5062,1.4%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Guiding Hex,C,4.73,-0.00,16.9%,4215,1.2%,Aurora | Karma | Bard | Vex | Blitzcrank
Evolved Embershot,C,1.62,-0.00,79.6%,93,0.0%,Aurora | Aurelion Sol | Vex | Sona | Bard
Leonine Lamentation,C,1.35,-0.00,90.0%,40,0.0%,Illaoi | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
OwO Blaster,C,2.19,-0.00,67.3%,52,0.0%,Jinx | Graves | Xayah | Fiora | Kindred
Deep Freeze,C,1.78,-0.00,78.4%,37,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Animapocalypse,C,2.02,-0.00,65.0%,40,0.0%,Aurora | Aurelion Sol | Fiora | Vex | Graves
Vayne's Chromablades,C,2.27,-0.00,75.7%,37,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
Unceasing Cyclone,C,2.63,-0.00,65.7%,35,0.0%,Fiora | Diana | Blitzcrank | Riven | Graves
Bunny Prime Ballista,C,2.71,-0.00,67.7%,31,0.0%,Graves | Fiora | Xayah | Jinx | Kindred
Savage Slicer,D,5.06,+0.00,14.1%,3315,0.9%,Fiora | Briar | Riven | Graves | Blitzcrank
Rocket Swarm,D,5.15,+0.00,10.7%,3155,0.9%,Jinx | Jhin | Graves | Kindred | Xayah
