Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.63,-2.87,79.3%,2686,0.0%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Fiora
Radiant Field,B,4.35,-0.15,26.7%,72403,1.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Battle Bunny Crossbow,C,2.93,-0.05,51.0%,189164,2.6%,Xayah | Graves | Jinx | Urgot | Fiora
Drone Uplink,C,3.99,-0.05,13.5%,349714,4.8%,Viktor | Sona | Karma | Nami | Bard
Sympathetic Implant,C,4.25,-0.02,11.9%,196500,2.7%,Viktor | Sona | Nami | Karma | Bard
Target-Lock Optics,C,4.20,-0.01,12.3%,118168,1.6%,Pyke | Master Yi | Fiora | Kindred | Urgot
Biomatter Preserver,C,4.37,-0.01,11.4%,125234,1.7%,Illaoi | Tahm Kench | Rhaast | Nunu & Willump | Gragas
Malware Matrix,C,4.30,-0.01,11.9%,112515,1.5%,Pyke | Master Yi | Fiora | Kindred | Sona
Iceblast Armor,C,4.34,-0.01,28.8%,73829,1.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Lioness's Lament,C,4.34,-0.01,27.5%,67628,0.9%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Echoing Batblades,C,4.41,-0.01,26.2%,73785,1.0%,Xayah | Graves | Fiora | Urgot | Jhin
Broken Prototype,C,4.49,-0.00,19.5%,57558,0.8%,Nunu & Willump | Illaoi | Tahm Kench | Rammus | Rhaast
Sparking Prototype,C,4.54,-0.00,18.7%,49433,0.7%,Jhin | Jinx | Fiora | Xayah | Aurora
Leaky Prototype,C,4.49,-0.00,19.1%,39754,0.5%,Aurora | Karma | Bard | Sona | Blitzcrank
Cyclonic Slicers,C,4.64,-0.00,25.7%,50455,0.7%,Fiora | Nunu & Willump | The Mighty Mech | Rammus | Blitzcrank
Tentacle Slam,C,4.81,-0.00,19.1%,67560,0.9%,Illaoi | Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech
Evolved Embershot,C,1.81,-0.00,76.7%,4063,0.1%,Aurora | Aurelion Sol | Vex | Xayah | Bard
Searing Shortbow,C,4.84,-0.00,21.3%,59171,0.8%,Aurelion Sol | Aurora | Xayah | Bard | Vex
Bunny Prime Ballista,C,1.88,-0.00,76.7%,2900,0.0%,Xayah | Graves | Fiora | Jinx | Vex
OwO Blaster,C,2.53,-0.00,59.9%,3621,0.0%,Xayah | Jinx | Graves | Fiora | Jhin
Leonine Lamentation,C,1.90,-0.00,75.5%,2356,0.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Fiora
Deep Freeze,C,2.53,-0.00,65.0%,2571,0.0%,Nunu & Willump | The Mighty Mech | Illaoi | Rammus | Fiora
Guiding Hex,C,4.91,-0.00,17.4%,58024,0.8%,Aurora | Bard | Karma | Aurelion Sol | Vex
Vayne's Chromablades,C,2.79,-0.00,57.5%,2299,0.0%,Xayah | Fiora | Graves | Jinx | Master Yi
Animapocalypse,C,2.72,-0.00,59.3%,2140,0.0%,Aurelion Sol | Aurora | Xayah | Fiora | Vex
Unceasing Cyclone,C,2.80,-0.00,58.6%,2198,0.0%,Fiora | The Mighty Mech | Nunu & Willump | Rammus | Blitzcrank
UwU Blaster,C,4.92,-0.00,20.0%,63187,0.9%,Xayah | Urgot | Graves | Fiora | Jhin
Omniweapon,C,1.02,-0.00,98.5%,329,0.0%,Fiora | Graves | Blitzcrank | Jhin | Xayah
Savage Slicer,D,5.05,+0.00,16.4%,41367,0.6%,Fiora | Urgot | Jhin | Xayah | Master Yi
The Annihilator,D,5.08,+0.00,18.4%,50283,0.7%,Aurelion Sol | Xayah | Jhin | Aurora | Bard
Rocket Swarm,D,5.15,+0.00,15.5%,37859,0.5%,Xayah | Jhin | Jinx | Graves | Urgot
Target-Lock Optics,D,4.60,+0.10,7.2%,41676,0.6%,Pyke | Master Yi | Fiora | Sona | Urgot
Sympathetic Implant,D,4.62,+0.12,7.4%,47336,0.6%,Viktor | Sona | Pyke | Master Yi | Karma
Malware Matrix,D,4.67,+0.17,6.8%,37243,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Drone Uplink,D,4.75,+0.25,6.3%,58404,0.8%,Viktor | Sona | Master Yi | Pyke | Karma
Biomatter Preserver,D,4.89,+0.39,5.3%,22897,0.3%,Gragas | Illaoi | Rhaast | Tahm Kench | Master Yi
