Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.51,-2.99,88.1%,67,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.27,-1.23,42.9%,3020,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Sympathetic Implant,S,3.81,-0.69,14.6%,5616,0.9%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.94,-0.56,12.5%,3284,0.5%,Pyke | Master Yi | Sona | Viktor | Fiora
Malware Matrix,S,4.11,-0.39,11.0%,3371,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Drone Uplink,C,4.41,-0.09,7.3%,3561,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.43,-0.07,9.3%,1500,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Drone Uplink,C,4.36,-0.02,11.4%,16665,2.7%,Viktor | Kindred | Sona | Urgot | Fiora
Sympathetic Implant,C,4.38,-0.02,10.9%,16934,2.8%,Kindred | Sona | Viktor | Urgot | Master Yi
Malware Matrix,C,4.33,-0.02,10.6%,15482,2.5%,Master Yi | Pyke | Kindred | Fiora | Sona
Battle Bunny Crossbow,C,3.54,-0.02,38.0%,6917,1.1%,Jinx | Xayah | Graves | Kindred | Corki
Target-Lock Optics,C,4.34,-0.01,10.8%,13355,2.2%,Master Yi | Pyke | Kindred | Fiora | Urgot
Biomatter Preserver,C,4.40,-0.01,10.6%,12440,2.0%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Iceblast Armor,C,3.15,-0.01,46.5%,2953,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.18,-0.01,44.7%,2951,0.5%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.52,-0.01,16.1%,8373,1.4%,Illaoi | Meepsie | Nunu & Willump | Leona | The Mighty Mech
Searing Shortbow,C,3.55,-0.01,38.6%,2572,0.4%,Aurelion Sol | Aurora | Vex | Bard | Sona
Echoing Batblades,C,3.56,-0.01,40.3%,2521,0.4%,Xayah | Fiora | Jinx | Graves | Kindred
Leaky Prototype,C,4.49,-0.01,16.5%,6981,1.1%,LeBlanc | Aurora | Blitzcrank | Sona | Karma
Sparking Prototype,C,4.57,-0.01,16.1%,7626,1.3%,Jinx | LeBlanc | Aurora | Kindred | Fiora
The Annihilator,C,3.68,-0.01,35.9%,2409,0.4%,Aurelion Sol | Aurora | Fiora | Vex | Bard
Cyclonic Slicers,C,3.72,-0.01,37.9%,2439,0.4%,Fiora | Diana | Blitzcrank | Riven | The Mighty Mech
UwU Blaster,C,3.77,-0.00,37.6%,2283,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Tentacle Slam,C,4.78,-0.00,16.4%,8309,1.4%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Guiding Hex,C,4.80,-0.00,16.6%,6875,1.1%,Aurora | Karma | Bard | Vex | Blitzcrank
Evolved Embershot,C,1.83,-0.00,74.5%,145,0.0%,Aurora | Aurelion Sol | Vex | Bard | Sona
Leonine Lamentation,C,1.30,-0.00,88.5%,61,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
OwO Blaster,C,2.78,-0.00,59.2%,98,0.0%,Jinx | Xayah | Graves | Fiora | Kindred
Deep Freeze,C,2.54,-0.00,67.5%,80,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Unceasing Cyclone,C,2.72,-0.00,61.8%,76,0.0%,Fiora | Diana | Blitzcrank | The Mighty Mech | Illaoi
Animapocalypse,C,2.24,-0.00,70.9%,55,0.0%,Aurora | Aurelion Sol | Fiora | Graves | Bard
Bunny Prime Ballista,C,2.54,-0.00,69.5%,59,0.0%,Xayah | Graves | Fiora | Jinx | Kindred
Vayne's Chromablades,C,2.89,-0.00,54.7%,53,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
Savage Slicer,D,5.06,+0.00,14.8%,5301,0.9%,Fiora | Briar | Riven | Graves | Blitzcrank
Rocket Swarm,D,5.15,+0.00,12.1%,4990,0.8%,Jinx | Jhin | Graves | Kindred | Xayah
