Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.72,-2.78,75.5%,1226,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Radiant Field,S,3.92,-0.58,29.6%,27166,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Drone Uplink,C,4.09,-0.05,13.2%,152535,5.5%,Viktor | Sona | Karma | Aurelion Sol | Nami
Sympathetic Implant,C,4.33,-0.02,11.8%,89028,3.2%,Viktor | Sona | Nami | Karma | Aurelion Sol
Target-Lock Optics,C,4.27,-0.01,12.5%,52261,1.9%,Pyke | Master Yi | Fiora | Graves | Urgot
Battle Bunny Crossbow,C,3.84,-0.01,34.6%,30112,1.1%,Jinx | Xayah | Graves | Fiora | Urgot
Biomatter Preserver,C,4.42,-0.01,11.7%,56832,2.1%,Illaoi | Rhaast | Tahm Kench | The Mighty Mech | Gragas
Malware Matrix,C,4.34,-0.01,12.4%,50498,1.8%,Pyke | Master Yi | Fiora | Graves | Urgot
Iceblast Armor,C,3.88,-0.01,32.9%,27983,1.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Lioness's Lament,C,3.90,-0.01,31.4%,26272,1.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Broken Prototype,C,4.23,-0.01,20.4%,27693,1.0%,Illaoi | Nunu & Willump | Meepsie | Tahm Kench | The Mighty Mech
Searing Shortbow,C,4.16,-0.01,27.4%,24158,0.9%,Aurora | Aurelion Sol | Vex | Karma | Nami
Sparking Prototype,C,4.23,-0.01,20.4%,24625,0.9%,LeBlanc | Jinx | Fiora | Graves | Master Yi
Leaky Prototype,C,4.21,-0.01,20.4%,21491,0.8%,LeBlanc | Karma | Aurora | Sona | Morgana
Cyclonic Slicers,C,4.12,-0.01,30.0%,18710,0.7%,Fiora | Diana | The Mighty Mech | Illaoi | Blitzcrank
Echoing Batblades,C,4.32,-0.00,27.5%,17408,0.6%,Fiora | Xayah | Graves | Jinx | Urgot
The Annihilator,C,4.54,-0.00,22.8%,19887,0.7%,Aurora | Aurelion Sol | Fiora | Vex | Viktor
Tentacle Slam,C,4.67,-0.00,17.9%,26937,1.0%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
Evolved Embershot,C,1.63,-0.00,77.8%,2157,0.1%,Aurora | Aurelion Sol | Vex | Sona | Fiora
Guiding Hex,C,4.73,-0.00,16.8%,25686,0.9%,Aurora | Aurelion Sol | Karma | Bard | Vex
UwU Blaster,C,4.72,-0.00,22.2%,16078,0.6%,Jinx | Xayah | Fiora | Graves | Urgot
OwO Blaster,C,2.66,-0.00,54.4%,1602,0.1%,Jinx | Fiora | Graves | Xayah | Kindred
Leonine Lamentation,C,1.89,-0.00,74.4%,1135,0.0%,Illaoi | The Mighty Mech | Fiora | Nunu & Willump | Rammus
Deep Freeze,C,2.42,-0.00,65.7%,1187,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Animapocalypse,C,2.48,-0.00,61.1%,1146,0.0%,Aurora | Fiora | Aurelion Sol | Vex | Graves
Bunny Prime Ballista,C,2.44,-0.00,63.6%,1059,0.0%,Fiora | Graves | Jinx | Xayah | Aurora
Unceasing Cyclone,C,2.50,-0.00,63.2%,1072,0.0%,Fiora | Diana | The Mighty Mech | Illaoi | Blitzcrank
Rocket Swarm,C,4.82,-0.00,16.9%,13110,0.5%,Jinx | Graves | Fiora | Urgot | Jhin
Vayne's Chromablades,C,2.81,-0.00,57.6%,972,0.0%,Fiora | Graves | Jinx | Xayah | Master Yi
Savage Slicer,C,4.88,-0.00,16.4%,14955,0.5%,Fiora | Master Yi | Urgot | Graves | Briar
Omniweapon,C,1.03,-0.00,98.7%,155,0.0%,Fiora | Graves | Illaoi | Aurelion Sol | Vex
Sympathetic Implant,D,4.63,+0.13,7.9%,17844,0.6%,Viktor | Sona | Pyke | Master Yi | Aurelion Sol
Target-Lock Optics,D,4.63,+0.13,7.5%,15111,0.5%,Master Yi | Pyke | Sona | Fiora | Urgot
Malware Matrix,D,4.68,+0.18,7.2%,13754,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Drone Uplink,D,4.77,+0.27,6.7%,21371,0.8%,Viktor | Sona | Master Yi | Pyke | Aurelion Sol
Biomatter Preserver,D,4.89,+0.39,5.6%,7995,0.3%,Gragas | Illaoi | Master Yi | Rhaast | Tahm Kench
