Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.72,-2.78,77.2%,1884,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Fiora
Radiant Field,S,4.10,-0.40,28.6%,46100,1.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Drone Uplink,C,4.06,-0.05,13.3%,234883,5.2%,Viktor | Sona | Karma | Aurelion Sol | Nami
Battle Bunny Crossbow,C,3.32,-0.03,44.1%,79029,1.8%,Xayah | Graves | Jinx | Fiora | Urgot
Sympathetic Implant,C,4.28,-0.02,12.0%,133930,3.0%,Viktor | Sona | Nami | Karma | Bard
Target-Lock Optics,C,4.22,-0.01,12.8%,78283,1.7%,Pyke | Master Yi | Fiora | Graves | Urgot
Biomatter Preserver,C,4.39,-0.01,11.7%,85223,1.9%,Illaoi | Rhaast | Tahm Kench | The Mighty Mech | Gragas
Malware Matrix,C,4.32,-0.01,12.3%,75566,1.7%,Pyke | Master Yi | Fiora | Graves | Sona
Iceblast Armor,C,4.06,-0.01,31.3%,46681,1.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Lioness's Lament,C,4.09,-0.01,29.6%,43506,1.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Broken Prototype,C,4.33,-0.01,20.3%,41639,0.9%,Illaoi | Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech
Sparking Prototype,C,4.36,-0.01,19.5%,37383,0.8%,Jinx | LeBlanc | Fiora | Jhin | Graves
Echoing Batblades,C,4.35,-0.01,26.9%,36294,0.8%,Xayah | Fiora | Graves | Jinx | Urgot
Searing Shortbow,C,4.45,-0.00,24.9%,40042,0.9%,Aurelion Sol | Aurora | Vex | Xayah | Bard
Leaky Prototype,C,4.31,-0.00,20.0%,31110,0.7%,Aurora | Karma | LeBlanc | Sona | Bard
Cyclonic Slicers,C,4.35,-0.00,28.2%,31582,0.7%,Fiora | Diana | The Mighty Mech | Blitzcrank | Illaoi
Tentacle Slam,C,4.76,-0.00,18.0%,43724,1.0%,Illaoi | Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech
Evolved Embershot,C,1.72,-0.00,76.1%,3049,0.1%,Aurora | Aurelion Sol | Vex | Sona | Fiora
The Annihilator,C,4.78,-0.00,20.8%,32714,0.7%,Aurelion Sol | Aurora | Xayah | Fiora | Vex
Guiding Hex,C,4.82,-0.00,16.6%,39462,0.9%,Aurora | Aurelion Sol | Karma | Bard | Vex
UwU Blaster,C,4.82,-0.00,20.7%,32755,0.7%,Xayah | Graves | Jinx | Fiora | Urgot
OwO Blaster,C,2.64,-0.00,54.7%,2482,0.1%,Jinx | Graves | Fiora | Xayah | Jhin
Leonine Lamentation,C,1.94,-0.00,73.4%,1634,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Bunny Prime Ballista,C,2.20,-0.00,69.9%,1660,0.0%,Fiora | Graves | Xayah | Jinx | Jhin
Deep Freeze,C,2.44,-0.00,65.0%,1779,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Animapocalypse,C,2.50,-0.00,61.9%,1605,0.0%,Aurora | Fiora | Aurelion Sol | Vex | Graves
Unceasing Cyclone,C,2.53,-0.00,64.1%,1569,0.0%,Fiora | Diana | The Mighty Mech | Illaoi | Blitzcrank
Vayne's Chromablades,C,2.66,-0.00,58.0%,1452,0.0%,Fiora | Graves | Xayah | Jinx | Jhin
Omniweapon,C,1.01,-0.00,98.7%,232,0.0%,Fiora | Graves | Vex | Blitzcrank | The Mighty Mech
Savage Slicer,C,4.97,-0.00,16.2%,25687,0.6%,Fiora | Graves | Urgot | Master Yi | Briar
Rocket Swarm,D,5.03,+0.00,15.7%,23466,0.5%,Jinx | Xayah | Jhin | Graves | Fiora
Sympathetic Implant,D,4.62,+0.12,7.8%,29081,0.6%,Viktor | Sona | Pyke | Master Yi | Karma
Target-Lock Optics,D,4.62,+0.12,7.3%,24770,0.6%,Pyke | Master Yi | Sona | Fiora | Urgot
Malware Matrix,D,4.68,+0.18,7.0%,22881,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Drone Uplink,D,4.74,+0.24,6.7%,35381,0.8%,Viktor | Sona | Master Yi | Pyke | Aurelion Sol
Biomatter Preserver,D,4.88,+0.38,5.9%,13500,0.3%,Gragas | Illaoi | Master Yi | Rhaast | Tahm Kench
