Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.16,-3.34,85.9%,64,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,3.24,-1.26,41.8%,2519,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Sympathetic Implant,S,3.79,-0.71,14.9%,5681,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.93,-0.57,13.4%,3054,0.5%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,3.99,-0.51,12.7%,3417,0.6%,Master Yi | Pyke | Fiora | Kindred | Graves
Drone Uplink,B,4.31,-0.19,9.1%,3149,0.5%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.41,-0.09,9.7%,1242,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.21,-0.03,12.3%,19570,3.3%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.21,-0.02,12.6%,14504,2.5%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.41,-0.02,11.5%,16363,2.8%,Viktor | Urgot | Kindred | Sona | Fiora
Battle Bunny Crossbow,C,3.51,-0.02,37.9%,6185,1.0%,Jinx | Xayah | Graves | Kindred | Corki
Biomatter Preserver,C,4.36,-0.01,11.5%,13868,2.4%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Sympathetic Implant,C,4.53,-0.01,10.4%,16148,2.7%,Viktor | Sona | Maokai | Kindred | Urgot
Iceblast Armor,C,3.17,-0.01,45.5%,2575,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Broken Prototype,C,4.51,-0.01,15.2%,9311,1.6%,Illaoi | The Mighty Mech | Meepsie | Leona | Nunu & Willump
Lioness's Lament,C,3.35,-0.01,42.6%,2523,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Leaky Prototype,C,4.51,-0.01,15.1%,7779,1.3%,Aurora | LeBlanc | Milio | Bard | Karma
Sparking Prototype,C,4.57,-0.01,14.6%,8337,1.4%,Jinx | LeBlanc | Riven | Aurora | Kindred
Echoing Batblades,C,3.53,-0.01,38.7%,2185,0.4%,Xayah | Jinx | Fiora | Graves | Corki
The Annihilator,C,3.53,-0.01,38.3%,2029,0.3%,Aurelion Sol | Aurora | Fiora | Vex | Corki
Cyclonic Slicers,C,3.66,-0.00,38.4%,2143,0.4%,Fiora | Diana | Riven | Blitzcrank | Illaoi
Searing Shortbow,C,3.72,-0.00,35.9%,2111,0.4%,Aurora | Aurelion Sol | Vex | Bard | Karma
UwU Blaster,C,3.74,-0.00,34.8%,2027,0.3%,Jinx | Xayah | Corki | Graves | Kindred
Tentacle Slam,C,4.75,-0.00,16.3%,9019,1.5%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
Guiding Hex,C,4.77,-0.00,16.2%,7258,1.2%,Aurora | Karma | Bard | Milio | Vex
Evolved Embershot,C,1.76,-0.00,78.3%,106,0.0%,Aurora | Aurelion Sol | Vex | Bard | Sona
OwO Blaster,C,2.68,-0.00,57.1%,77,0.0%,Jinx | Graves | Xayah | Fiora | Corki
Deep Freeze,C,2.25,-0.00,67.9%,53,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Animapocalypse,C,1.98,-0.00,72.9%,48,0.0%,Aurelion Sol | Aurora | Fiora | Corki | Graves
Bunny Prime Ballista,C,2.21,-0.00,68.8%,48,0.0%,Graves | Xayah | Fiora | Jinx | Kindred
Leonine Lamentation,C,2.07,-0.00,76.7%,43,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Unceasing Cyclone,C,2.69,-0.00,60.4%,48,0.0%,Fiora | Diana | Blitzcrank | The Mighty Mech | Riven
Vayne's Chromablades,C,2.56,-0.00,52.8%,36,0.0%,Fiora | Graves | Jinx | Xayah | Kindred
Savage Slicer,D,5.10,+0.00,12.3%,5795,1.0%,Riven | Briar | Fiora | Jinx | Blitzcrank
Rocket Swarm,D,5.12,+0.00,11.8%,5551,0.9%,Jinx | Kindred | Jhin | Corki | Graves
