Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.67,-2.83,84.4%,64,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.26,-1.24,42.4%,3063,0.5%,Illaoi | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
Sympathetic Implant,S,3.81,-0.69,14.6%,5607,0.9%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.96,-0.54,12.6%,3217,0.5%,Pyke | Master Yi | Sona | Fiora | Viktor
Malware Matrix,S,4.07,-0.43,11.6%,3272,0.5%,Master Yi | Pyke | Sona | Viktor | Fiora
Drone Uplink,C,4.43,-0.07,7.0%,3393,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.47,-0.03,8.1%,1486,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Drone Uplink,C,4.35,-0.02,11.2%,15926,2.6%,Viktor | Kindred | Sona | Urgot | Fiora
Malware Matrix,C,4.32,-0.02,10.7%,14712,2.4%,Master Yi | Pyke | Kindred | Fiora | Sona
Sympathetic Implant,C,4.39,-0.02,10.8%,16125,2.7%,Kindred | Sona | Viktor | Urgot | Master Yi
Battle Bunny Crossbow,C,3.53,-0.02,37.9%,6699,1.1%,Jinx | Xayah | Graves | Kindred | Corki
Target-Lock Optics,C,4.34,-0.01,10.8%,12787,2.1%,Master Yi | Pyke | Kindred | Fiora | Urgot
Biomatter Preserver,C,4.40,-0.01,11.0%,11832,2.0%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Lioness's Lament,C,3.14,-0.01,44.9%,2957,0.5%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Iceblast Armor,C,3.12,-0.01,46.8%,2908,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.52,-0.01,16.1%,8242,1.4%,Illaoi | Meepsie | Nunu & Willump | Leona | The Mighty Mech
Searing Shortbow,C,3.54,-0.01,39.4%,2567,0.4%,Aurelion Sol | Aurora | Vex | Bard | Sona
Echoing Batblades,C,3.53,-0.01,40.5%,2487,0.4%,Xayah | Fiora | Jinx | Graves | Kindred
Leaky Prototype,C,4.50,-0.01,16.7%,6873,1.1%,LeBlanc | Aurora | Blitzcrank | Sona | Karma
Sparking Prototype,C,4.58,-0.01,16.1%,7511,1.2%,Jinx | LeBlanc | Aurora | Kindred | Fiora
The Annihilator,C,3.69,-0.01,36.5%,2362,0.4%,Aurelion Sol | Aurora | Vex | Fiora | Bard
Cyclonic Slicers,C,3.73,-0.00,37.6%,2376,0.4%,Fiora | Diana | Blitzcrank | The Mighty Mech | Riven
UwU Blaster,C,3.71,-0.00,37.7%,2320,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Tentacle Slam,C,4.77,-0.00,16.2%,7991,1.3%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Guiding Hex,C,4.81,-0.00,16.8%,6613,1.1%,Aurora | Karma | Bard | Blitzcrank | Vex
Evolved Embershot,C,1.69,-0.00,79.1%,153,0.0%,Aurora | Aurelion Sol | Vex | Bard | Sona
OwO Blaster,C,2.48,-0.00,61.7%,94,0.0%,Jinx | Graves | Xayah | Fiora | Kindred
Leonine Lamentation,C,1.35,-0.00,89.5%,57,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Fiora
Deep Freeze,C,2.32,-0.00,68.4%,76,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Unceasing Cyclone,C,2.51,-0.00,68.0%,75,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Illaoi
Animapocalypse,C,2.30,-0.00,66.1%,56,0.0%,Aurelion Sol | Aurora | Fiora | Bard | Graves
Bunny Prime Ballista,C,2.62,-0.00,70.5%,61,0.0%,Graves | Xayah | Fiora | Jinx | Kindred
Vayne's Chromablades,C,3.08,-0.00,51.5%,66,0.0%,Fiora | Graves | Xayah | Jinx | Kindred
Savage Slicer,D,5.05,+0.00,14.7%,4994,0.8%,Briar | Fiora | Riven | Blitzcrank | Graves
Rocket Swarm,D,5.21,+0.00,11.7%,4953,0.8%,Jinx | Jhin | Graves | Kindred | Samira
