Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.15,-3.35,92.3%,26,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.37,-1.13,42.4%,1455,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Sympathetic Implant,S,3.90,-0.60,16.2%,3813,1.1%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.91,-0.59,15.7%,2166,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,4.09,-0.41,13.9%,2432,0.7%,Master Yi | Pyke | Fiora | Kindred | Urgot
Drone Uplink,B,4.31,-0.19,10.2%,2331,0.7%,Sona | Viktor | Gragas | Pyke | Master Yi
Malware Matrix,C,4.09,-0.04,15.3%,15572,4.4%,Master Yi | Kindred | Fiora | Urgot | Pyke
Target-Lock Optics,C,4.12,-0.03,14.8%,12761,3.6%,Master Yi | Kindred | Fiora | Urgot | Pyke
Biomatter Preserver,C,4.36,-0.02,12.9%,11937,3.4%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Drone Uplink,C,4.47,-0.02,12.2%,13504,3.8%,Kindred | Urgot | Viktor | Fiora | Sona
Sympathetic Implant,C,4.58,-0.02,11.4%,13499,3.8%,Maokai | Kindred | Urgot | Fiora | Tahm Kench
Battle Bunny Crossbow,C,3.54,-0.01,38.9%,3441,1.0%,Xayah | Jinx | Kindred | Graves | Urgot
Iceblast Armor,C,3.16,-0.01,50.1%,1488,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Nunu & Willump | Rammus
Lioness's Lament,C,3.16,-0.01,46.5%,1397,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Echoing Batblades,C,3.69,-0.00,38.5%,1190,0.3%,Xayah | Fiora | Kindred | Urgot | Jinx
Searing Shortbow,C,3.94,-0.00,34.8%,1217,0.3%,Aurelion Sol | Aurora | Karma | Bard | Kindred
Cyclonic Slicers,C,3.91,-0.00,37.0%,1178,0.3%,Fiora | The Mighty Mech | Diana | Urgot | Master Yi
UwU Blaster,C,3.88,-0.00,35.2%,1074,0.3%,Xayah | Kindred | Urgot | Fiora | Jinx
The Annihilator,C,3.92,-0.00,34.8%,1102,0.3%,Aurelion Sol | Aurora | Fiora | Kindred | Karma
Broken Prototype,C,4.55,-0.00,16.1%,1716,0.5%,Illaoi | Meepsie | Tahm Kench | The Mighty Mech | Maokai
Sparking Prototype,C,4.66,-0.00,15.3%,1534,0.4%,LeBlanc | Jinx | Kindred | Aurora | Fiora
Tentacle Slam,C,4.88,-0.00,16.7%,3726,1.1%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Maokai
Leaky Prototype,C,4.73,-0.00,15.0%,1358,0.4%,Aurora | LeBlanc | Karma | Sona | Bard
Evolved Embershot,C,1.91,-0.00,74.2%,66,0.0%,Aurora | Aurelion Sol | Vex | Karma | Xayah
OwO Blaster,C,2.19,-0.00,66.1%,59,0.0%,Jinx | Xayah | Fiora | Graves | Kindred
Leonine Lamentation,C,1.61,-0.00,81.6%,38,0.0%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Deep Freeze,C,2.12,-0.00,71.4%,42,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Guiding Hex,C,4.96,-0.00,16.4%,3131,0.9%,Aurora | Karma | Bard | Aurelion Sol | Kindred
Animapocalypse,C,2.52,-0.00,71.4%,42,0.0%,Aurelion Sol | Aurora | Fiora | Vex | Xayah
Unceasing Cyclone,C,2.17,-0.00,78.3%,23,0.0%,Fiora | The Mighty Mech | Master Yi | Nunu & Willump | Diana
Vayne's Chromablades,C,3.20,-0.00,60.0%,35,0.0%,Fiora | Xayah | Graves | Kindred | Jinx
Bunny Prime Ballista,C,2.39,-0.00,60.9%,23,0.0%,Xayah | Fiora | Graves | Kindred | Jinx
Savage Slicer,D,5.04,+0.00,14.5%,2837,0.8%,Briar | Fiora | Riven | Master Yi | Urgot
Rocket Swarm,D,5.38,+0.00,10.7%,2285,0.6%,Jinx | Kindred | Urgot | Corki | Jhin
Biomatter Preserver,D,4.58,+0.08,8.7%,877,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Illaoi
