Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.39,-3.11,91.7%,72,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.23,-1.27,44.3%,3108,0.5%,Illaoi | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
Sympathetic Implant,S,3.81,-0.69,15.5%,5719,0.9%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.92,-0.58,13.3%,3396,0.6%,Pyke | Master Yi | Sona | Viktor | Fiora
Malware Matrix,S,4.11,-0.39,11.3%,3431,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Drone Uplink,C,4.41,-0.09,7.4%,3674,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.43,-0.07,10.3%,1463,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.28,-0.02,11.1%,16282,2.6%,Master Yi | Pyke | Kindred | Fiora | Sona
Drone Uplink,C,4.37,-0.02,11.2%,17407,2.8%,Viktor | Kindred | Sona | Urgot | Fiora
Sympathetic Implant,C,4.38,-0.02,10.8%,17685,2.9%,Kindred | Sona | Viktor | Urgot | Master Yi
Battle Bunny Crossbow,C,3.52,-0.02,37.8%,7122,1.2%,Jinx | Xayah | Graves | Kindred | Corki
Target-Lock Optics,C,4.35,-0.01,10.7%,14039,2.3%,Master Yi | Pyke | Kindred | Fiora | Urgot
Biomatter Preserver,C,4.41,-0.01,10.4%,13049,2.1%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Iceblast Armor,C,3.16,-0.01,46.3%,3090,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.23,-0.01,44.0%,3020,0.5%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.51,-0.01,15.9%,8643,1.4%,Illaoi | Meepsie | Nunu & Willump | Leona | The Mighty Mech
Leaky Prototype,C,4.46,-0.01,16.5%,7245,1.2%,LeBlanc | Aurora | Blitzcrank | Sona | Karma
Echoing Batblades,C,3.52,-0.01,40.0%,2555,0.4%,Xayah | Fiora | Jinx | Graves | Kindred
Searing Shortbow,C,3.57,-0.01,38.2%,2573,0.4%,Aurelion Sol | Aurora | Vex | Bard | Sona
Sparking Prototype,C,4.54,-0.01,15.8%,7882,1.3%,Jinx | LeBlanc | Aurora | Kindred | Vex
Cyclonic Slicers,C,3.69,-0.01,37.2%,2513,0.4%,Fiora | Diana | Blitzcrank | The Mighty Mech | Riven
The Annihilator,C,3.70,-0.01,36.8%,2471,0.4%,Aurelion Sol | Aurora | Vex | Fiora | Jhin
UwU Blaster,C,3.79,-0.00,37.1%,2336,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Tentacle Slam,C,4.80,-0.00,16.2%,8516,1.4%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Guiding Hex,C,4.78,-0.00,16.7%,7116,1.2%,Aurora | Karma | Bard | Vex | Blitzcrank
Evolved Embershot,C,1.79,-0.00,75.3%,150,0.0%,Aurora | Aurelion Sol | Vex | Sona | Bard
Leonine Lamentation,C,1.28,-0.00,88.4%,69,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
OwO Blaster,C,2.69,-0.00,60.6%,99,0.0%,Jinx | Graves | Xayah | Fiora | Kindred
Deep Freeze,C,2.31,-0.00,68.7%,83,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Bunny Prime Ballista,C,2.36,-0.00,70.5%,61,0.0%,Graves | Xayah | Fiora | Jinx | Kindred
Animapocalypse,C,2.41,-0.00,62.7%,59,0.0%,Aurora | Aurelion Sol | Fiora | Graves | Bard
Unceasing Cyclone,C,2.77,-0.00,60.6%,66,0.0%,Fiora | Blitzcrank | Diana | Illaoi | The Mighty Mech
Vayne's Chromablades,C,2.68,-0.00,64.5%,62,0.0%,Fiora | Graves | Xayah | Jinx | Kindred
Savage Slicer,D,5.03,+0.00,14.9%,5554,0.9%,Fiora | Briar | Riven | Graves | Blitzcrank
Rocket Swarm,D,5.13,+0.00,11.9%,5153,0.8%,Jinx | Jhin | Graves | Kindred | Xayah
