Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.71,-2.79,77.8%,2291,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,A,4.25,-0.25,27.4%,60533,1.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Drone Uplink,C,4.01,-0.05,13.5%,288230,5.0%,Viktor | Sona | Karma | Nami | Bard
Battle Bunny Crossbow,C,3.07,-0.04,48.4%,130229,2.2%,Xayah | Graves | Jinx | Urgot | Fiora
Sympathetic Implant,C,4.26,-0.02,12.2%,163818,2.8%,Viktor | Sona | Nami | Karma | Bard
Target-Lock Optics,C,4.20,-0.01,12.9%,96116,1.7%,Pyke | Master Yi | Fiora | Urgot | Sona
Biomatter Preserver,C,4.36,-0.01,11.8%,103763,1.8%,Illaoi | Tahm Kench | Rhaast | Nunu & Willump | Gragas
Malware Matrix,C,4.30,-0.01,12.4%,92159,1.6%,Pyke | Master Yi | Fiora | Urgot | Graves
Iceblast Armor,C,4.21,-0.01,29.8%,60753,1.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Lioness's Lament,C,4.21,-0.01,28.4%,56146,1.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Echoing Batblades,C,4.37,-0.01,26.5%,54099,0.9%,Xayah | Fiora | Graves | Urgot | Kindred
Broken Prototype,C,4.42,-0.00,19.8%,49380,0.8%,Illaoi | Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech
Sparking Prototype,C,4.47,-0.00,19.1%,43834,0.8%,Jhin | Jinx | LeBlanc | Fiora | Xayah
Cyclonic Slicers,C,4.50,-0.00,26.9%,40779,0.7%,Fiora | The Mighty Mech | Nunu & Willump | Rammus | Blitzcrank
Leaky Prototype,C,4.43,-0.00,19.3%,35672,0.6%,Karma | Aurora | Bard | Sona | Blitzcrank
Searing Shortbow,C,4.68,-0.00,22.5%,50293,0.9%,Aurelion Sol | Aurora | Vex | Xayah | Bard
Evolved Embershot,C,1.72,-0.00,77.0%,3559,0.1%,Aurora | Aurelion Sol | Vex | Xayah | Sona
Tentacle Slam,C,4.81,-0.00,18.4%,56121,1.0%,Illaoi | Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech
OwO Blaster,C,2.55,-0.00,58.2%,3108,0.1%,Jinx | Xayah | Graves | Fiora | Jhin
Bunny Prime Ballista,C,2.11,-0.00,71.9%,2165,0.0%,Xayah | Graves | Fiora | Jinx | Jhin
Leonine Lamentation,C,1.90,-0.00,74.4%,1990,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Fiora
Guiding Hex,C,4.88,-0.00,16.8%,49188,0.8%,Aurora | Bard | Karma | Aurelion Sol | Nami
UwU Blaster,C,4.88,-0.00,20.4%,48547,0.8%,Xayah | Graves | Urgot | Fiora | Jinx
Deep Freeze,C,2.44,-0.00,66.0%,2119,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Animapocalypse,C,2.58,-0.00,61.1%,1840,0.0%,Aurora | Aurelion Sol | Fiora | Xayah | Vex
Unceasing Cyclone,C,2.66,-0.00,61.5%,1842,0.0%,Fiora | The Mighty Mech | Blitzcrank | Illaoi | Nunu & Willump
Vayne's Chromablades,C,2.80,-0.00,57.1%,1853,0.0%,Xayah | Fiora | Graves | Jhin | Jinx
The Annihilator,C,4.96,-0.00,19.1%,41983,0.7%,Aurelion Sol | Xayah | Aurora | Jhin | Vex
Omniweapon,C,1.01,-0.00,99.2%,266,0.0%,Fiora | Graves | The Mighty Mech | Morgana | Aurora
Savage Slicer,D,5.02,+0.00,16.1%,33837,0.6%,Fiora | Urgot | Jhin | Graves | Master Yi
Rocket Swarm,D,5.12,+0.00,15.3%,31511,0.5%,Xayah | Jhin | Jinx | Urgot | Graves
Target-Lock Optics,D,4.60,+0.10,7.2%,32516,0.6%,Pyke | Master Yi | Sona | Fiora | Graves
Sympathetic Implant,D,4.60,+0.10,7.8%,37391,0.6%,Viktor | Sona | Pyke | Karma | Master Yi
Malware Matrix,D,4.67,+0.17,6.9%,29546,0.5%,Master Yi | Pyke | Fiora | Sona | Graves
Drone Uplink,D,4.74,+0.24,6.3%,46166,0.8%,Viktor | Sona | Master Yi | Pyke | Aurelion Sol
Biomatter Preserver,D,4.87,+0.37,5.6%,17746,0.3%,Gragas | Illaoi | Rhaast | Tahm Kench | Master Yi
