Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.65,-2.85,76.5%,17,0.0%,The Mighty Mech | Illaoi | Tahm Kench | Nunu & Willump | Rammus
Radiant Field,S,3.33,-1.17,42.6%,902,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Sympathetic Implant,S,3.71,-0.79,17.4%,2205,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.75,-0.75,16.5%,1275,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,3.94,-0.56,14.7%,1250,0.6%,Master Yi | Pyke | Fiora | Kindred | Sona
Drone Uplink,S,4.15,-0.35,10.5%,1277,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.44,-0.06,8.4%,487,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,3.96,-0.03,16.2%,6798,3.1%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.35,-0.02,12.7%,8310,3.8%,Viktor | Kindred | Urgot | Sona | Fiora
Target-Lock Optics,C,4.05,-0.02,16.1%,5618,2.6%,Master Yi | Kindred | Fiora | Pyke | Urgot
Sympathetic Implant,C,4.34,-0.02,13.4%,7922,3.6%,Maokai | Sona | Kindred | Viktor | Urgot
Biomatter Preserver,C,4.18,-0.02,14.0%,6148,2.8%,Tahm Kench | Maokai | Gragas | Illaoi | The Mighty Mech
Battle Bunny Crossbow,C,3.45,-0.02,38.9%,2258,1.0%,Jinx | Xayah | Kindred | Graves | Urgot
Broken Prototype,C,4.45,-0.01,16.3%,3376,1.5%,Illaoi | The Mighty Mech | Meepsie | Leona | Nunu & Willump
Iceblast Armor,C,3.24,-0.01,46.1%,969,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Sparking Prototype,C,4.48,-0.01,16.0%,3031,1.4%,Jinx | LeBlanc | Riven | Aurora | Kindred
Lioness's Lament,C,3.32,-0.01,40.0%,926,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Leaky Prototype,C,4.53,-0.01,14.6%,2874,1.3%,Aurora | LeBlanc | Milio | Karma | Bard
Searing Shortbow,C,3.66,-0.00,38.0%,794,0.4%,Aurelion Sol | Aurora | Karma | Kindred | Vex
The Annihilator,C,3.63,-0.00,39.1%,770,0.4%,Aurelion Sol | Aurora | Fiora | Karma | Kindred
Echoing Batblades,C,3.54,-0.00,40.1%,698,0.3%,Fiora | Xayah | Kindred | Jinx | Urgot
Cyclonic Slicers,C,3.78,-0.00,36.4%,760,0.3%,Fiora | Diana | The Mighty Mech | Riven | Master Yi
UwU Blaster,C,3.90,-0.00,34.9%,687,0.3%,Jinx | Kindred | Xayah | Fiora | Urgot
Tentacle Slam,C,4.81,-0.00,15.5%,3443,1.6%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Nunu & Willump
Guiding Hex,C,4.82,-0.00,15.7%,2980,1.4%,Aurora | Karma | Bard | Aurelion Sol | Milio
Evolved Embershot,C,1.42,-0.00,86.8%,38,0.0%,Aurora | Aurelion Sol | Vex | Fiora | Bard
OwO Blaster,C,2.50,-0.00,64.3%,28,0.0%,Jinx | Fiora | Xayah | Graves | Kindred
Deep Freeze,C,1.15,-0.00,92.3%,13,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Leonine Lamentation,C,1.17,-0.00,83.3%,12,0.0%,The Mighty Mech | Illaoi | Rammus | Tahm Kench | Nunu & Willump
Bunny Prime Ballista,C,1.92,-0.00,75.0%,12,0.0%,Xayah | Graves | Fiora | Jinx | Kindred
Animapocalypse,C,2.43,-0.00,64.3%,14,0.0%,Aurelion Sol | Aurora | Fiora | Graves | Xayah
Unceasing Cyclone,C,1.73,-0.00,81.8%,11,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Riven
Vayne's Chromablades,C,2.00,-0.00,80.0%,10,0.0%,Fiora | Xayah | Graves | Kindred | Jinx
Savage Slicer,D,5.03,+0.00,13.1%,2110,1.0%,Briar | Fiora | Riven | Master Yi | Urgot
Rocket Swarm,D,5.17,+0.00,11.8%,2176,1.0%,Jinx | Kindred | Corki | Karma | Urgot
