Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.35,-3.15,83.7%,43,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.29,-1.21,44.0%,1861,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Sympathetic Implant,S,3.67,-0.83,18.1%,4883,1.1%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.71,-0.79,17.0%,2700,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,3.88,-0.62,16.1%,2845,0.6%,Master Yi | Pyke | Fiora | Sona | Kindred
Drone Uplink,S,4.13,-0.37,11.1%,2793,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,B,4.37,-0.13,9.3%,1094,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,3.98,-0.03,16.5%,15697,3.4%,Master Yi | Kindred | Pyke | Fiora | Urgot
Target-Lock Optics,C,4.05,-0.03,15.9%,12446,2.7%,Master Yi | Kindred | Pyke | Fiora | Urgot
Drone Uplink,C,4.32,-0.03,13.1%,17306,3.7%,Viktor | Sona | Urgot | Kindred | Aurelion Sol
Biomatter Preserver,C,4.18,-0.02,14.0%,13182,2.8%,Tahm Kench | Maokai | Illaoi | Gragas | The Mighty Mech
Sympathetic Implant,C,4.37,-0.02,13.0%,16458,3.5%,Sona | Viktor | Maokai | Karma | Kindred
Battle Bunny Crossbow,C,3.43,-0.02,39.4%,4711,1.0%,Jinx | Xayah | Kindred | Graves | Corki
Iceblast Armor,C,3.15,-0.01,47.5%,2052,0.4%,The Mighty Mech | Illaoi | Rammus | Nunu & Willump | Tahm Kench
Broken Prototype,C,4.45,-0.01,16.7%,6930,1.5%,Illaoi | The Mighty Mech | Meepsie | Leona | Nunu & Willump
Sparking Prototype,C,4.49,-0.01,15.8%,6187,1.3%,Jinx | LeBlanc | Riven | Aurora | Kindred
Lioness's Lament,C,3.36,-0.01,42.3%,1900,0.4%,The Mighty Mech | Illaoi | Rammus | Tahm Kench | Nunu & Willump
Leaky Prototype,C,4.53,-0.01,15.4%,5804,1.3%,Aurora | LeBlanc | Milio | Karma | Bard
The Annihilator,C,3.59,-0.00,40.3%,1597,0.3%,Aurelion Sol | Aurora | Fiora | Karma | Bard
Cyclonic Slicers,C,3.68,-0.00,38.7%,1626,0.4%,Fiora | Diana | The Mighty Mech | Riven | Blitzcrank
Echoing Batblades,C,3.62,-0.00,40.5%,1542,0.3%,Fiora | Jinx | Xayah | Kindred | Urgot
Searing Shortbow,C,3.69,-0.00,38.5%,1594,0.3%,Aurelion Sol | Aurora | Karma | Vex | Bard
UwU Blaster,C,3.88,-0.00,35.4%,1431,0.3%,Jinx | Fiora | Xayah | Kindred | Urgot
Tentacle Slam,C,4.79,-0.00,16.0%,7207,1.6%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Nunu & Willump
Guiding Hex,C,4.80,-0.00,16.7%,6195,1.3%,Aurora | Karma | Bard | Aurelion Sol | Sona
Evolved Embershot,C,1.42,-0.00,87.8%,74,0.0%,Aurora | Aurelion Sol | Vex | Fiora | Sona
OwO Blaster,C,2.62,-0.00,62.0%,50,0.0%,Jinx | Graves | Fiora | Xayah | Kindred
Leonine Lamentation,C,1.56,-0.00,85.3%,34,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Fiora | Rammus
Deep Freeze,C,1.43,-0.00,86.7%,30,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Unceasing Cyclone,C,2.16,-0.00,76.0%,25,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Master Yi
Animapocalypse,C,2.62,-0.00,65.5%,29,0.0%,Aurelion Sol | Aurora | Fiora | Corki | Graves
Vayne's Chromablades,C,2.40,-0.00,64.0%,25,0.0%,Fiora | Jinx | Xayah | Graves | Kindred
Bunny Prime Ballista,C,1.58,-0.00,84.2%,19,0.0%,Graves | Xayah | Jinx | Fiora | Kindred
Savage Slicer,C,5.00,-0.00,13.9%,4454,1.0%,Briar | Riven | Fiora | Master Yi | Jinx
Rocket Swarm,D,5.18,+0.00,11.6%,4472,1.0%,Jinx | Kindred | Karma | Corki | Riven
