Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.11,-3.39,96.3%,27,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,3.36,-1.14,42.2%,1361,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Nunu & Willump | Rammus
Target-Lock Optics,S,3.94,-0.56,15.0%,2017,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Sympathetic Implant,S,3.94,-0.56,15.8%,3487,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Malware Matrix,S,4.04,-0.46,15.0%,2204,0.7%,Master Yi | Pyke | Fiora | Kindred | Urgot
Drone Uplink,A,4.25,-0.25,11.5%,2164,0.6%,Sona | Viktor | Gragas | Master Yi | Urgot
Malware Matrix,C,4.10,-0.04,15.2%,14407,4.3%,Master Yi | Kindred | Fiora | Urgot | Pyke
Target-Lock Optics,C,4.14,-0.03,14.8%,11843,3.5%,Master Yi | Kindred | Fiora | Urgot | Pyke
Biomatter Preserver,C,4.35,-0.02,13.2%,11056,3.3%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Drone Uplink,C,4.46,-0.02,12.3%,12538,3.7%,Kindred | Urgot | Viktor | Fiora | Sona
Sympathetic Implant,C,4.57,-0.02,11.2%,12313,3.7%,Maokai | Kindred | Urgot | Fiora | Tahm Kench
Battle Bunny Crossbow,C,3.59,-0.01,38.6%,3182,0.9%,Xayah | Jinx | Kindred | Graves | Urgot
Iceblast Armor,C,3.08,-0.01,49.8%,1342,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.17,-0.01,47.0%,1297,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Echoing Batblades,C,3.66,-0.00,39.3%,1066,0.3%,Xayah | Fiora | Urgot | Kindred | Jinx
The Annihilator,C,3.78,-0.00,35.2%,1048,0.3%,Aurelion Sol | Aurora | Fiora | Karma | Kindred
Cyclonic Slicers,C,3.82,-0.00,37.9%,1077,0.3%,Fiora | The Mighty Mech | Diana | Urgot | Riven
Searing Shortbow,C,3.90,-0.00,34.1%,1104,0.3%,Aurelion Sol | Aurora | Bard | Karma | Vex
UwU Blaster,C,3.88,-0.00,35.7%,1037,0.3%,Xayah | Kindred | Urgot | Fiora | Jinx
Broken Prototype,C,4.56,-0.00,16.4%,1641,0.5%,Illaoi | Meepsie | Tahm Kench | The Mighty Mech | Maokai
Tentacle Slam,C,4.84,-0.00,17.4%,3460,1.0%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Nunu & Willump
Sparking Prototype,C,4.69,-0.00,15.2%,1423,0.4%,LeBlanc | Jinx | Kindred | Aurora | Fiora
Leaky Prototype,C,4.74,-0.00,16.4%,1312,0.4%,Aurora | LeBlanc | Karma | Bard | Sona
OwO Blaster,C,2.05,-0.00,74.5%,55,0.0%,Jinx | Xayah | Fiora | Graves | Kindred
Evolved Embershot,C,2.13,-0.00,75.0%,56,0.0%,Aurora | Aurelion Sol | Vex | Xayah | Karma
Guiding Hex,C,4.95,-0.00,16.3%,2912,0.9%,Aurora | Karma | Bard | Aurelion Sol | Kindred
Leonine Lamentation,C,1.41,-0.00,86.2%,29,0.0%,The Mighty Mech | Illaoi | Rammus | Nunu & Willump | Tahm Kench
Deep Freeze,C,2.14,-0.00,66.7%,36,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Animapocalypse,C,2.41,-0.00,64.9%,37,0.0%,Aurelion Sol | Aurora | Fiora | Vex | Xayah
Bunny Prime Ballista,C,2.34,-0.00,65.6%,32,0.0%,Xayah | Graves | Fiora | Kindred | Jinx
Vayne's Chromablades,C,3.45,-0.00,54.5%,33,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
Unceasing Cyclone,C,3.35,-0.00,55.0%,20,0.0%,Fiora | The Mighty Mech | Diana | Nunu & Willump | Rammus
Savage Slicer,D,5.03,+0.00,14.5%,2566,0.8%,Briar | Fiora | Riven | Master Yi | Urgot
Rocket Swarm,D,5.37,+0.00,10.8%,2097,0.6%,Jinx | Kindred | Urgot | Corki | Jhin
Biomatter Preserver,D,4.66,+0.16,8.7%,837,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Illaoi
