Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.66,-2.84,86.8%,38,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,3.25,-1.25,42.9%,2363,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Sympathetic Implant,S,3.79,-0.71,15.8%,5625,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.87,-0.63,15.5%,2972,0.5%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,4.00,-0.50,12.8%,3262,0.6%,Master Yi | Pyke | Fiora | Kindred | Sona
Drone Uplink,B,4.30,-0.20,9.9%,2990,0.5%,Sona | Viktor | Gragas | Pyke | Master Yi
Malware Matrix,C,4.13,-0.03,13.7%,19454,3.5%,Master Yi | Kindred | Fiora | Pyke | Urgot
Biomatter Preserver,C,4.47,-0.03,10.3%,1247,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Target-Lock Optics,C,4.20,-0.02,13.0%,14623,2.7%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.39,-0.02,11.8%,16842,3.1%,Viktor | Urgot | Kindred | Sona | Fiora
Biomatter Preserver,C,4.30,-0.02,12.2%,14061,2.6%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Battle Bunny Crossbow,C,3.49,-0.02,37.6%,5727,1.0%,Jinx | Xayah | Graves | Kindred | Corki
Sympathetic Implant,C,4.49,-0.02,11.4%,16516,3.0%,Viktor | Sona | Maokai | Kindred | Urgot
Broken Prototype,C,4.46,-0.01,15.5%,8727,1.6%,Illaoi | The Mighty Mech | Meepsie | Leona | Nunu & Willump
Iceblast Armor,C,3.15,-0.01,45.8%,2485,0.5%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Sparking Prototype,C,4.48,-0.01,15.6%,7803,1.4%,Jinx | LeBlanc | Riven | Aurora | Kindred
Lioness's Lament,C,3.26,-0.01,41.2%,2265,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Leaky Prototype,C,4.46,-0.01,16.0%,7210,1.3%,LeBlanc | Aurora | Milio | Karma | Bard
Echoing Batblades,C,3.60,-0.01,38.3%,2001,0.4%,Jinx | Fiora | Xayah | Kindred | Graves
Cyclonic Slicers,C,3.63,-0.00,36.7%,1937,0.4%,Fiora | Diana | Riven | Blitzcrank | The Mighty Mech
Searing Shortbow,C,3.65,-0.00,35.6%,1924,0.3%,Aurelion Sol | Aurora | Vex | Bard | Karma
The Annihilator,C,3.65,-0.00,37.3%,1860,0.3%,Aurelion Sol | Aurora | Fiora | Vex | Corki
UwU Blaster,C,3.65,-0.00,37.3%,1835,0.3%,Jinx | Xayah | Kindred | Corki | Fiora
Tentacle Slam,C,4.73,-0.00,16.1%,9029,1.6%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Nunu & Willump
Guiding Hex,C,4.76,-0.00,16.3%,7562,1.4%,Aurora | Karma | Bard | Milio | Vex
Evolved Embershot,C,1.40,-0.00,83.9%,93,0.0%,Aurora | Aurelion Sol | Vex | Karma | Sona
OwO Blaster,C,2.71,-0.00,57.1%,63,0.0%,Jinx | Graves | Fiora | Kindred | Xayah
Deep Freeze,C,2.31,-0.00,78.4%,51,0.0%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Vayne's Chromablades,C,2.43,-0.00,70.5%,44,0.0%,Fiora | Graves | Xayah | Jinx | Kindred
Leonine Lamentation,C,1.94,-0.00,80.0%,35,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Bunny Prime Ballista,C,2.15,-0.00,76.5%,34,0.0%,Jinx | Xayah | Graves | Fiora | Kindred
Unceasing Cyclone,C,2.29,-0.00,71.4%,35,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Illaoi
Animapocalypse,C,2.31,-0.00,75.0%,32,0.0%,Aurelion Sol | Aurora | Fiora | Vex | Diana
Omniweapon,C,1.00,-0.00,100.0%,1,0.0%,Aurora | Blitzcrank | Fiora | Graves | LeBlanc
Savage Slicer,D,5.07,+0.00,12.8%,5622,1.0%,Riven | Briar | Fiora | Jinx | Master Yi
Rocket Swarm,D,5.21,+0.00,11.0%,5570,1.0%,Jinx | Kindred | Jhin | Corki | Riven
