Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.43,-3.07,84.8%,46,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.23,-1.27,42.2%,2366,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Sympathetic Implant,S,3.76,-0.74,15.6%,5566,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.82,-0.68,15.7%,2979,0.5%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,3.96,-0.54,12.6%,3255,0.6%,Master Yi | Pyke | Fiora | Sona | Kindred
Drone Uplink,B,4.33,-0.17,8.8%,2960,0.5%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.46,-0.04,9.9%,1171,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.17,-0.03,12.8%,18812,3.4%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.19,-0.02,12.9%,14095,2.5%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.38,-0.02,12.0%,16249,2.9%,Viktor | Urgot | Kindred | Sona | Fiora
Battle Bunny Crossbow,C,3.44,-0.02,38.6%,5973,1.1%,Jinx | Xayah | Graves | Kindred | Corki
Biomatter Preserver,C,4.33,-0.02,11.8%,13601,2.4%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Sympathetic Implant,C,4.50,-0.01,10.5%,15742,2.8%,Viktor | Sona | Maokai | Urgot | Kindred
Broken Prototype,C,4.44,-0.01,16.3%,8363,1.5%,Illaoi | Meepsie | The Mighty Mech | Leona | Nunu & Willump
Iceblast Armor,C,3.23,-0.01,44.6%,2518,0.5%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Lioness's Lament,C,3.27,-0.01,42.6%,2291,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Leaky Prototype,C,4.45,-0.01,16.1%,7062,1.3%,LeBlanc | Aurora | Milio | Bard | Karma
Sparking Prototype,C,4.51,-0.01,15.8%,7684,1.4%,Jinx | LeBlanc | Riven | Aurora | Kindred
Echoing Batblades,C,3.57,-0.01,38.7%,1983,0.4%,Xayah | Jinx | Fiora | Graves | Corki
The Annihilator,C,3.46,-0.00,39.4%,1798,0.3%,Aurelion Sol | Aurora | Fiora | Vex | Bard
Cyclonic Slicers,C,3.66,-0.00,36.4%,1980,0.4%,Fiora | Diana | Riven | Blitzcrank | Illaoi
Searing Shortbow,C,3.69,-0.00,36.5%,1961,0.4%,Aurora | Aurelion Sol | Vex | Bard | Karma
UwU Blaster,C,3.70,-0.00,36.2%,1908,0.3%,Jinx | Xayah | Corki | Kindred | Fiora
Tentacle Slam,C,4.74,-0.00,16.2%,8671,1.6%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
Guiding Hex,C,4.76,-0.00,16.3%,7044,1.3%,Aurora | Karma | Bard | Milio | Vex
Evolved Embershot,C,1.73,-0.00,80.2%,86,0.0%,Aurora | Aurelion Sol | Vex | Bard | Sona
OwO Blaster,C,2.76,-0.00,57.6%,66,0.0%,Jinx | Graves | Xayah | Fiora | Corki
Deep Freeze,C,2.63,-0.00,66.7%,51,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Animapocalypse,C,2.05,-0.00,73.7%,38,0.0%,Aurelion Sol | Aurora | Fiora | Graves | Corki
Bunny Prime Ballista,C,2.00,-0.00,75.0%,36,0.0%,Xayah | Graves | Fiora | Jinx | Kindred
Leonine Lamentation,C,1.43,-0.00,86.7%,30,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Unceasing Cyclone,C,2.51,-0.00,69.2%,39,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Illaoi
Vayne's Chromablades,C,3.06,-0.00,58.3%,36,0.0%,Fiora | Jinx | Xayah | Graves | Corki
Savage Slicer,D,5.10,+0.00,12.7%,5552,1.0%,Riven | Briar | Fiora | Jinx | Master Yi
Rocket Swarm,D,5.11,+0.00,11.9%,5436,1.0%,Jinx | Kindred | Jhin | Corki | Graves
