Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.58,-2.92,80.6%,31,0.0%,The Mighty Mech | Illaoi | Tahm Kench | Nunu & Willump | Rammus
Radiant Field,S,3.37,-1.13,41.6%,1718,0.4%,The Mighty Mech | Tahm Kench | Illaoi | Rammus | Nunu & Willump
Sympathetic Implant,S,3.89,-0.61,15.3%,4237,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.96,-0.54,15.9%,2291,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,4.08,-0.42,13.1%,2717,0.7%,Master Yi | Pyke | Fiora | Kindred | Urgot
Drone Uplink,A,4.28,-0.22,12.1%,2505,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.44,-0.06,11.5%,968,0.2%,Gragas | Tahm Kench | Maokai | Master Yi | Pyke
Malware Matrix,C,4.10,-0.04,15.6%,19772,4.8%,Master Yi | Kindred | Fiora | Urgot | Pyke
Target-Lock Optics,C,4.20,-0.03,15.0%,15574,3.7%,Master Yi | Kindred | Fiora | Urgot | Pyke
Biomatter Preserver,C,4.38,-0.02,13.1%,14875,3.6%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Drone Uplink,C,4.52,-0.02,11.9%,16785,4.0%,Kindred | Urgot | Fiora | Viktor | Bel'Veth
Sympathetic Implant,C,4.62,-0.02,11.6%,16685,4.0%,Maokai | Kindred | Urgot | Fiora | Tahm Kench
Battle Bunny Crossbow,C,3.55,-0.01,38.8%,4063,1.0%,Xayah | Jinx | Kindred | Graves | Urgot
Iceblast Armor,C,3.09,-0.01,49.1%,1681,0.4%,The Mighty Mech | Tahm Kench | Illaoi | Rammus | Nunu & Willump
Lioness's Lament,C,3.23,-0.01,45.4%,1660,0.4%,The Mighty Mech | Tahm Kench | Illaoi | Rammus | Nunu & Willump
Cyclonic Slicers,C,3.68,-0.00,38.5%,1433,0.3%,Fiora | Master Yi | Diana | The Mighty Mech | Urgot
Echoing Batblades,C,3.68,-0.00,39.4%,1412,0.3%,Kindred | Xayah | Fiora | Urgot | Jinx
UwU Blaster,C,3.87,-0.00,34.5%,1467,0.4%,Kindred | Xayah | Urgot | Fiora | Jinx
Searing Shortbow,C,3.93,-0.00,35.8%,1313,0.3%,Aurelion Sol | Aurora | Kindred | Karma | Bard
The Annihilator,C,3.94,-0.00,33.4%,1278,0.3%,Aurelion Sol | Aurora | Fiora | Kindred | Karma
Broken Prototype,C,4.69,-0.00,13.9%,2484,0.6%,Illaoi | The Mighty Mech | Meepsie | Tahm Kench | Maokai
Leaky Prototype,C,4.74,-0.00,13.8%,1865,0.4%,Aurora | LeBlanc | Milio | Karma | Bard
Sparking Prototype,C,4.87,-0.00,13.1%,2315,0.6%,Jinx | LeBlanc | Kindred | Riven | Aurora
Evolved Embershot,C,1.82,-0.00,79.8%,84,0.0%,Aurora | Aurelion Sol | Vex | Kindred | Fiora
Leonine Lamentation,C,1.20,-0.00,90.9%,55,0.0%,The Mighty Mech | Tahm Kench | Illaoi | Rammus | Nunu & Willump
OwO Blaster,C,2.34,-0.00,67.2%,67,0.0%,Jinx | Xayah | Fiora | Kindred | Graves
Unceasing Cyclone,C,2.55,-0.00,70.0%,40,0.0%,Fiora | The Mighty Mech | Diana | Riven | Master Yi
Vayne's Chromablades,C,3.11,-0.00,44.7%,47,0.0%,Fiora | Xayah | Graves | Kindred | Master Yi
Bunny Prime Ballista,C,2.53,-0.00,68.8%,32,0.0%,Graves | Xayah | Fiora | Kindred | Jinx
Deep Freeze,C,2.67,-0.00,69.7%,33,0.0%,The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump | Illaoi
Animapocalypse,C,2.81,-0.00,59.4%,32,0.0%,Aurelion Sol | Aurora | Fiora | Jhin | Kindred
Tentacle Slam,D,5.00,+0.00,14.7%,4592,1.1%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Maokai
Guiding Hex,D,5.01,+0.00,15.4%,3629,0.9%,Aurora | Karma | Bard | Aurelion Sol | Kindred
Savage Slicer,D,5.16,+0.00,12.9%,3469,0.8%,Briar | Fiora | Riven | Master Yi | Urgot
Rocket Swarm,D,5.47,+0.00,10.9%,2806,0.7%,Jinx | Kindred | Corki | Urgot | Riven
