Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.57,-2.93,91.4%,35,0.0%,Illaoi | Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus
Radiant Field,S,3.14,-1.36,45.0%,1603,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Sympathetic Implant,S,3.93,-0.57,13.3%,3609,1.0%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,4.00,-0.50,12.3%,2212,0.6%,Pyke | Master Yi | Sona | Fiora | Viktor
Malware Matrix,S,4.14,-0.36,10.0%,2153,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Drone Uplink,C,4.40,-0.10,7.7%,2392,0.7%,Sona | Viktor | Gragas | Master Yi | Pyke
Malware Matrix,C,4.28,-0.02,10.9%,9490,2.8%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.40,-0.02,10.4%,11066,3.2%,Viktor | Kindred | Urgot | Sona | Fiora
Sympathetic Implant,C,4.38,-0.02,10.8%,10542,3.1%,Viktor | Sona | Kindred | Urgot | Fiora
Battle Bunny Crossbow,C,3.43,-0.02,38.8%,3981,1.2%,Jinx | Xayah | Graves | Kindred | Corki
Target-Lock Optics,C,4.32,-0.02,10.9%,8267,2.4%,Master Yi | Kindred | Fiora | Pyke | Urgot
Biomatter Preserver,C,4.48,-0.02,9.0%,946,0.3%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Biomatter Preserver,C,4.38,-0.01,10.4%,7642,2.2%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Iceblast Armor,C,3.06,-0.01,47.7%,1595,0.5%,Illaoi | Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus
Broken Prototype,C,4.49,-0.01,14.8%,5316,1.5%,Illaoi | Meepsie | Leona | Nunu & Willump | The Mighty Mech
Lioness's Lament,C,3.30,-0.01,44.1%,1534,0.4%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Sparking Prototype,C,4.48,-0.01,14.9%,4830,1.4%,Jinx | LeBlanc | Aurora | Riven | Kindred
Leaky Prototype,C,4.47,-0.01,14.3%,4184,1.2%,Aurora | LeBlanc | Blitzcrank | Milio | Karma
Echoing Batblades,C,3.39,-0.01,42.3%,1324,0.4%,Xayah | Jinx | Fiora | Graves | Kindred
Cyclonic Slicers,C,3.52,-0.01,40.5%,1288,0.4%,Fiora | Diana | Blitzcrank | Riven | Illaoi
UwU Blaster,C,3.60,-0.01,38.3%,1263,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
The Annihilator,C,3.62,-0.00,38.4%,1231,0.4%,Aurora | Aurelion Sol | Fiora | Vex | Jhin
Tentacle Slam,C,4.67,-0.00,16.7%,4950,1.4%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Searing Shortbow,C,3.79,-0.00,34.7%,1339,0.4%,Aurora | Aurelion Sol | Vex | Bard | Karma
Guiding Hex,C,4.71,-0.00,15.7%,4015,1.2%,Aurora | Bard | Karma | Vex | Blitzcrank
Evolved Embershot,C,1.43,-0.00,88.3%,77,0.0%,Aurora | Aurelion Sol | Vex | Bard | Xayah
OwO Blaster,C,1.85,-0.00,76.1%,46,0.0%,Jinx | Xayah | Fiora | Graves | Kindred
Animapocalypse,C,1.53,-0.00,81.3%,32,0.0%,Aurelion Sol | Aurora | Fiora | Vex | Xayah
Leonine Lamentation,C,1.76,-0.00,84.8%,33,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Deep Freeze,C,1.97,-0.00,72.7%,33,0.0%,Illaoi | Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus
Bunny Prime Ballista,C,2.79,-0.00,61.8%,34,0.0%,Graves | Xayah | Fiora | Jinx | Kindred
Unceasing Cyclone,C,2.89,-0.00,65.7%,35,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Illaoi
Vayne's Chromablades,C,2.84,-0.00,59.4%,32,0.0%,Xayah | Fiora | Graves | Jinx | Kindred
Savage Slicer,C,4.98,-0.00,14.4%,3064,0.9%,Fiora | Briar | Riven | Blitzcrank | Jinx
Omniweapon,C,1.00,-0.00,100.0%,1,0.0%,Fiora | Sona | Blitzcrank | Jhin | Jinx
Rocket Swarm,D,5.20,+0.00,10.2%,3017,0.9%,Jinx | Jhin | Kindred | Graves | Xayah
