Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.70,-2.80,78.1%,73,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.33,-1.17,40.6%,2999,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Sympathetic Implant,S,3.83,-0.67,14.1%,5925,1.0%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.98,-0.52,12.1%,3359,0.6%,Pyke | Master Yi | Sona | Viktor | Gragas
Malware Matrix,S,4.07,-0.43,11.1%,3377,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Drone Uplink,C,4.44,-0.06,6.6%,3394,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.46,-0.04,7.7%,1453,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Drone Uplink,C,4.36,-0.02,11.0%,15423,2.6%,Viktor | Sona | Kindred | Urgot | Fiora
Battle Bunny Crossbow,C,3.53,-0.02,37.3%,6709,1.1%,Jinx | Xayah | Graves | Kindred | Corki
Malware Matrix,C,4.30,-0.02,10.7%,13878,2.3%,Master Yi | Pyke | Kindred | Fiora | Sona
Sympathetic Implant,C,4.38,-0.02,11.1%,15646,2.6%,Sona | Kindred | Viktor | Urgot | Master Yi
Target-Lock Optics,C,4.35,-0.01,10.7%,12143,2.0%,Master Yi | Pyke | Kindred | Fiora | Sona
Biomatter Preserver,C,4.42,-0.01,10.8%,11513,1.9%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Iceblast Armor,C,3.19,-0.01,45.9%,2965,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.25,-0.01,44.2%,2901,0.5%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.52,-0.01,15.7%,8189,1.4%,Illaoi | Meepsie | Leona | Nunu & Willump | The Mighty Mech
Echoing Batblades,C,3.53,-0.01,39.5%,2472,0.4%,Xayah | Fiora | Jinx | Graves | Urgot
Searing Shortbow,C,3.62,-0.01,36.8%,2617,0.4%,Aurelion Sol | Aurora | Vex | Bard | Sona
Sparking Prototype,C,4.55,-0.01,15.5%,7557,1.3%,Jinx | LeBlanc | Aurora | Kindred | Fiora
Leaky Prototype,C,4.52,-0.01,15.9%,6781,1.1%,LeBlanc | Aurora | Blitzcrank | Sona | Karma
The Annihilator,C,3.68,-0.01,36.1%,2391,0.4%,Aurelion Sol | Aurora | Vex | Fiora | Bard
Cyclonic Slicers,C,3.78,-0.00,36.2%,2434,0.4%,Fiora | Diana | Blitzcrank | The Mighty Mech | Riven
UwU Blaster,C,3.81,-0.00,35.2%,2393,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Tentacle Slam,C,4.76,-0.00,16.3%,7917,1.3%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Guiding Hex,C,4.85,-0.00,15.8%,6621,1.1%,Aurora | Karma | Bard | Vex | Blitzcrank
Evolved Embershot,C,1.60,-0.00,82.7%,150,0.0%,Aurora | Aurelion Sol | Vex | Bard | Sona
OwO Blaster,C,2.24,-0.00,67.3%,98,0.0%,Jinx | Graves | Fiora | Xayah | Kindred
Deep Freeze,C,2.32,-0.00,67.9%,81,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Bunny Prime Ballista,C,2.30,-0.00,73.4%,79,0.0%,Graves | Fiora | Xayah | Jinx | Kindred
Leonine Lamentation,C,1.60,-0.00,83.3%,60,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Fiora
Unceasing Cyclone,C,2.28,-0.00,70.3%,74,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Illaoi
Animapocalypse,C,2.21,-0.00,66.1%,62,0.0%,Aurelion Sol | Aurora | Fiora | Vex | Bard
Vayne's Chromablades,C,2.80,-0.00,54.9%,71,0.0%,Fiora | Graves | Jinx | Xayah | Kindred
Savage Slicer,D,5.08,+0.00,14.2%,4795,0.8%,Briar | Fiora | Riven | Blitzcrank | Graves
Rocket Swarm,D,5.26,+0.00,11.0%,5004,0.8%,Jinx | Jhin | Graves | Samira | Kindred
