Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.50,-3.00,87.5%,48,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,3.29,-1.21,41.8%,2329,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Sympathetic Implant,S,3.75,-0.75,16.8%,5676,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.84,-0.66,16.3%,3096,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,3.98,-0.52,13.7%,3387,0.6%,Master Yi | Pyke | Fiora | Kindred | Graves
Drone Uplink,A,4.25,-0.25,10.9%,3165,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.41,-0.09,11.2%,1251,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.11,-0.03,14.0%,20266,3.7%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.16,-0.02,13.9%,15158,2.8%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.39,-0.02,11.9%,17675,3.2%,Viktor | Urgot | Kindred | Sona | Fiora
Biomatter Preserver,C,4.31,-0.02,12.5%,14659,2.7%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Sympathetic Implant,C,4.49,-0.02,11.4%,17217,3.1%,Viktor | Sona | Maokai | Kindred | Urgot
Battle Bunny Crossbow,C,3.50,-0.02,38.1%,5638,1.0%,Jinx | Xayah | Graves | Kindred | Corki
Iceblast Armor,C,3.13,-0.01,46.2%,2475,0.5%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Broken Prototype,C,4.47,-0.01,15.5%,8508,1.6%,Illaoi | The Mighty Mech | Meepsie | Leona | Nunu & Willump
Lioness's Lament,C,3.26,-0.01,41.7%,2266,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Sparking Prototype,C,4.49,-0.01,15.4%,7472,1.4%,Jinx | LeBlanc | Riven | Aurora | Kindred
Leaky Prototype,C,4.50,-0.01,15.2%,7072,1.3%,LeBlanc | Aurora | Milio | Karma | Bard
Cyclonic Slicers,C,3.62,-0.00,37.7%,1938,0.4%,Fiora | Diana | Riven | Blitzcrank | The Mighty Mech
Echoing Batblades,C,3.64,-0.00,37.7%,1917,0.3%,Jinx | Fiora | Xayah | Kindred | Graves
Searing Shortbow,C,3.67,-0.00,35.9%,1959,0.4%,Aurelion Sol | Aurora | Vex | Bard | Karma
The Annihilator,C,3.66,-0.00,36.9%,1858,0.3%,Aurelion Sol | Aurora | Fiora | Vex | Corki
UwU Blaster,C,3.66,-0.00,36.9%,1853,0.3%,Jinx | Kindred | Xayah | Fiora | Corki
Tentacle Slam,C,4.73,-0.00,16.1%,9002,1.6%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Nunu & Willump
Guiding Hex,C,4.77,-0.00,15.7%,7656,1.4%,Aurora | Karma | Bard | Milio | Aurelion Sol
Evolved Embershot,C,1.50,-0.00,81.5%,92,0.0%,Aurora | Aurelion Sol | Vex | Sona | Karma
OwO Blaster,C,2.64,-0.00,61.0%,59,0.0%,Jinx | Fiora | Graves | Xayah | Kindred
Deep Freeze,C,2.09,-0.00,76.6%,47,0.0%,The Mighty Mech | Illaoi | Rammus | Nunu & Willump | Tahm Kench
Leonine Lamentation,C,1.65,-0.00,87.5%,40,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Fiora
Vayne's Chromablades,C,1.91,-0.00,68.6%,35,0.0%,Fiora | Graves | Xayah | Jinx | Kindred
Animapocalypse,C,2.06,-0.00,74.3%,35,0.0%,Aurelion Sol | Aurora | Fiora | Jhin | Vex
Bunny Prime Ballista,C,2.17,-0.00,77.8%,36,0.0%,Jinx | Fiora | Graves | Kindred | Xayah
Unceasing Cyclone,C,2.62,-0.00,67.6%,34,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Illaoi
Omniweapon,C,1.00,-0.00,100.0%,2,0.0%,Blitzcrank | Fiora | The Mighty Mech | LeBlanc | Vex
Savage Slicer,D,5.08,+0.00,13.2%,5646,1.0%,Riven | Briar | Fiora | Jinx | Master Yi
Rocket Swarm,D,5.18,+0.00,11.2%,5440,1.0%,Jinx | Kindred | Corki | Riven | Karma
