Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.48,-3.02,83.3%,42,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.26,-1.24,42.2%,2378,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Sympathetic Implant,S,3.75,-0.75,16.0%,5541,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.81,-0.69,15.7%,2987,0.5%,Master Yi | Pyke | Fiora | Urgot | Kindred
Malware Matrix,S,3.94,-0.56,13.2%,3210,0.6%,Master Yi | Pyke | Fiora | Kindred | Sona
Drone Uplink,A,4.27,-0.23,9.7%,2927,0.5%,Sona | Viktor | Gragas | Pyke | Master Yi
Biomatter Preserver,C,4.47,-0.03,10.5%,1176,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.15,-0.03,13.2%,18753,3.4%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.21,-0.02,12.8%,14018,2.6%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.39,-0.02,11.7%,16254,3.0%,Viktor | Urgot | Kindred | Sona | Fiora
Biomatter Preserver,C,4.33,-0.02,11.9%,13623,2.5%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Battle Bunny Crossbow,C,3.46,-0.02,38.2%,5824,1.1%,Jinx | Xayah | Graves | Kindred | Corki
Sympathetic Implant,C,4.48,-0.01,11.2%,15800,2.9%,Viktor | Sona | Maokai | Kindred | Urgot
Broken Prototype,C,4.45,-0.01,16.0%,8416,1.5%,Illaoi | The Mighty Mech | Meepsie | Leona | Rhaast
Iceblast Armor,C,3.20,-0.01,45.6%,2465,0.5%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Sparking Prototype,C,4.50,-0.01,16.1%,7759,1.4%,Jinx | LeBlanc | Riven | Aurora | Kindred
Lioness's Lament,C,3.26,-0.01,41.5%,2230,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Leaky Prototype,C,4.45,-0.01,16.2%,7019,1.3%,LeBlanc | Aurora | Milio | Karma | Bard
Echoing Batblades,C,3.61,-0.00,38.1%,1909,0.3%,Jinx | Xayah | Fiora | Graves | Kindred
Cyclonic Slicers,C,3.63,-0.00,36.5%,1933,0.4%,Fiora | Diana | Riven | Blitzcrank | Illaoi
Tentacle Slam,C,4.70,-0.00,16.4%,8798,1.6%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
Searing Shortbow,C,3.66,-0.00,36.2%,1896,0.3%,Aurelion Sol | Aurora | Vex | Bard | Karma
The Annihilator,C,3.64,-0.00,37.2%,1814,0.3%,Aurelion Sol | Aurora | Fiora | Vex | Corki
UwU Blaster,C,3.74,-0.00,36.1%,1832,0.3%,Jinx | Xayah | Corki | Kindred | Fiora
Guiding Hex,C,4.74,-0.00,16.4%,7285,1.3%,Aurora | Karma | Bard | Milio | Vex
Evolved Embershot,C,1.41,-0.00,84.4%,90,0.0%,Aurora | Aurelion Sol | Vex | Sona | Bard
Deep Freeze,C,2.42,-0.00,74.6%,59,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
OwO Blaster,C,2.68,-0.00,54.2%,59,0.0%,Jinx | Graves | Fiora | Xayah | Kindred
Leonine Lamentation,C,1.83,-0.00,80.0%,35,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Bunny Prime Ballista,C,2.06,-0.00,75.0%,36,0.0%,Jinx | Graves | Xayah | Fiora | Kindred
Unceasing Cyclone,C,2.08,-0.00,75.0%,36,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Illaoi
Animapocalypse,C,2.32,-0.00,73.7%,38,0.0%,Aurelion Sol | Aurora | Fiora | Graves | Vex
Vayne's Chromablades,C,2.77,-0.00,69.2%,39,0.0%,Fiora | Xayah | Jinx | Graves | Corki
Savage Slicer,D,5.11,+0.00,12.9%,5559,1.0%,Riven | Briar | Fiora | Jinx | Master Yi
Rocket Swarm,D,5.17,+0.00,11.5%,5517,1.0%,Jinx | Kindred | Jhin | Corki | Riven
