Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.09,-3.41,96.9%,32,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.30,-1.20,39.7%,823,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Sympathetic Implant,S,3.97,-0.53,15.9%,1824,0.8%,Sona | Viktor | Gragas | Pyke | Master Yi
Malware Matrix,S,4.08,-0.42,15.4%,1352,0.6%,Master Yi | Pyke | Fiora | Kindred | Sona
Target-Lock Optics,S,4.10,-0.40,14.6%,1273,0.6%,Master Yi | Pyke | Fiora | Urgot | Kindred
Drone Uplink,B,4.32,-0.18,11.4%,1497,0.7%,Sona | Viktor | Gragas | Master Yi | Pyke
Malware Matrix,C,4.05,-0.03,14.7%,8037,3.6%,Master Yi | Pyke | Kindred | Fiora | Urgot
Target-Lock Optics,C,4.16,-0.03,14.3%,7031,3.2%,Master Yi | Kindred | Pyke | Fiora | Urgot
Biomatter Preserver,C,4.33,-0.02,12.2%,6433,2.9%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Drone Uplink,C,4.45,-0.02,12.1%,7714,3.5%,Viktor | Kindred | Urgot | Sona | Fiora
Sympathetic Implant,C,4.49,-0.02,11.8%,6974,3.2%,Viktor | Sona | Maokai | Kindred | Morgana
Battle Bunny Crossbow,C,3.43,-0.01,40.5%,1961,0.9%,Xayah | Jinx | Graves | Kindred | Urgot
Iceblast Armor,C,3.13,-0.01,48.8%,821,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Lioness's Lament,C,3.11,-0.01,47.9%,787,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Echoing Batblades,C,3.43,-0.00,44.5%,659,0.3%,Xayah | Fiora | Jinx | Urgot | Graves
Cyclonic Slicers,C,3.50,-0.00,40.1%,656,0.3%,Fiora | Diana | The Mighty Mech | Illaoi | Nunu & Willump
Searing Shortbow,C,3.71,-0.00,36.6%,724,0.3%,Aurelion Sol | Aurora | Vex | Bard | Karma
The Annihilator,C,3.74,-0.00,37.5%,661,0.3%,Aurelion Sol | Aurora | Fiora | Xayah | Jhin
UwU Blaster,C,3.72,-0.00,38.6%,583,0.3%,Xayah | Jinx | Fiora | Urgot | Kindred
Broken Prototype,C,4.59,-0.00,16.6%,1244,0.6%,Illaoi | Meepsie | The Mighty Mech | Nunu & Willump | Leona
Leaky Prototype,C,4.63,-0.00,16.7%,966,0.4%,Aurora | LeBlanc | Karma | Sona | Bard
Sparking Prototype,C,4.74,-0.00,15.4%,1124,0.5%,Jinx | LeBlanc | Kindred | Aurora | Fiora
Tentacle Slam,C,4.95,-0.00,15.3%,2256,1.0%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
Guiding Hex,C,4.95,-0.00,15.2%,2070,0.9%,Aurora | Karma | Bard | Aurelion Sol | Vex
Evolved Embershot,C,1.31,-0.00,92.3%,26,0.0%,Aurora | Aurelion Sol | Vex | Bard | Xayah
Deep Freeze,C,1.60,-0.00,88.0%,25,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Leonine Lamentation,C,1.35,-0.00,95.0%,20,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Fiora
OwO Blaster,C,2.46,-0.00,69.2%,26,0.0%,Jinx | Xayah | Graves | Fiora | Kindred
Unceasing Cyclone,C,2.32,-0.00,59.1%,22,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Nunu & Willump
Animapocalypse,C,1.95,-0.00,68.4%,19,0.0%,Aurora | Fiora | Aurelion Sol | Xayah | Vex
Bunny Prime Ballista,C,2.44,-0.00,77.8%,18,0.0%,Xayah | Graves | Fiora | Jinx | Kindred
Vayne's Chromablades,C,3.59,-0.00,50.0%,22,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
Omniweapon,C,1.00,-0.00,100.0%,1,0.0%,Fiora | Graves | Aurora | Bard | Illaoi
Savage Slicer,D,5.05,+0.00,13.6%,1694,0.8%,Briar | Fiora | Master Yi | Urgot | Riven
Rocket Swarm,D,5.34,+0.00,11.3%,1425,0.6%,Jinx | Kindred | Xayah | Jhin | Urgot
Biomatter Preserver,D,4.56,+0.06,7.4%,486,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Illaoi
