Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.41,-3.09,85.2%,27,0.0%,The Mighty Mech | Illaoi | Tahm Kench | Nunu & Willump | Rammus
Radiant Field,S,3.46,-1.04,41.4%,1542,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Sympathetic Implant,S,3.91,-0.59,15.7%,3941,1.1%,Gragas | Sona | Viktor | Fiora | Pyke
Target-Lock Optics,S,3.95,-0.55,15.6%,2235,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,4.06,-0.44,13.8%,2544,0.7%,Master Yi | Pyke | Fiora | Kindred | Urgot
Drone Uplink,A,4.28,-0.22,11.4%,2426,0.7%,Sona | Viktor | Gragas | Pyke | Kindred
Malware Matrix,C,4.08,-0.04,15.6%,16964,4.6%,Master Yi | Kindred | Fiora | Urgot | Pyke
Target-Lock Optics,C,4.15,-0.03,14.9%,13801,3.7%,Master Yi | Kindred | Fiora | Urgot | Pyke
Biomatter Preserver,C,4.35,-0.02,13.2%,12754,3.4%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Drone Uplink,C,4.49,-0.02,12.2%,14710,4.0%,Kindred | Urgot | Fiora | Viktor | Sona
Sympathetic Implant,C,4.60,-0.02,11.2%,14582,3.9%,Maokai | Kindred | Urgot | Fiora | Tahm Kench
Battle Bunny Crossbow,C,3.55,-0.01,39.2%,3695,1.0%,Xayah | Jinx | Kindred | Graves | Urgot
Iceblast Armor,C,3.17,-0.01,49.3%,1563,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Lioness's Lament,C,3.13,-0.01,46.9%,1498,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Biomatter Preserver,C,4.49,-0.01,9.8%,930,0.3%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Echoing Batblades,C,3.68,-0.00,39.3%,1298,0.4%,Xayah | Fiora | Kindred | Urgot | Jinx
Cyclonic Slicers,C,3.81,-0.00,38.3%,1287,0.3%,Fiora | The Mighty Mech | Diana | Master Yi | Urgot
UwU Blaster,C,3.91,-0.00,34.2%,1209,0.3%,Xayah | Kindred | Urgot | Fiora | Jinx
Searing Shortbow,C,3.95,-0.00,35.7%,1241,0.3%,Aurelion Sol | Aurora | Kindred | Karma | Bard
The Annihilator,C,3.92,-0.00,34.1%,1189,0.3%,Aurelion Sol | Aurora | Fiora | Kindred | Karma
Broken Prototype,C,4.51,-0.00,15.7%,1814,0.5%,Illaoi | Meepsie | The Mighty Mech | Tahm Kench | Maokai
Sparking Prototype,C,4.77,-0.00,14.7%,1649,0.4%,LeBlanc | Jinx | Kindred | Aurora | Fiora
Leaky Prototype,C,4.74,-0.00,14.7%,1417,0.4%,Aurora | LeBlanc | Karma | Sona | Bard
Tentacle Slam,C,4.93,-0.00,15.9%,4012,1.1%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Maokai
Evolved Embershot,C,1.97,-0.00,76.0%,75,0.0%,Aurora | Aurelion Sol | Vex | Karma | Kindred
OwO Blaster,C,2.11,-0.00,67.7%,62,0.0%,Jinx | Xayah | Fiora | Graves | Kindred
Leonine Lamentation,C,1.36,-0.00,86.4%,44,0.0%,The Mighty Mech | Tahm Kench | Illaoi | Rammus | Nunu & Willump
Deep Freeze,C,2.32,-0.00,70.5%,44,0.0%,The Mighty Mech | Tahm Kench | Nunu & Willump | Illaoi | Rammus
Animapocalypse,C,2.09,-0.00,76.5%,34,0.0%,Aurelion Sol | Aurora | Xayah | Fiora | Karma
Unceasing Cyclone,C,2.07,-0.00,76.7%,30,0.0%,Fiora | The Mighty Mech | Master Yi | Rammus | Urgot
Vayne's Chromablades,C,3.26,-0.00,50.0%,42,0.0%,Fiora | Kindred | Xayah | Graves | Jinx
Bunny Prime Ballista,C,2.55,-0.00,59.1%,22,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
Guiding Hex,C,5.00,-0.00,16.1%,3285,0.9%,Aurora | Karma | Bard | Aurelion Sol | Kindred
Savage Slicer,D,5.05,+0.00,13.9%,3082,0.8%,Briar | Fiora | Riven | Master Yi | Urgot
Rocket Swarm,D,5.38,+0.00,11.3%,2464,0.7%,Jinx | Kindred | Urgot | Corki | Jhin
