Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.71,-2.79,76.6%,1644,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Radiant Field,S,4.02,-0.48,29.0%,37391,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Drone Uplink,C,4.08,-0.05,13.3%,201576,5.4%,Viktor | Sona | Karma | Aurelion Sol | Nami
Sympathetic Implant,C,4.31,-0.02,11.9%,116207,3.1%,Viktor | Sona | Nami | Karma | Aurelion Sol
Battle Bunny Crossbow,C,3.57,-0.02,39.6%,52013,1.4%,Xayah | Jinx | Graves | Fiora | Urgot
Target-Lock Optics,C,4.25,-0.01,12.6%,67816,1.8%,Pyke | Master Yi | Fiora | Graves | Urgot
Biomatter Preserver,C,4.40,-0.01,11.8%,73692,2.0%,Illaoi | Rhaast | Tahm Kench | The Mighty Mech | Gragas
Malware Matrix,C,4.34,-0.01,12.4%,65660,1.8%,Pyke | Master Yi | Fiora | Graves | Urgot
Iceblast Armor,C,3.96,-0.01,32.4%,38319,1.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Lioness's Lament,C,4.00,-0.01,30.6%,35920,1.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Broken Prototype,C,4.27,-0.01,20.3%,36085,1.0%,Illaoi | Nunu & Willump | Tahm Kench | Meepsie | The Mighty Mech
Searing Shortbow,C,4.29,-0.01,26.2%,33005,0.9%,Aurora | Aurelion Sol | Vex | Karma | Xayah
Sparking Prototype,C,4.28,-0.01,19.8%,32444,0.9%,Jinx | LeBlanc | Fiora | Graves | Master Yi
Leaky Prototype,C,4.25,-0.01,20.1%,27536,0.7%,Aurora | LeBlanc | Karma | Sona | Bard
Cyclonic Slicers,C,4.23,-0.01,29.0%,25855,0.7%,Fiora | Diana | The Mighty Mech | Blitzcrank | Illaoi
Echoing Batblades,C,4.34,-0.00,27.1%,26660,0.7%,Xayah | Fiora | Graves | Jinx | Urgot
Tentacle Slam,C,4.72,-0.00,17.8%,36339,1.0%,Illaoi | Nunu & Willump | Tahm Kench | The Mighty Mech | Rammus
The Annihilator,C,4.65,-0.00,21.9%,27045,0.7%,Aurelion Sol | Aurora | Fiora | Vex | Xayah
Evolved Embershot,C,1.69,-0.00,77.0%,2726,0.1%,Aurora | Aurelion Sol | Vex | Sona | Fiora
Guiding Hex,C,4.78,-0.00,16.5%,33856,0.9%,Aurora | Aurelion Sol | Karma | Bard | Vex
UwU Blaster,C,4.77,-0.00,21.4%,24204,0.6%,Xayah | Jinx | Graves | Fiora | Urgot
OwO Blaster,C,2.64,-0.00,54.1%,2128,0.1%,Jinx | Fiora | Graves | Xayah | Jhin
Leonine Lamentation,C,1.90,-0.00,74.4%,1455,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Deep Freeze,C,2.36,-0.00,66.7%,1539,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Bunny Prime Ballista,C,2.29,-0.00,67.5%,1418,0.0%,Fiora | Graves | Xayah | Jinx | Jhin
Animapocalypse,C,2.47,-0.00,62.9%,1399,0.0%,Aurora | Fiora | Aurelion Sol | Vex | Graves
Unceasing Cyclone,C,2.57,-0.00,63.8%,1396,0.0%,Fiora | Diana | The Mighty Mech | Illaoi | Blitzcrank
Vayne's Chromablades,C,2.72,-0.00,58.3%,1247,0.0%,Fiora | Graves | Xayah | Jinx | Master Yi
Rocket Swarm,C,4.91,-0.00,16.4%,18441,0.5%,Jinx | Xayah | Graves | Jhin | Fiora
Savage Slicer,C,4.93,-0.00,16.3%,20732,0.6%,Fiora | Master Yi | Graves | Urgot | Briar
Omniweapon,C,1.02,-0.00,98.5%,204,0.0%,Fiora | Graves | Vex | Blitzcrank | Aurelion Sol
Sympathetic Implant,D,4.62,+0.12,7.9%,24255,0.6%,Viktor | Sona | Pyke | Master Yi | Karma
Target-Lock Optics,D,4.62,+0.12,7.6%,20635,0.6%,Master Yi | Pyke | Sona | Fiora | Urgot
Malware Matrix,D,4.69,+0.19,7.1%,18850,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Drone Uplink,D,4.75,+0.25,6.7%,29243,0.8%,Viktor | Sona | Master Yi | Pyke | Aurelion Sol
Biomatter Preserver,D,4.89,+0.39,5.7%,11111,0.3%,Gragas | Illaoi | Master Yi | Rhaast | Tahm Kench
