Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.03,-3.47,96.8%,31,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.17,-1.33,43.6%,1843,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Sympathetic Implant,S,3.76,-0.74,14.4%,3774,1.0%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.92,-0.58,12.6%,2197,0.6%,Pyke | Master Yi | Sona | Fiora | Viktor
Malware Matrix,S,4.05,-0.45,10.9%,2263,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Biomatter Preserver,B,4.31,-0.19,10.3%,1011,0.3%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Drone Uplink,B,4.37,-0.13,8.1%,2398,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Drone Uplink,C,4.35,-0.02,11.1%,12031,3.0%,Viktor | Kindred | Sona | Urgot | Fiora
Malware Matrix,C,4.28,-0.02,10.8%,10714,2.7%,Master Yi | Kindred | Fiora | Pyke | Sona
Sympathetic Implant,C,4.34,-0.02,11.0%,11585,2.9%,Sona | Kindred | Viktor | Urgot | Fiora
Battle Bunny Crossbow,C,3.43,-0.02,38.4%,4703,1.2%,Jinx | Xayah | Graves | Kindred | Corki
Target-Lock Optics,C,4.24,-0.02,11.3%,9030,2.3%,Master Yi | Kindred | Pyke | Fiora | Urgot
Biomatter Preserver,C,4.40,-0.01,10.4%,8380,2.1%,Tahm Kench | Maokai | Illaoi | Gragas | Nunu & Willump
Iceblast Armor,C,3.14,-0.01,46.8%,1884,0.5%,Illaoi | Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus
Lioness's Lament,C,3.25,-0.01,44.0%,1801,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.55,-0.01,15.3%,5844,1.5%,Illaoi | Nunu & Willump | Meepsie | Leona | The Mighty Mech
Echoing Batblades,C,3.42,-0.01,41.3%,1580,0.4%,Xayah | Jinx | Fiora | Graves | Kindred
The Annihilator,C,3.45,-0.01,40.2%,1529,0.4%,Aurelion Sol | Aurora | Vex | Fiora | Jhin
Sparking Prototype,C,4.55,-0.01,15.1%,5265,1.3%,Jinx | LeBlanc | Aurora | Kindred | Vex
Leaky Prototype,C,4.55,-0.01,15.3%,4770,1.2%,Aurora | LeBlanc | Blitzcrank | Sona | Karma
Cyclonic Slicers,C,3.61,-0.01,39.7%,1550,0.4%,Fiora | Diana | Blitzcrank | Riven | Illaoi
Searing Shortbow,C,3.63,-0.01,38.0%,1487,0.4%,Aurora | Aurelion Sol | Vex | Bard | Sona
UwU Blaster,C,3.70,-0.01,35.9%,1552,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Tentacle Slam,C,4.74,-0.00,16.7%,5643,1.4%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Guiding Hex,C,4.79,-0.00,15.7%,4567,1.2%,Aurora | Bard | Karma | Vex | Blitzcrank
Evolved Embershot,C,1.74,-0.00,82.4%,85,0.0%,Aurora | Aurelion Sol | Vex | Bard | Sona
Savage Slicer,C,4.95,-0.00,15.0%,3507,0.9%,Fiora | Briar | Riven | Graves | Blitzcrank
OwO Blaster,C,2.65,-0.00,58.3%,60,0.0%,Jinx | Graves | Xayah | Fiora | Kindred
Bunny Prime Ballista,C,2.26,-0.00,74.4%,43,0.0%,Graves | Xayah | Fiora | Jinx | Vex
Leonine Lamentation,C,2.43,-0.00,61.9%,42,0.0%,Illaoi | Nunu & Willump | The Mighty Mech | Rammus | Tahm Kench
Deep Freeze,C,2.57,-0.00,63.6%,44,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Unceasing Cyclone,C,2.33,-0.00,69.2%,39,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Riven
Vayne's Chromablades,C,2.23,-0.00,60.0%,35,0.0%,Xayah | Fiora | Graves | Jinx | Kindred
Animapocalypse,C,1.86,-0.00,75.9%,29,0.0%,Aurora | Aurelion Sol | Vex | Fiora | Xayah
Rocket Swarm,D,5.08,+0.00,11.6%,3567,0.9%,Jinx | Jhin | Graves | Kindred | Xayah
