Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.76,-2.74,77.4%,2128,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,4.19,-0.31,27.8%,54097,1.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Drone Uplink,C,4.03,-0.05,13.4%,263990,5.1%,Viktor | Sona | Karma | Nami | Bard
Battle Bunny Crossbow,C,3.16,-0.04,46.7%,107520,2.1%,Xayah | Graves | Jinx | Urgot | Fiora
Sympathetic Implant,C,4.26,-0.02,12.2%,150317,2.9%,Viktor | Sona | Nami | Karma | Bard
Target-Lock Optics,C,4.20,-0.01,13.0%,87630,1.7%,Pyke | Master Yi | Fiora | Urgot | Sona
Biomatter Preserver,C,4.37,-0.01,11.8%,95004,1.8%,Illaoi | Tahm Kench | Rhaast | Nunu & Willump | Gragas
Malware Matrix,C,4.31,-0.01,12.3%,84416,1.6%,Pyke | Master Yi | Fiora | Graves | Urgot
Iceblast Armor,C,4.16,-0.01,30.2%,54200,1.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Lioness's Lament,C,4.18,-0.01,28.6%,50537,1.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Echoing Batblades,C,4.37,-0.01,26.6%,45990,0.9%,Xayah | Fiora | Graves | Urgot | Kindred
Broken Prototype,C,4.39,-0.01,19.8%,46365,0.9%,Illaoi | Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech
Sparking Prototype,C,4.42,-0.00,19.1%,41200,0.8%,Jinx | LeBlanc | Jhin | Fiora | Graves
Leaky Prototype,C,4.38,-0.00,19.7%,33721,0.7%,Karma | Aurora | Bard | LeBlanc | Sona
Cyclonic Slicers,C,4.46,-0.00,27.0%,36509,0.7%,Fiora | The Mighty Mech | Nunu & Willump | Blitzcrank | Diana
Searing Shortbow,C,4.60,-0.00,23.2%,45970,0.9%,Aurelion Sol | Aurora | Vex | Xayah | Bard
Evolved Embershot,C,1.73,-0.00,76.6%,3358,0.1%,Aurora | Aurelion Sol | Vex | Bard | Sona
Tentacle Slam,C,4.79,-0.00,18.0%,50626,1.0%,Illaoi | Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech
OwO Blaster,C,2.62,-0.00,56.2%,2813,0.1%,Jinx | Xayah | Graves | Fiora | Jhin
UwU Blaster,C,4.86,-0.00,20.3%,41495,0.8%,Xayah | Graves | Urgot | Fiora | Jinx
Guiding Hex,C,4.87,-0.00,16.5%,44768,0.9%,Aurora | Karma | Bard | Aurelion Sol | Nami
Leonine Lamentation,C,1.92,-0.00,73.7%,1836,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Fiora
Bunny Prime Ballista,C,2.12,-0.00,71.3%,1939,0.0%,Xayah | Fiora | Graves | Jinx | Jhin
Deep Freeze,C,2.43,-0.00,66.2%,1983,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Unceasing Cyclone,C,2.58,-0.00,63.2%,1713,0.0%,Fiora | The Mighty Mech | Diana | Illaoi | Blitzcrank
The Annihilator,C,4.89,-0.00,19.9%,38007,0.7%,Aurelion Sol | Xayah | Aurora | Vex | Jhin
Animapocalypse,C,2.57,-0.00,62.3%,1667,0.0%,Aurelion Sol | Aurora | Fiora | Vex | Xayah
Vayne's Chromablades,C,2.69,-0.00,57.9%,1674,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
Omniweapon,C,1.01,-0.00,98.8%,241,0.0%,Fiora | Graves | The Mighty Mech | Jhin | Blitzcrank
Savage Slicer,D,5.01,+0.00,16.0%,30374,0.6%,Fiora | Urgot | Master Yi | Graves | Jhin
Rocket Swarm,D,5.09,+0.00,15.2%,28002,0.5%,Xayah | Jhin | Jinx | Urgot | Graves
Sympathetic Implant,D,4.61,+0.11,7.8%,33390,0.6%,Viktor | Sona | Pyke | Master Yi | Karma
Target-Lock Optics,D,4.61,+0.11,7.3%,28704,0.6%,Pyke | Master Yi | Sona | Fiora | Graves
Malware Matrix,D,4.68,+0.18,6.8%,26540,0.5%,Master Yi | Pyke | Fiora | Sona | Graves
Drone Uplink,D,4.74,+0.24,6.5%,41107,0.8%,Viktor | Sona | Master Yi | Pyke | Aurelion Sol
Biomatter Preserver,D,4.88,+0.38,5.7%,15655,0.3%,Gragas | Illaoi | Rhaast | Tahm Kench | The Mighty Mech
