Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.06,-3.44,94.4%,18,0.0%,Illaoi | Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus
Radiant Field,S,3.18,-1.32,43.7%,852,0.4%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Sympathetic Implant,S,3.78,-0.72,14.1%,1823,1.0%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.96,-0.54,12.1%,1083,0.6%,Pyke | Master Yi | Sona | Fiora | Viktor
Malware Matrix,S,4.07,-0.43,9.6%,1078,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Biomatter Preserver,A,4.22,-0.28,12.2%,482,0.3%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Drone Uplink,C,4.40,-0.10,7.7%,1158,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Sympathetic Implant,C,4.29,-0.02,11.5%,5637,3.0%,Kindred | Sona | Viktor | Urgot | Fiora
Drone Uplink,C,4.31,-0.02,11.4%,5781,3.0%,Viktor | Kindred | Sona | Urgot | Fiora
Malware Matrix,C,4.28,-0.02,10.9%,5147,2.7%,Master Yi | Kindred | Pyke | Fiora | Urgot
Battle Bunny Crossbow,C,3.43,-0.02,38.4%,2258,1.2%,Jinx | Xayah | Graves | Kindred | Corki
Target-Lock Optics,C,4.26,-0.02,11.4%,4320,2.3%,Master Yi | Kindred | Pyke | Fiora | Urgot
Biomatter Preserver,C,4.45,-0.01,10.1%,4009,2.1%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Iceblast Armor,C,3.20,-0.01,47.8%,889,0.5%,Illaoi | Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus
Lioness's Lament,C,3.21,-0.01,43.6%,840,0.4%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.55,-0.01,15.9%,2877,1.5%,Illaoi | Meepsie | Leona | Nunu & Willump | The Mighty Mech
Echoing Batblades,C,3.39,-0.01,40.5%,750,0.4%,Xayah | Jinx | Fiora | Graves | Kindred
Sparking Prototype,C,4.54,-0.01,15.8%,2560,1.3%,Jinx | LeBlanc | Aurora | Kindred | Riven
The Annihilator,C,3.39,-0.01,41.7%,710,0.4%,Aurora | Aurelion Sol | Vex | Fiora | Jhin
Leaky Prototype,C,4.54,-0.01,15.4%,2376,1.2%,Aurora | LeBlanc | Blitzcrank | Sona | Karma
Cyclonic Slicers,C,3.61,-0.01,39.0%,772,0.4%,Fiora | Diana | Blitzcrank | Riven | Illaoi
UwU Blaster,C,3.66,-0.01,35.8%,777,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Searing Shortbow,C,3.64,-0.01,37.6%,737,0.4%,Aurora | Aurelion Sol | Vex | Bard | Sona
Tentacle Slam,C,4.74,-0.00,16.5%,2705,1.4%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Guiding Hex,C,4.72,-0.00,16.7%,2163,1.1%,Aurora | Bard | Karma | Vex | Blitzcrank
Evolved Embershot,C,1.54,-0.00,87.0%,46,0.0%,Aurora | Aurelion Sol | Vex | Bard | Xayah
OwO Blaster,C,2.50,-0.00,56.7%,30,0.0%,Jinx | Xayah | Graves | Fiora | Kindred
Deep Freeze,C,2.14,-0.00,68.2%,22,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Leonine Lamentation,C,2.43,-0.00,56.5%,23,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Unceasing Cyclone,C,2.10,-0.00,70.0%,20,0.0%,Fiora | Diana | Blitzcrank | The Mighty Mech | Illaoi
Bunny Prime Ballista,C,2.05,-0.00,78.9%,19,0.0%,Graves | Xayah | Fiora | Jinx | Kindred
Animapocalypse,C,1.27,-0.00,86.7%,15,0.0%,Aurora | Aurelion Sol | Fiora | Vex | Graves
Savage Slicer,C,4.98,-0.00,14.5%,1689,0.9%,Fiora | Briar | Riven | Blitzcrank | Graves
Vayne's Chromablades,C,2.86,-0.00,42.9%,14,0.0%,Xayah | Fiora | Graves | Jinx | Kindred
Rocket Swarm,D,5.09,+0.00,11.6%,1670,0.9%,Jinx | Jhin | Graves | Kindred | Xayah
