Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.73,-2.77,73.7%,209,0.0%,Illaoi | Fiora | The Mighty Mech | Blitzcrank | Nunu & Willump
Radiant Field,S,3.94,-0.56,28.9%,5151,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Fiora
Drone Uplink,C,4.08,-0.05,12.7%,30480,6.0%,Viktor | Sona | Master Yi | Aurelion Sol | Karma
Sympathetic Implant,C,4.32,-0.02,12.3%,17629,3.5%,Viktor | Sona | Karma | Aurelion Sol | Nami
Malware Matrix,C,4.33,-0.01,12.2%,10268,2.0%,Pyke | Master Yi | Viktor | Miss Fortune | Rhaast
Biomatter Preserver,C,4.42,-0.01,11.7%,11559,2.3%,Illaoi | Gragas | Rhaast | Tahm Kench | Mordekaiser
Iceblast Armor,C,3.71,-0.01,34.6%,5173,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Tahm Kench
Target-Lock Optics,C,4.35,-0.01,12.2%,10231,2.0%,Pyke | Master Yi | Viktor | Miss Fortune | Sona
Lioness's Lament,C,3.86,-0.01,30.7%,4778,0.9%,Illaoi | The Mighty Mech | Fiora | Nunu & Willump | Tahm Kench
Broken Prototype,C,4.23,-0.01,19.5%,6088,1.2%,Illaoi | The Mighty Mech | Meepsie | Nunu & Willump | Blitzcrank
Searing Shortbow,C,4.00,-0.01,28.6%,4510,0.9%,Aurora | Aurelion Sol | Jinx | Vex | LeBlanc
Sparking Prototype,C,4.27,-0.01,19.0%,5166,1.0%,Jinx | Fiora | LeBlanc | Aurora | Kindred
Leaky Prototype,C,4.28,-0.01,18.4%,4745,0.9%,Aurora | LeBlanc | Sona | Karma | Jinx
Cyclonic Slicers,C,4.08,-0.01,29.0%,3468,0.7%,Fiora | Diana | Illaoi | Aurora | Blitzcrank
Battle Bunny Crossbow,C,4.29,-0.01,26.6%,4354,0.9%,Jinx | Fiora | Graves | Jhin | Kindred
The Annihilator,C,4.45,-0.00,21.8%,3795,0.7%,Aurora | Fiora | Jinx | Aurelion Sol | LeBlanc
Tentacle Slam,C,4.62,-0.00,17.6%,5510,1.1%,Illaoi | The Mighty Mech | Tahm Kench | Nunu & Willump | Fiora
Guiding Hex,C,4.72,-0.00,15.5%,5474,1.1%,Aurora | Karma | LeBlanc | Jinx | Sona
Echoing Batblades,C,4.48,-0.00,24.3%,2807,0.5%,Jinx | Fiora | Graves | Kindred | Jhin
Evolved Embershot,C,1.75,-0.00,73.2%,321,0.1%,Aurora | Fiora | Vex | Sona | Jinx
Leonine Lamentation,C,2.08,-0.00,69.8%,189,0.0%,Illaoi | Fiora | The Mighty Mech | Nunu & Willump | Rammus
Savage Slicer,C,4.82,-0.00,16.3%,2942,0.6%,Briar | Fiora | Jinx | Diana | Graves
OwO Blaster,C,2.90,-0.00,51.4%,255,0.0%,Jinx | Fiora | Graves | Jhin | Kindred
UwU Blaster,C,4.81,-0.00,20.4%,2729,0.5%,Jinx | Fiora | Graves | Jhin | Kindred
Deep Freeze,C,2.61,-0.00,55.8%,206,0.0%,Illaoi | Fiora | The Mighty Mech | Nunu & Willump | Blitzcrank
Animapocalypse,C,2.55,-0.00,61.3%,181,0.0%,Fiora | Aurora | Vex | Aurelion Sol | Jinx
Rocket Swarm,C,4.84,-0.00,16.2%,2581,0.5%,Jinx | Aurora | Kindred | Fiora | Graves
Bunny Prime Ballista,C,2.90,-0.00,55.1%,167,0.0%,Fiora | Jinx | Graves | Jhin | Aurora
Unceasing Cyclone,C,2.93,-0.00,54.1%,157,0.0%,Fiora | Diana | Illaoi | Graves | Aurora
Vayne's Chromablades,C,3.19,-0.00,53.6%,153,0.0%,Fiora | Jinx | Graves | Jhin | Kindred
Omniweapon,C,1.00,-0.00,100.0%,24,0.0%,Fiora | Graves | Aurora | Sona | Blitzcrank
Sympathetic Implant,D,4.63,+0.13,7.7%,2969,0.6%,Viktor | Sona | Pyke | Master Yi | Gragas
Target-Lock Optics,D,4.64,+0.14,7.2%,2486,0.5%,Master Yi | Pyke | Sona | Viktor | Gragas
Malware Matrix,D,4.71,+0.21,6.5%,2309,0.5%,Master Yi | Pyke | Sona | Viktor | Gragas
Drone Uplink,D,4.73,+0.23,7.1%,3745,0.7%,Viktor | Sona | Master Yi | Pyke | Gragas
Biomatter Preserver,D,4.78,+0.28,6.7%,1374,0.3%,Gragas | Master Yi | Pyke | Sona | Rhaast
