Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.47,-3.03,86.1%,36,0.0%,The Mighty Mech | Illaoi | Tahm Kench | Nunu & Willump | Rammus
Radiant Field,S,3.40,-1.10,41.2%,1667,0.4%,The Mighty Mech | Tahm Kench | Illaoi | Rammus | Nunu & Willump
Sympathetic Implant,S,3.85,-0.65,16.1%,4220,1.1%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.94,-0.56,16.5%,2314,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,4.08,-0.42,13.2%,2696,0.7%,Master Yi | Pyke | Fiora | Kindred | Urgot
Drone Uplink,B,4.33,-0.17,11.0%,2492,0.6%,Sona | Viktor | Gragas | Master Yi | Kindred
Biomatter Preserver,B,4.40,-0.10,11.0%,956,0.2%,Gragas | Tahm Kench | Maokai | Master Yi | Pyke
Malware Matrix,C,4.08,-0.04,15.7%,18442,4.7%,Master Yi | Kindred | Fiora | Urgot | Pyke
Target-Lock Optics,C,4.18,-0.03,15.1%,14828,3.8%,Master Yi | Kindred | Fiora | Urgot | Pyke
Biomatter Preserver,C,4.37,-0.02,13.2%,14018,3.5%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Drone Uplink,C,4.49,-0.02,12.2%,15853,4.0%,Kindred | Urgot | Fiora | Viktor | Morgana
Sympathetic Implant,C,4.60,-0.02,11.4%,15826,4.0%,Maokai | Kindred | Urgot | Fiora | Tahm Kench
Battle Bunny Crossbow,C,3.56,-0.01,38.8%,3959,1.0%,Xayah | Jinx | Kindred | Graves | Urgot
Iceblast Armor,C,3.15,-0.01,49.7%,1648,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Lioness's Lament,C,3.21,-0.01,45.7%,1622,0.4%,The Mighty Mech | Tahm Kench | Illaoi | Rammus | Nunu & Willump
Echoing Batblades,C,3.65,-0.00,39.5%,1362,0.3%,Xayah | Fiora | Kindred | Urgot | Jinx
Cyclonic Slicers,C,3.84,-0.00,37.5%,1412,0.4%,Fiora | The Mighty Mech | Diana | Master Yi | Urgot
UwU Blaster,C,3.93,-0.00,34.0%,1346,0.3%,Kindred | Xayah | Urgot | Fiora | Jinx
Searing Shortbow,C,3.91,-0.00,36.8%,1255,0.3%,Aurelion Sol | Aurora | Kindred | Bard | Karma
The Annihilator,C,3.98,-0.00,34.5%,1216,0.3%,Aurelion Sol | Aurora | Fiora | Kindred | Karma
Broken Prototype,C,4.65,-0.00,14.8%,2055,0.5%,Illaoi | Meepsie | The Mighty Mech | Tahm Kench | Maokai
Leaky Prototype,C,4.69,-0.00,15.1%,1517,0.4%,LeBlanc | Aurora | Karma | Sona | Bard
Sparking Prototype,C,4.78,-0.00,14.6%,1860,0.5%,Jinx | LeBlanc | Kindred | Aurora | Fiora
Evolved Embershot,C,1.83,-0.00,75.6%,78,0.0%,Aurora | Aurelion Sol | Vex | Kindred | Fiora
Leonine Lamentation,C,1.22,-0.00,92.7%,55,0.0%,The Mighty Mech | Tahm Kench | Illaoi | Rammus | Nunu & Willump
OwO Blaster,C,2.28,-0.00,65.0%,60,0.0%,Jinx | Xayah | Fiora | Kindred | Graves
Deep Freeze,C,2.71,-0.00,65.9%,41,0.0%,The Mighty Mech | Tahm Kench | Nunu & Willump | Illaoi | Rammus
Vayne's Chromablades,C,3.07,-0.00,46.3%,41,0.0%,Fiora | Xayah | Kindred | Graves | Urgot
Animapocalypse,C,2.70,-0.00,60.0%,30,0.0%,Aurelion Sol | Aurora | Fiora | Jhin | Karma
Unceasing Cyclone,C,2.84,-0.00,68.8%,32,0.0%,Fiora | The Mighty Mech | Master Yi | Diana | Urgot
Bunny Prime Ballista,C,2.58,-0.00,66.7%,24,0.0%,Fiora | Graves | Xayah | Kindred | Jinx
Tentacle Slam,C,5.00,-0.00,15.0%,4360,1.1%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Maokai
Guiding Hex,D,5.01,+0.00,15.8%,3471,0.9%,Aurora | Karma | Bard | Aurelion Sol | Kindred
Savage Slicer,D,5.14,+0.00,12.9%,3346,0.8%,Briar | Fiora | Riven | Master Yi | Urgot
Rocket Swarm,D,5.44,+0.00,10.7%,2620,0.7%,Jinx | Kindred | Corki | Urgot | Jhin
