Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.12,-3.38,96.2%,26,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.37,-1.13,39.6%,649,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Sympathetic Implant,S,3.99,-0.51,15.4%,1322,0.7%,Sona | Viktor | Gragas | Pyke | Master Yi
Malware Matrix,S,4.15,-0.35,14.1%,996,0.6%,Master Yi | Pyke | Fiora | Kindred | Sona
Target-Lock Optics,A,4.24,-0.26,12.8%,953,0.5%,Master Yi | Pyke | Fiora | Kindred | Urgot
Biomatter Preserver,C,4.42,-0.08,8.8%,400,0.2%,Gragas | Tahm Kench | Master Yi | Illaoi | Maokai
Drone Uplink,C,4.45,-0.05,9.8%,1179,0.7%,Viktor | Sona | Gragas | Master Yi | Pyke
Malware Matrix,C,4.05,-0.03,14.6%,6005,3.4%,Master Yi | Pyke | Kindred | Fiora | Urgot
Target-Lock Optics,C,4.18,-0.03,14.2%,5511,3.1%,Master Yi | Pyke | Kindred | Fiora | Urgot
Drone Uplink,C,4.44,-0.02,12.0%,6104,3.5%,Viktor | Kindred | Sona | Urgot | Fiora
Biomatter Preserver,C,4.31,-0.02,12.3%,4899,2.8%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Sympathetic Implant,C,4.47,-0.02,11.7%,5445,3.1%,Viktor | Sona | Maokai | Kindred | Morgana
Battle Bunny Crossbow,C,3.39,-0.01,41.1%,1610,0.9%,Xayah | Jinx | Graves | Kindred | Urgot
Iceblast Armor,C,3.03,-0.01,50.1%,706,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Lioness's Lament,C,2.94,-0.01,50.8%,600,0.3%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Echoing Batblades,C,3.10,-0.01,47.4%,502,0.3%,Xayah | Fiora | Jinx | Urgot | Graves
Searing Shortbow,C,3.62,-0.00,38.1%,590,0.3%,Aurelion Sol | Aurora | Vex | Bard | Karma
Cyclonic Slicers,C,3.49,-0.00,40.7%,516,0.3%,Fiora | Diana | The Mighty Mech | Nunu & Willump | Illaoi
The Annihilator,C,3.58,-0.00,38.6%,546,0.3%,Aurelion Sol | Aurora | Xayah | Fiora | Jhin
UwU Blaster,C,3.61,-0.00,41.5%,439,0.2%,Xayah | Jinx | Fiora | Urgot | Graves
Broken Prototype,C,4.47,-0.00,18.6%,1059,0.6%,Illaoi | Meepsie | The Mighty Mech | Nunu & Willump | Leona
Sparking Prototype,C,4.67,-0.00,16.0%,957,0.5%,Jinx | LeBlanc | Kindred | Aurora | Fiora
Leaky Prototype,C,4.74,-0.00,15.7%,807,0.5%,Aurora | LeBlanc | Karma | Sona | Bard
Tentacle Slam,C,4.92,-0.00,15.9%,1913,1.1%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Evolved Embershot,C,1.33,-0.00,91.7%,24,0.0%,Aurora | Aurelion Sol | Vex | Bard | Xayah
OwO Blaster,C,2.08,-0.00,76.0%,25,0.0%,Jinx | Xayah | Graves | Fiora | Kindred
Deep Freeze,C,1.68,-0.00,86.4%,22,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Leonine Lamentation,C,1.37,-0.00,94.7%,19,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Fiora
Animapocalypse,C,1.77,-0.00,76.9%,13,0.0%,Aurora | Aurelion Sol | Fiora | Xayah | Vex
Vayne's Chromablades,C,2.40,-0.00,73.3%,15,0.0%,Xayah | Fiora | Graves | Jinx | Kindred
Unceasing Cyclone,C,2.56,-0.00,56.3%,16,0.0%,Fiora | The Mighty Mech | Diana | Blitzcrank | Illaoi
Bunny Prime Ballista,C,3.08,-0.00,66.7%,12,0.0%,Xayah | Graves | Fiora | Jinx | Kindred
Omniweapon,C,1.00,-0.00,100.0%,1,0.0%,Graves | Bard | Fiora | Illaoi | Jhin
Guiding Hex,D,5.03,+0.00,14.5%,1692,1.0%,Aurora | Karma | Bard | Aurelion Sol | Vex
Savage Slicer,D,5.03,+0.00,13.8%,1401,0.8%,Briar | Fiora | Urgot | Master Yi | Riven
Rocket Swarm,D,5.32,+0.00,12.2%,1166,0.7%,Jinx | Xayah | Kindred | Jhin | Urgot
