Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.04,-3.46,96.3%,27,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,3.35,-1.15,40.8%,943,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Sympathetic Implant,S,3.93,-0.57,16.7%,2165,0.9%,Sona | Viktor | Gragas | Pyke | Master Yi
Malware Matrix,S,4.03,-0.47,16.1%,1589,0.7%,Master Yi | Pyke | Fiora | Kindred | Sona
Target-Lock Optics,S,4.11,-0.39,14.4%,1470,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Drone Uplink,A,4.30,-0.20,11.3%,1720,0.7%,Sona | Viktor | Gragas | Master Yi | Pyke
Malware Matrix,C,4.06,-0.04,14.9%,9249,3.8%,Master Yi | Kindred | Pyke | Fiora | Urgot
Target-Lock Optics,C,4.14,-0.03,14.5%,7831,3.2%,Master Yi | Kindred | Pyke | Fiora | Urgot
Biomatter Preserver,C,4.33,-0.02,12.5%,7263,3.0%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Drone Uplink,C,4.46,-0.02,12.2%,8368,3.4%,Viktor | Kindred | Urgot | Sona | Fiora
Sympathetic Implant,C,4.50,-0.02,11.7%,7833,3.2%,Viktor | Sona | Maokai | Kindred | Morgana
Battle Bunny Crossbow,C,3.52,-0.01,39.0%,2174,0.9%,Xayah | Jinx | Graves | Kindred | Urgot
Iceblast Armor,C,3.14,-0.01,48.8%,921,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Lioness's Lament,C,3.13,-0.01,47.3%,890,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Cyclonic Slicers,C,3.57,-0.00,40.0%,727,0.3%,Fiora | Diana | The Mighty Mech | Illaoi | Urgot
Echoing Batblades,C,3.67,-0.00,42.2%,714,0.3%,Xayah | Fiora | Jinx | Urgot | Kindred
Searing Shortbow,C,3.78,-0.00,35.5%,754,0.3%,Aurelion Sol | Aurora | Vex | Bard | Karma
UwU Blaster,C,3.86,-0.00,36.1%,676,0.3%,Xayah | Jinx | Fiora | Urgot | Kindred
The Annihilator,C,3.96,-0.00,35.3%,699,0.3%,Aurelion Sol | Aurora | Fiora | Xayah | Jhin
Broken Prototype,C,4.62,-0.00,15.7%,1327,0.5%,Illaoi | Meepsie | The Mighty Mech | Nunu & Willump | Leona
Sparking Prototype,C,4.65,-0.00,16.7%,1225,0.5%,Jinx | LeBlanc | Kindred | Aurora | Fiora
Leaky Prototype,C,4.59,-0.00,17.0%,1023,0.4%,Aurora | LeBlanc | Karma | Sona | Jinx
Tentacle Slam,C,4.90,-0.00,16.5%,2502,1.0%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
Guiding Hex,C,4.94,-0.00,15.3%,2227,0.9%,Aurora | Karma | Bard | Aurelion Sol | Vex
Evolved Embershot,C,1.10,-0.00,90.3%,31,0.0%,Aurora | Aurelion Sol | Vex | Bard | Xayah
Deep Freeze,C,2.03,-0.00,81.3%,32,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Animapocalypse,C,1.86,-0.00,68.2%,22,0.0%,Aurora | Aurelion Sol | Fiora | Xayah | Jhin
Leonine Lamentation,C,1.12,-0.00,88.2%,17,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Fiora
Bunny Prime Ballista,C,2.40,-0.00,72.0%,25,0.0%,Xayah | Graves | Fiora | Jinx | Kindred
Unceasing Cyclone,C,2.96,-0.00,56.0%,25,0.0%,Fiora | Diana | The Mighty Mech | Nunu & Willump | Blitzcrank
Vayne's Chromablades,C,2.88,-0.00,54.2%,24,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
OwO Blaster,C,3.21,-0.00,58.3%,24,0.0%,Jinx | Xayah | Graves | Fiora | Kindred
Savage Slicer,D,5.04,+0.00,13.4%,1882,0.8%,Briar | Fiora | Master Yi | Urgot | Riven
Rocket Swarm,D,5.35,+0.00,10.8%,1559,0.6%,Jinx | Kindred | Xayah | Jhin | Urgot
Biomatter Preserver,D,4.52,+0.02,10.3%,564,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Illaoi
