Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.67,-2.83,77.8%,45,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,3.31,-1.19,43.1%,2053,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Sympathetic Implant,S,3.69,-0.81,18.0%,5612,1.1%,Gragas | Sona | Viktor | Fiora | Pyke
Target-Lock Optics,S,3.72,-0.78,17.8%,2994,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,3.84,-0.66,16.6%,3292,0.6%,Master Yi | Pyke | Fiora | Sona | Kindred
Drone Uplink,S,4.12,-0.38,12.3%,3087,0.6%,Sona | Viktor | Gragas | Master Yi | Urgot
Biomatter Preserver,B,4.38,-0.12,10.2%,1224,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.01,-0.04,16.0%,18478,3.6%,Master Yi | Kindred | Pyke | Fiora | Urgot
Target-Lock Optics,C,4.06,-0.03,15.8%,14435,2.8%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.30,-0.03,13.4%,18689,3.6%,Viktor | Sona | Urgot | Kindred | Karma
Biomatter Preserver,C,4.20,-0.02,14.1%,14624,2.9%,Tahm Kench | Maokai | Illaoi | Gragas | The Mighty Mech
Sympathetic Implant,C,4.40,-0.02,12.6%,17727,3.5%,Sona | Viktor | Maokai | Karma | Kindred
Battle Bunny Crossbow,C,3.47,-0.02,39.3%,5138,1.0%,Jinx | Xayah | Kindred | Graves | Corki
Iceblast Armor,C,3.17,-0.01,46.5%,2246,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Broken Prototype,C,4.47,-0.01,16.5%,7622,1.5%,Illaoi | The Mighty Mech | Meepsie | Leona | Nunu & Willump
Lioness's Lament,C,3.30,-0.01,43.8%,2073,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Sparking Prototype,C,4.51,-0.01,15.9%,6771,1.3%,Jinx | LeBlanc | Riven | Aurora | Kindred
Leaky Prototype,C,4.52,-0.01,16.1%,6300,1.2%,Aurora | LeBlanc | Milio | Karma | Bard
The Annihilator,C,3.56,-0.00,40.7%,1713,0.3%,Aurelion Sol | Aurora | Fiora | Karma | Bard
Cyclonic Slicers,C,3.61,-0.00,39.7%,1766,0.3%,Fiora | Diana | Riven | The Mighty Mech | Blitzcrank
Echoing Batblades,C,3.63,-0.00,40.2%,1666,0.3%,Fiora | Jinx | Kindred | Xayah | Graves
Searing Shortbow,C,3.72,-0.00,37.7%,1767,0.3%,Aurelion Sol | Aurora | Vex | Karma | Bard
UwU Blaster,C,3.86,-0.00,35.3%,1568,0.3%,Jinx | Kindred | Fiora | Xayah | Corki
Tentacle Slam,C,4.79,-0.00,15.9%,8072,1.6%,Illaoi | The Mighty Mech | Tahm Kench | Rammus | Nunu & Willump
Guiding Hex,C,4.80,-0.00,16.6%,6794,1.3%,Aurora | Karma | Bard | Aurelion Sol | Milio
Evolved Embershot,C,1.51,-0.00,82.7%,81,0.0%,Aurora | Aurelion Sol | Vex | Bard | Kindred
OwO Blaster,C,2.67,-0.00,61.8%,55,0.0%,Jinx | Fiora | Graves | Corki | Kindred
Leonine Lamentation,C,1.68,-0.00,84.2%,38,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Deep Freeze,C,2.17,-0.00,77.5%,40,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Animapocalypse,C,1.86,-0.00,77.8%,36,0.0%,Aurelion Sol | Aurora | Fiora | Corki | Vex
Bunny Prime Ballista,C,1.36,-0.00,76.0%,25,0.0%,Graves | Fiora | Jinx | Kindred | Xayah
Unceasing Cyclone,C,2.58,-0.00,67.7%,31,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Master Yi
Vayne's Chromablades,C,3.27,-0.00,54.5%,33,0.0%,Fiora | Jinx | Xayah | Graves | Kindred
Omniweapon,C,1.00,-0.00,100.0%,1,0.0%,Blitzcrank | Fiora | Graves
Savage Slicer,D,5.06,+0.00,13.5%,4999,1.0%,Briar | Riven | Fiora | Jinx | Master Yi
Rocket Swarm,D,5.13,+0.00,11.8%,4833,0.9%,Jinx | Kindred | Karma | Corki | Riven
