Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,암흑의 별 일라오이,7,Medium,4.09,0.07,15.4%,58.9%,카이사 | 일라오이 | 카르마 | 모데카이저 | 진 | 꼬마 정령 | 초가스 | 리산드라,"카이사★ (무한의 대검, 거인 학살자, 타격대의 철퇴) | 일라오이★ (수호자의 맹세, 저녁갑주, 워모그의 갑옷) | 카르마 (푸른 파수꾼, 보석 건틀릿, 공허의 지팡이) | 모데카이저 (가고일 돌갑옷, 태양불꽃 망토, 워모그의 갑옷) | 진 | 꼬마 정령 | 초가스 | 리산드라"
S,선봉대 티모,5,Medium,4.09,0.35,11.7%,60.2%,티모 | 레오나 | 나서스 | 리산드라 | 나미 | 일라오이 | 모데카이저 | 조이,"티모★ (구인수의 격노검, 거인 학살자, 라바돈의 죽음모자) | 레오나★ (가고일 돌갑옷, 가고일 돌갑옷, 워모그의 갑옷) | 나서스★ (태양불꽃 망토, 정령의 형상, 워모그의 갑옷) | 리산드라★ (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 나미 | 일라오이 | 모데카이저 | 조이★"
S,운명술사 트위스티드 페이트,5,Medium,4.09,0.39,12.0%,59.4%,트위스티드 페이트 | 잭스 | 케이틀린 | 탈론 | 코르키 | 리븐 | 밀리오 | 아트록스,"트위스티드 페이트★ (내셔의 이빨, 내셔의 이빨, 라바돈의 죽음모자) | 잭스★ (크라운가드, 가고일 돌갑옷, 가고일 돌갑옷) | 케이틀린★ (죽음의 검, 구인수의 격노검, 거인 학살자) | 탈론★ (밤의 끝자락, 마법공학 총검, 쇼진의 창) | 코르키 | 리븐 | 밀리오 | 아트록스★"
S,암흑의 별 카르마,,Easy,4.12,0.16,15.3%,57.4%,카르마 | 진 | 탐 켄치 | 거대 메크 로봇 | 블리츠크랭크 | 카이사 | 모데카이저 | 초가스 | 리산드라,"카르마 (저격수 상징, 보석 건틀릿, 쇼진의 창) | 진 (무한의 대검, 최후의 속삭임, 거인 학살자) | 탐 켄치 (태양불꽃 망토, 저녁갑주, 워모그의 갑옷) | 거대 메크 로봇 (수호자의 맹세, 가고일 돌갑옷, 태양불꽃 망토) | 블리츠크랭크 | 카이사 | 모데카이저 | 초가스 | 리산드라"
S,태고족 브라이어,5,Medium,4.16,0.48,11.7%,57.7%,브라이어 | 벨베스 | 렉사이 | 킨드레드 | 탐 켄치 | 카이사 | 라아스트 | 아칼리,"브라이어★ (피바라기, 스테락의 도전, 거인의 결의) | 벨베스★ (거인 학살자, 수은, 크라켄의 분노) | 렉사이★ (수호자의 맹세, 태양불꽃 망토, 저녁갑주) | 킨드레드 (구인수의 격노검, 최후의 속삭임, 붉은 덩굴정령) | 탐 켄치 | 카이사 | 라아스트 | 아칼리"
S,선봉대 누누와 윌럼프,,Hard,4.18,0.37,17.0%,55.0%,누누와 윌럼프 | 벡스 | 블리츠크랭크 | 바드 | 소나 | 카르마 | 일라오이 | 꼬마 정령 | 모데카이저,"누누와 윌럼프 (적응형 투구, 수호자의 맹세, 수호자의 맹세) | 벡스 (구인수의 격노검, 보석 건틀릿, 타격대의 철퇴) | 블리츠크랭크 (보석 건틀릿, 타격대의 철퇴, 정의의 손길) | 바드 (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 소나 | 카르마 | 일라오이 | 꼬마 정령 | 모데카이저"
S,N.O.V.A. 킨드레드,,Easy,4.22,0.07,18.8%,54.8%,탐 켄치 | 그레이브즈 | 마오카이 | 피오라 | 모르가나 | 쉔 | 벡스 | 아칼리 | 아트록스,"탐 켄치 (가고일 돌갑옷, 굳건한 심장, 워모그의 갑옷) | 그레이브즈 (무한의 대검, 거인 학살자, 쇼진의 창) | 마오카이 (태양불꽃 망토, 저녁갑주, 워모그의 갑옷) | 피오라 | 모르가나 | 쉔 | 벡스 | 아칼리 | 아트록스"
A,암흑의 별 누누와 윌럼프,,Easy,4.30,0.08,12.6%,54.0%,누누와 윌럼프 | 카르마 | 진 | 카이사 | 거대 메크 로봇 | 탐 켄치 | 모데카이저 | 초가스 | 리산드라,"누누와 윌럼프 (크라운가드, 수호자의 맹세, 워모그의 갑옷) | 카르마 (보석 건틀릿, 내셔의 이빨, 라바돈의 죽음모자) | 진 (무한의 대검, 최후의 속삭임, 타격대의 철퇴) | 카이사 (푸른 파수꾼, 무한의 대검, 타격대의 철퇴) | 거대 메크 로봇 | 탐 켄치 | 모데카이저 | 초가스 | 리산드라"
A,암흑의 별 카이사,7,Easy,4.33,0.04,20.9%,52.1%,카이사 | 초가스 | 카르마 | 진 | 리븐 | 모데카이저 | 판테온 | 리산드라,"카이사★ (무한의 대검, 거인 학살자, 타격대의 철퇴) | 초가스★ (크라운가드, 수호자의 맹세, 정령의 형상) | 카르마 (라바돈의 죽음모자, 붉은 덩굴정령, 쇼진의 창) | 진 (무한의 대검, 최후의 속삭임, 타격대의 철퇴) | 리븐 | 모데카이저 | 판테온 | 리산드라"
A,습격자 마스터 이,,Medium,4.36,0.88,11.7%,53.0%,마스터 이 | 킨드레드 | 탐 켄치 | 피오라 | 쉔 | 마오카이 | 아칼리 | 벨베스 | 아트록스,"마스터 이 (악성코드 매트릭스, 밤의 끝자락, 거인 학살자) | 킨드레드 (습격자 상징, 구인수의 격노검, 크라켄의 분노) | 탐 켄치 (태양불꽃 망토, 정령의 형상, 저녁갑주) | 피오라 (밤의 끝자락, 거인 학살자, 정의의 손길) | 쉔 | 마오카이 | 아칼리 | 벨베스 | 아트록스"
A,암흑의 별 자야,,Medium,4.37,0.12,16.7%,51.1%,자야 | 누누와 윌럼프 | 진 | 카르마 | 탐 켄치 | 카이사 | 모데카이저 | 초가스 | 리산드라,"자야 (전투 토끼 석궁, 구인수의 격노검, 무한의 대검) | 누누와 윌럼프 (수호자의 맹세, 수호자의 맹세, 정령의 형상) | 진 (무한의 대검, 거인 학살자, 타격대의 철퇴) | 카르마 (보석 건틀릿, 거인 학살자, 쇼진의 창) | 탐 켄치 | 카이사 | 모데카이저 | 초가스 | 리산드라"
