Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,여행자 빅토르,7,Medium,3.97,0.61,12.7%,60.9%,빅토르 | 일라오이 | 나미 | 라아스트 | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라,"빅토르★ (드론 업링크, 대천사의 지팡이, 보석 건틀릿) | 일라오이★ (크라운가드, 가고일 돌갑옷, 워모그의 갑옷) | 나미 (보석 건틀릿, 쇼진의 창, 공허의 지팡이) | 라아스트★ (수호자의 맹세, 가고일 돌갑옷, 워모그의 갑옷) | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라"
S,운명술사 트위스티드 페이트,5,Medium,4.15,0.09,12.1%,57.0%,트위스티드 페이트 | 잭스 | 코르키 | 람머스 | 밀리오 | 아트록스 | 케이틀린 | 뽀삐,"트위스티드 페이트★ (내셔의 이빨, 내셔의 이빨, 라바돈의 죽음모자) | 잭스★ (크라운가드, 수호자의 맹세, 가고일 돌갑옷) | 코르키 (죽음의 검, 거인 학살자, 타격대의 철퇴) | 람머스 (용의 발톱, 정령의 형상, 워모그의 갑옷) | 밀리오 | 아트록스★ | 케이틀린★ | 뽀삐★"
S,태고족 벨베스,6,Medium,4.16,0.37,10.2%,58.1%,벨베스 | 아칼리 | 렉사이 | 킨드레드 | 마오카이 | 아트록스 | 브라이어 | 케이틀린,"벨베스★ (거인 학살자, 수은, 크라켄의 분노) | 아칼리★ (밤의 끝자락, 타격대의 철퇴, 정의의 손길) | 렉사이★ (용의 발톱, 태양불꽃 망토, 워모그의 갑옷) | 킨드레드 (죽음의 검, 구인수의 격노검, 거인 학살자) | 마오카이 | 아트록스★ | 브라이어★ | 케이틀린"
A,정령족 베이가,5,Medium,4.27,0.09,11.3%,54.7%,베이가 | 뽀삐 | 리산드라 | 람머스 | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저,"베이가★ (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 뽀삐★ (수호자의 맹세, 이온 충격기, 태양불꽃 망토) | 리산드라★ (보석 건틀릿, 거인 학살자, 쇼진의 창) | 람머스 (가고일 돌갑옷, 굳건한 심장, 워모그의 갑옷) | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저"
A,저격수 자야,,Medium,4.28,0.36,15.2%,53.7%,자야 | 누누와 윌럼프 | 진 | 바드 | 람머스 | 라아스트 | 나르 | 잭스 | 모데카이저,"자야 (전투 토끼 석궁, 구인수의 격노검, 무한의 대검) | 누누와 윌럼프 (크라운가드, 수호자의 맹세, 정령의 형상) | 진 (별돌보미 상징, 무한의 대검, 타격대의 철퇴) | 바드 | 람머스 | 라아스트 | 나르 | 잭스 | 모데카이저"
A,여행자 꼬마 정령,6,Medium,4.31,0.06,9.2%,55.5%,꼬마 정령 | 람머스 | 카르마 | 파이크 | 거대 메크 로봇 | 오로라 | 리산드라 | 뽀삐,"꼬마 정령★ (밤의 끝자락, 보석 건틀릿, 정의의 손길) | 람머스 (이온 충격기, 굳건한 심장, 태양불꽃 망토) | 카르마 (적응형 투구, 보석 건틀릿, 내셔의 이빨) | 파이크★ (악성코드 매트릭스, 밤의 끝자락, 무한의 대검) | 거대 메크 로봇 | 오로라 | 리산드라 | 뽀삐"
A,우주 그루브 나미,,Medium,4.34,0.49,15.7%,52.9%,나미 | 리븐 | 탐 켄치 | 블리츠크랭크 | 쉔 | 오른 | 그웬 | 판테온 | 나서스,"나미 (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 리븐 (우주 그루브 상징, 피바라기, 거인의 결의) | 탐 켄치 (덤불 조끼, 태양불꽃 망토, 정령의 형상) | 블리츠크랭크 (이온 충격기, 보석 건틀릿, 정의의 손길) | 쉔 | 오른 | 그웬 | 판테온 | 나서스"
A,선봉대 티모,5,Medium,4.39,0.14,8.6%,52.8%,레오나 | 티모 | 나서스 | 르블랑 | 블리츠크랭크 | 누누와 윌럼프 | 일라오이 | 모데카이저,"레오나★ (가고일 돌갑옷, 가고일 돌갑옷, 워모그의 갑옷) | 티모★ (구인수의 격노검, 거인 학살자, 라바돈의 죽음모자) | 나서스★ (가고일 돌갑옷, 태양불꽃 망토, 워모그의 갑옷) | 르블랑 (구인수의 격노검, 라바돈의 죽음모자, 공허의 지팡이) | 블리츠크랭크 | 누누와 윌럼프 | 일라오이 | 모데카이저"
A,우주 그루브 사미라,7,Medium,4.40,0.18,13.9%,51.1%,사미라 | 사미라 | 오른 | 오른 | 자야 | 누누와 윌럼프 | 블리츠크랭크 | 잭스,"사미라★ (죽음의 검, 무한의 대검, 쇼진의 창) | 사미라 | 오른★ (굳건한 심장, 정령의 형상, 워모그의 갑옷) | 오른 | 자야 (구인수의 격노검, 최후의 속삭임, 붉은 덩굴정령) | 누누와 윌럼프 (적응형 투구, 수호자의 맹세, 수호자의 맹세) | 블리츠크랭크 | 잭스"
A,시간 균열자 파이크,6,Medium,4.42,0.05,5.3%,52.9%,파이크 | 그웬 | 판테온 | 밀리오 | 코르키 | 리븐 | 그라가스 | 꼬마 정령,"파이크★ (표적 고정 광학 장치, 밤의 끝자락, 무한의 대검) | 그웬★ (밤의 끝자락, 라바돈의 죽음모자, 정의의 손길) | 판테온★ (용의 발톱, 이온 충격기, 태양불꽃 망토) | 밀리오★ (보석 건틀릿, 라바돈의 죽음모자, 쇼진의 창) | 코르키 | 리븐 | 그라가스★ | 꼬마 정령★"
