Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,여행자 빅토르,7,Medium,3.98,0.62,12.6%,60.6%,빅토르 | 일라오이 | 나미 | 라아스트 | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라,"빅토르★ (드론 업링크, 대천사의 지팡이, 보석 건틀릿) | 일라오이★ (덤불 조끼, 가고일 돌갑옷, 워모그의 갑옷) | 나미 (보석 건틀릿, 쇼진의 창, 공허의 지팡이) | 라아스트★ (수호자의 맹세, 가고일 돌갑옷, 워모그의 갑옷) | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라"
S,태고족 벨베스,6,Medium,4.16,0.39,10.0%,58.2%,벨베스 | 아칼리 | 렉사이 | 킨드레드 | 마오카이 | 아트록스 | 브라이어 | 케이틀린,"벨베스★ (거인 학살자, 수은, 크라켄의 분노) | 아칼리★ (밤의 끝자락, 타격대의 철퇴, 정의의 손길) | 렉사이★ (용의 발톱, 태양불꽃 망토, 워모그의 갑옷) | 킨드레드 (구인수의 격노검, 거인 학살자, 크라켄의 분노) | 마오카이 | 아트록스★ | 브라이어★ | 케이틀린"
S,운명술사 트위스티드 페이트,5,Medium,4.16,0.09,12.2%,57.0%,트위스티드 페이트 | 잭스 | 코르키 | 람머스 | 밀리오 | 아트록스 | 케이틀린 | 뽀삐,"트위스티드 페이트★ (내셔의 이빨, 내셔의 이빨, 라바돈의 죽음모자) | 잭스★ (크라운가드, 수호자의 맹세, 가고일 돌갑옷) | 코르키 (죽음의 검, 거인 학살자, 타격대의 철퇴) | 람머스 (용의 발톱, 정령의 형상, 워모그의 갑옷) | 밀리오 | 아트록스★ | 케이틀린★ | 뽀삐★"
S,저격수 자야,,Medium,4.24,0.37,15.5%,54.2%,자야 | 누누와 윌럼프 | 진 | 바드 | 람머스 | 라아스트 | 나르 | 잭스 | 모데카이저,"자야 (전투 토끼 석궁, 구인수의 격노검, 무한의 대검) | 누누와 윌럼프 (수호자의 맹세, 수호자의 맹세, 워모그의 갑옷) | 진 (죽음의 검, 무한의 대검, 타격대의 철퇴) | 바드 | 람머스 | 라아스트 | 나르 | 잭스 | 모데카이저"
A,정령족 베이가,5,Medium,4.28,0.09,11.2%,54.8%,베이가 | 뽀삐 | 리산드라 | 람머스 | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저,"베이가★ (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 뽀삐★ (크라운가드, 이온 충격기, 태양불꽃 망토) | 리산드라★ (보석 건틀릿, 라바돈의 죽음모자, 쇼진의 창) | 람머스 (수호자의 맹세, 가고일 돌갑옷, 정령의 형상) | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저"
A,여행자 꼬마 정령,6,Medium,4.28,0.06,9.7%,55.6%,꼬마 정령 | 람머스 | 카르마 | 파이크 | 거대 메크 로봇 | 오로라 | 리산드라 | 뽀삐,"꼬마 정령★ (밤의 끝자락, 보석 건틀릿, 정의의 손길) | 람머스 (이온 충격기, 굳건한 심장, 워모그의 갑옷) | 카르마 (보석 건틀릿, 내셔의 이빨, 라바돈의 죽음모자) | 파이크★ (악성코드 매트릭스, 밤의 끝자락, 무한의 대검) | 거대 메크 로봇 | 오로라 | 리산드라 | 뽀삐"
A,선봉대 티모,5,Medium,4.36,0.16,8.6%,53.7%,티모 | 레오나 | 나서스 | 르블랑 | 블리츠크랭크 | 누누와 윌럼프 | 일라오이 | 모데카이저,"티모★ (구인수의 격노검, 거인 학살자, 라바돈의 죽음모자) | 레오나★ (가고일 돌갑옷, 가고일 돌갑옷, 워모그의 갑옷) | 나서스★ (태양불꽃 망토, 정령의 형상, 워모그의 갑옷) | 르블랑 (구인수의 격노검, 마법공학 총검, 거인 학살자) | 블리츠크랭크 | 누누와 윌럼프 | 일라오이 | 모데카이저"
A,우주 그루브 나미,,Medium,4.36,0.49,15.3%,52.6%,나미 | 리븐 | 탐 켄치 | 블리츠크랭크 | 쉔 | 오른 | 그웬 | 판테온 | 나서스,"나미 (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 리븐 (우주 그루브 상징, 피바라기, 거인의 결의) | 탐 켄치 (이온 충격기, 태양불꽃 망토, 워모그의 갑옷) | 블리츠크랭크 (이온 충격기, 보석 건틀릿, 정의의 손길) | 쉔 | 오른 | 그웬 | 판테온 | 나서스"
A,요새 람머스,,Hard,4.41,0.57,16.0%,51.0%,람머스 | 벡스 | 바드 | 블리츠크랭크 | 쉔 | 카르마 | 라아스트 | 꼬마 정령 | 모데카이저,"람머스 (가고일 돌갑옷, 굳건한 심장, 태양불꽃 망토) | 벡스 (구인수의 격노검, 거인 학살자, 공허의 지팡이) | 바드 (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 블리츠크랭크 (보석 건틀릿, 타격대의 철퇴, 정의의 손길) | 쉔 | 카르마 | 라아스트 | 꼬마 정령 | 모데카이저"
A,N.O.V.A. 킨드레드 탐 켄치,,Medium,4.42,0.47,13.3%,51.2%,탐 켄치 | 피오라 | 그레이브즈 | 모르가나 | 쉔 | 벡스 | 마오카이 | 아칼리 | 아트록스,"탐 켄치 (태양불꽃 망토, 정령의 형상, 워모그의 갑옷) | 피오라 (N.O.V.A. 상징, 밤의 끝자락, 거인 학살자) | 그레이브즈 | 모르가나 | 쉔 | 벡스 | 마오카이 | 아칼리 | 아트록스"
