Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,전달자 빅토르,7,Easy,3.97,0.49,12.3%,61.3%,빅토르 | 일라오이 | 나미 | 라아스트 | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라,"빅토르★ (드론 업링크, 대천사의 지팡이, 보석 건틀릿) | 일라오이★ (이온 충격기, 태양불꽃 망토, 정령의 형상) | 나미 (라바돈의 죽음모자, 쇼진의 창, 공허의 지팡이) | 라아스트★ (이온 충격기, 태양불꽃 망토, 워모그의 갑옷) | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라"
S,운명술사 트위스티드 페이트,5,Medium,4.13,0.06,13.6%,56.3%,트위스티드 페이트 | 코르키 | 잭스 | 람머스 | 밀리오 | 아트록스 | 케이틀린 | 뽀삐,"트위스티드 페이트★ (내셔의 이빨, 내셔의 이빨, 라바돈의 죽음모자) | 코르키 (죽음의 검, 무한의 대검, 거인 학살자) | 잭스★ (크라운가드, 수호자의 맹세, 가고일 돌갑옷) | 람머스 (덤불 조끼, 가고일 돌갑옷, 태양불꽃 망토) | 밀리오 | 아트록스★ | 케이틀린★ | 뽀삐★"
S,태고족 벨베스,6,Medium,4.24,0.23,9.3%,56.4%,벨베스 | 렉사이 | 킨드레드 | 아칼리 | 마오카이 | 아트록스 | 브라이어 | 케이틀린,"벨베스★ (거인 학살자, 수은, 크라켄의 분노) | 렉사이★ (수호자의 맹세, 태양불꽃 망토, 정령의 형상) | 킨드레드 (구인수의 격노검, 거인 학살자, 크라켄의 분노) | 아칼리★ (밤의 끝자락, 타격대의 철퇴, 정의의 손길) | 마오카이 | 아트록스★ | 브라이어★ | 케이틀린★"
A,우주 그루브 나미,,Medium,4.28,0.52,16.5%,53.3%,나미 | 리븐 | 탐 켄치 | 블리츠크랭크 | 쉔 | 오른 | 그웬 | 판테온 | 나서스,"나미 (보석 건틀릿, 내셔의 이빨, 쇼진의 창) | 리븐 (우주 그루브 상징, 피바라기, 거인의 결의) | 탐 켄치 (수호자의 맹세, 태양불꽃 망토, 워모그의 갑옷) | 블리츠크랭크 (피바라기, 이온 충격기, 모렐로노미콘) | 쉔 | 오른 | 그웬 | 판테온 | 나서스"
A,N.O.V.A. 킨드레드,,Medium,4.33,0.69,14.6%,52.7%,킨드레드 | 마오카이 | 마스터 이 | 피오라 | 쉔 | 우르곳 | 아칼리 | 아트록스 | 케이틀린,"킨드레드 (구인수의 격노검, 타격대의 철퇴, 크라켄의 분노) | 마오카이 (가고일 돌갑옷, 정령의 형상, 워모그의 갑옷) | 마스터 이 (밤의 끝자락, 거인 학살자, 스테락의 도전) | 피오라 | 쉔 | 우르곳 | 아칼리 | 아트록스 | 케이틀린"
A,정령족 베이가,5,Hard,4.35,0.08,11.8%,53.2%,베이가 | 뽀삐 | 리산드라 | 람머스 | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저,"베이가★ (보석 건틀릿, 내셔의 이빨, 쇼진의 창) | 뽀삐★ (용의 발톱, 이온 충격기, 태양불꽃 망토) | 리산드라★ (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 람머스 (덤불 조끼, 가고일 돌갑옷, 워모그의 갑옷) | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저"
A,저격수 자야,,Medium,4.37,0.26,14.3%,52.5%,자야 | 누누와 윌럼프 | 진 | 리븐 | 쉔 | 룰루 | 잭스 | 모데카이저 | 탈론,"자야 (구인수의 격노검, 붉은 덩굴정령, 크라켄의 분노) | 누누와 윌럼프 (수호자의 맹세, 정령의 형상, 워모그의 갑옷) | 진 (죽음의 검, 마법공학 총검, 무한의 대검) | 리븐 (별돌보미 상징, 피바라기, 스테락의 도전) | 쉔 | 룰루 | 잭스 | 모데카이저 | 탈론"
A,정령족 코르키,,Easy,4.40,0.28,15.8%,49.8%,코르키 | 람머스 | 리븐 | 바드 | 피즈 | 나르 | 꼬마 정령 | 밀리오 | 뽀삐,"코르키 (푸른 파수꾼, 죽음의 검, 최후의 속삭임) | 람머스 (크라운가드, 가고일 돌갑옷, 태양불꽃 망토) | 리븐 (피바라기, 스테락의 도전, 거인의 결의) | 바드 (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 피즈 | 나르 | 꼬마 정령 | 밀리오 | 뽀삐"
A,선봉대 르블랑,,Medium,4.44,0.92,10.5%,51.4%,르블랑 | 누누와 윌럼프 | 카르마 | 일라오이 | 바드 | 꼬마 정령 | 모데카이저 | 조이 | 레오나,"르블랑 (구인수의 격노검, 보석 건틀릿, 거인 학살자) | 누누와 윌럼프 (이온 충격기, 태양불꽃 망토, 정령의 형상) | 카르마 (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 일라오이 (용의 발톱, 가고일 돌갑옷, 워모그의 갑옷) | 바드 | 꼬마 정령 | 모데카이저 | 조이 | 레오나"
A,메카 아우렐리온 솔,,Hard,4.45,0.85,14.8%,51.2%,아우렐리온 솔 | 거대 메크 로봇 | 우르곳 | 바드 | 모르가나 | 마오카이 | 아칼리,"아우렐리온 솔 (보석 건틀릿, 라바돈의 죽음모자, 공허의 지팡이) | 거대 메크 로봇 (가고일 돌갑옷, 스테락의 도전, 거인의 결의) | 우르곳 (최후의 속삭임, 타격대의 철퇴, 정의의 손길) | 바드 | 모르가나 | 마오카이 | 아칼리"
A,운명술사 트위스티드 페이트 잭스,5,Medium,4.46,0.25,9.3%,51.4%,트위스티드 페이트 | 잭스 | 케이틀린 | 아트록스 | 코르키 | 리븐 | 밀리오 | 탈론,"트위스티드 페이트★ (내셔의 이빨, 내셔의 이빨, 라바돈의 죽음모자) | 잭스★ (크라운가드, 수호자의 맹세, 가고일 돌갑옷) | 케이틀린★ (죽음의 검, 구인수의 격노검, 거인 학살자) | 아트록스★ (피바라기, 스테락의 도전, 거인의 결의) | 코르키 | 리븐 | 밀리오 | 탈론★"
A,여행자 꼬마 정령,6,Easy,4.47,0.04,8.3%,51.6%,꼬마 정령 | 카르마 | 람머스 | 파이크 | 소나 | 오로라 | 리산드라 | 뽀삐,"꼬마 정령★ (밤의 끝자락, 보석 건틀릿, 정의의 손길) | 카르마 (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 람머스 (크라운가드, 이온 충격기, 태양불꽃 망토) | 파이크★ (피바라기, 밤의 끝자락, 무한의 대검) | 소나 | 오로라 | 리산드라 | 뽀삐"
A,선봉대 티모,5,Medium,4.48,0.13,7.7%,49.7%,티모 | 레오나 | 나서스 | 르블랑 | 블리츠크랭크 | 누누와 윌럼프 | 일라오이 | 모데카이저,"티모★ (구인수의 격노검, 마법공학 총검, 거인 학살자) | 레오나★ (가고일 돌갑옷, 가고일 돌갑옷, 워모그의 갑옷) | 나서스★ (피바라기, 구인수의 격노검, 거인의 결의) | 르블랑 (구인수의 격노검, 보석 건틀릿, 공허의 지팡이) | 블리츠크랭크 | 누누와 윌럼프 | 일라오이 | 모데카이저"
A,우주 그루브 누누와 윌럼프,,Hard,4.50,0.62,14.9%,50.2%,벡스 | 누누와 윌럼프 | 그레이브즈 | 피오라 | 블리츠크랭크 | 모르가나 | 쉔 | 아칼리 | 아트록스,"벡스 (구인수의 격노검, 마법공학 총검, 거인 학살자) | 누누와 윌럼프 (수호자의 맹세, 태양불꽃 망토, 워모그의 갑옷) | 그레이브즈 (거인 학살자, 수은, 스테락의 도전) | 피오라 (피바라기, 밤의 끝자락, 스테락의 도전) | 블리츠크랭크 | 모르가나 | 쉔 | 아칼리 | 아트록스"
B,암흑의 별 카르마,,Easy,4.57,0.02,11.9%,48.8%,카르마 | 진 | 거대 메크 로봇 | 모데카이저 | 블리츠크랭크 | 탐 켄치 | 카이사 | 초가스 | 리산드라,"카르마 (푸른 파수꾼, 보석 건틀릿, 모렐로노미콘) | 진 (구인수의 격노검, 무한의 대검, 거인 학살자) | 거대 메크 로봇 (가고일 돌갑옷, 굳건한 심장, 워모그의 갑옷) | 모데카이저 (용의 발톱, 가고일 돌갑옷, 태양불꽃 망토) | 블리츠크랭크 | 탐 켄치 | 카이사 | 초가스 | 리산드라"
B,메카 거대 메크 로봇,,Easy,4.58,0.20,13.6%,48.0%,거대 메크 로봇 | 아우렐리온 솔 | 마스터 이 | 우르곳 | 소나 | 탐 켄치 | 빅토르 | 파이크,"거대 메크 로봇 (가고일 돌갑옷, 스테락의 도전, 거인의 결의) | 아우렐리온 솔 (보석 건틀릿, 라바돈의 죽음모자, 공허의 지팡이) | 마스터 이 (피바라기, 스테락의 도전, 거인의 결의) | 우르곳 (피바라기, 스테락의 도전, 거인의 결의) | 소나 | 탐 켄치 | 빅토르 | 파이크"
B,불한당 카이사 피즈,7,Easy,4.59,0.21,8.1%,48.8%,카이사 | 피즈 | 오른 | 라아스트 | 카르마 | 람머스 | 리븐 | 꼬마 정령,"카이사★ (푸른 파수꾼, 무한의 대검, 타격대의 철퇴) | 피즈★ (보석 건틀릿, 내셔의 이빨, 정의의 손길) | 오른★ (태양불꽃 망토, 정령의 형상, 저녁갑주) | 라아스트★ (용의 발톱, 가고일 돌갑옷, 태양불꽃 망토) | 카르마 | 람머스 | 리븐 | 꼬마 정령"
B,요새 람머스,,Hard,4.60,0.54,12.9%,48.2%,람머스 | 벡스 | 바드 | 블리츠크랭크 | 쉔 | 거대 메크 로봇 | 카르마 | 꼬마 정령 | 모데카이저,"람머스 (수호자의 맹세, 가고일 돌갑옷, 정령의 형상) | 벡스 (구인수의 격노검, 거인 학살자, 공허의 지팡이) | 바드 (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 블리츠크랭크 (보석 건틀릿, 라바돈의 죽음모자, 정의의 손길) | 쉔 | 거대 메크 로봇 | 카르마 | 꼬마 정령 | 모데카이저"
B,암흑의 별 모데카이저,,Easy,4.62,0.02,14.6%,46.0%,모데카이저 | 카이사 | 진 | 카르마 | 블리츠크랭크 | 탐 켄치 | 초가스 | 리산드라,"모데카이저 (가고일 돌갑옷, 태양불꽃 망토, 워모그의 갑옷) | 카이사 (무한의 대검, 타격대의 철퇴, 쇼진의 창) | 진 (구인수의 격노검, 무한의 대검, 거인 학살자) | 카르마 (푸른 파수꾼, 보석 건틀릿, 공허의 지팡이) | 블리츠크랭크 | 탐 켄치 | 초가스 | 리산드라"
B,길잡이 르블랑,,Easy,4.62,0.07,10.4%,48.4%,르블랑 | 거대 메크 로봇 | 소나 | 카르마 | 일라오이 | 꼬마 정령 | 레오나 | 리산드라,"르블랑 (구인수의 격노검, 보석 건틀릿, 거인 학살자) | 거대 메크 로봇 (가고일 돌갑옷, 굳건한 심장, 정령의 형상) | 소나 (붉은 덩굴정령, 쇼진의 창, 공허의 지팡이) | 카르마 (길잡이 상징, 모렐로노미콘, 공허의 지팡이) | 일라오이 | 꼬마 정령 | 레오나 | 리산드라"
B,우주 그루브 사미라,7,Medium,4.63,0.14,11.9%,46.6%,사미라 | 사미라 | 오른 | 오른 | 자야 | 누누와 윌럼프 | 블리츠크랭크 | 잭스,"사미라★ (죽음의 검, 무한의 대검, 쇼진의 창) | 사미라 | 오른★ (덤불 조끼, 태양불꽃 망토, 정령의 형상) | 오른 | 자야 (구인수의 격노검, 최후의 속삭임, 붉은 덩굴정령) | 누누와 윌럼프 (가고일 돌갑옷, 정령의 형상, 워모그의 갑옷) | 블리츠크랭크 | 잭스"
B,정령족 코르키 거대 메크 로봇,,Easy,4.64,0.03,14.8%,46.0%,코르키 | 거대 메크 로봇 | 람머스 | 바드 | 카르마 | 피즈 | 나르 | 꼬마 정령 | 뽀삐,"코르키 (죽음의 검, 무한의 대검, 거인 학살자) | 거대 메크 로봇 (수호자의 맹세, 가고일 돌갑옷, 태양불꽃 망토) | 람머스 (가고일 돌갑옷, 저녁갑주, 워모그의 갑옷) | 바드 (보석 건틀릿, 라바돈의 죽음모자, 쇼진의 창) | 카르마 | 피즈 | 나르 | 꼬마 정령 | 뽀삐"
