Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,여행자 빅토르,7,Medium,3.91,0.52,12.6%,62.1%,빅토르 | 일라오이 | 나미 | 라아스트 | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라,"빅토르★ (드론 업링크, 보석 건틀릿, 라바돈의 죽음모자) | 일라오이★ (덤불 조끼, 가고일 돌갑옷, 워모그의 갑옷) | 나미 (거인 학살자, 쇼진의 창, 공허의 지팡이) | 라아스트★ (수호자의 맹세, 태양불꽃 망토, 워모그의 갑옷) | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라"
S,태고족 벨베스,6,Medium,4.15,0.45,9.5%,58.4%,벨베스 | 렉사이 | 아칼리 | 킨드레드 | 마오카이 | 아트록스 | 브라이어 | 케이틀린,"벨베스★ (거인 학살자, 수은, 크라켄의 분노) | 렉사이★ (수호자의 맹세, 태양불꽃 망토, 정령의 형상) | 아칼리★ (밤의 끝자락, 타격대의 철퇴, 정의의 손길) | 킨드레드 (죽음의 검, 구인수의 격노검, 거인 학살자) | 마오카이 | 아트록스 | 브라이어★ | 케이틀린"
S,선봉대 티모,5,Medium,4.22,0.25,8.6%,56.8%,티모 | 레오나 | 리산드라 | 나서스 | 나미 | 일라오이 | 모데카이저 | 조이,"티모★ (구인수의 격노검, 거인 학살자, 라바돈의 죽음모자) | 레오나★ (가고일 돌갑옷, 가고일 돌갑옷, 워모그의 갑옷) | 리산드라★ (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 나서스★ (이온 충격기, 태양불꽃 망토, 워모그의 갑옷) | 나미 | 일라오이 | 모데카이저 | 조이★"
A,메카 우르곳,7,Medium,4.25,0.29,12.2%,55.4%,우르곳 | 오로라 | 마오카이 | 거대 메크 로봇 | 라아스트 | 아칼리,"우르곳★ (무한의 대검, 거인 학살자, 수은) | 오로라★ (보석 건틀릿, 거인 학살자, 쇼진의 창) | 마오카이★ (수호자의 맹세, 저녁갑주, 워모그의 갑옷) | 거대 메크 로봇 (수호자의 맹세, 태양불꽃 망토, 저녁갑주) | 라아스트★ | 아칼리"
A,운명술사 트위스티드 페이트,5,Medium,4.26,0.39,9.9%,55.5%,트위스티드 페이트 | 잭스 | 케이틀린 | 탈론 | 코르키 | 리븐 | 밀리오 | 아트록스,"트위스티드 페이트★ (내셔의 이빨, 내셔의 이빨, 라바돈의 죽음모자) | 잭스★ (크라운가드, 가고일 돌갑옷, 가고일 돌갑옷) | 케이틀린★ (죽음의 검, 구인수의 격노검, 거인 학살자) | 탈론★ (밤의 끝자락, 마법공학 총검, 쇼진의 창) | 코르키 | 리븐 | 밀리오 | 아트록스★"
A,선봉대 누누와 윌럼프,,Medium,4.26,0.38,14.0%,54.0%,누누와 윌럼프 | 카르마 | 벡스 | 바드 | 블리츠크랭크 | 소나 | 일라오이 | 꼬마 정령 | 모데카이저,"누누와 윌럼프 (적응형 투구, 수호자의 맹세, 수호자의 맹세) | 카르마 (라바돈의 죽음모자, 쇼진의 창, 공허의 지팡이) | 벡스 (구인수의 격노검, 거인 학살자, 라바돈의 죽음모자) | 바드 | 블리츠크랭크 | 소나 | 일라오이 | 꼬마 정령 | 모데카이저"
A,저격수 자야,,Medium,4.30,0.69,20.4%,52.1%,자야 | 누누와 윌럼프 | 람머스 | 진 | 바드 | 라아스트 | 나르 | 잭스 | 모데카이저,"자야 (전투 토끼 석궁, 구인수의 격노검, 무한의 대검) | 누누와 윌럼프 (적응형 투구, 수호자의 맹세, 수호자의 맹세) | 람머스 (용의 발톱, 태양불꽃 망토, 저녁갑주) | 진 (무한의 대검, 최후의 속삭임, 거인 학살자) | 바드 | 라아스트 | 나르 | 잭스 | 모데카이저"
A,정령족 베이가,5,Medium,4.32,0.14,11.8%,53.2%,베이가 | 뽀삐 | 리산드라 | 람머스 | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저,"베이가★ (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 뽀삐★ (크라운가드, 수호자의 맹세, 이온 충격기) | 리산드라★ (보석 건틀릿, 쇼진의 창, 공허의 지팡이) | 람머스 (덤불 조끼, 가고일 돌갑옷, 워모그의 갑옷) | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저"
A,시간 균열자 파이크,6,Easy,4.38,0.05,5.9%,54.4%,파이크 | 그웬 | 판테온 | 밀리오 | 코르키 | 리븐 | 그라가스 | 꼬마 정령,"파이크★ (불한당 상징, 표적 고정 광학 장치, 무한의 대검) | 그웬★ (보석 건틀릿, 내셔의 이빨, 정의의 손길) | 판테온★ (용의 발톱, 수호자의 맹세, 워모그의 갑옷) | 밀리오★ (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 코르키 | 리븐 | 그라가스★ | 꼬마 정령★"
A,암흑의 별 누누와 윌럼프,,Easy,4.39,0.07,14.2%,51.6%,누누와 윌럼프 | 자야 | 진 | 카르마 | 탐 켄치 | 카이사 | 모데카이저 | 초가스 | 리산드라,"누누와 윌럼프 (수호자의 맹세, 수호자의 맹세, 수호자의 맹세) | 자야 (전투 토끼 석궁, 구인수의 격노검, 무한의 대검) | 진 (죽음의 검, 무한의 대검, 거인 학살자) | 카르마 (푸른 파수꾼, 보석 건틀릿, 라바돈의 죽음모자) | 탐 켄치 | 카이사 | 모데카이저 | 초가스 | 리산드라"
A,우주 그루브 나미,,Medium,4.40,0.41,14.8%,51.6%,리븐 | 나미 | 탐 켄치 | 블리츠크랭크 | 쉔 | 누누와 윌럼프 | 오른 | 그웬 | 판테온,"리븐 (우주 그루브 상징, 피바라기, 거인의 결의) | 나미 (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 탐 켄치 (수호자의 맹세, 태양불꽃 망토, 워모그의 갑옷) | 블리츠크랭크 (이온 충격기, 보석 건틀릿, 정의의 손길) | 쉔 | 누누와 윌럼프 | 오른 | 그웬 | 판테온"
A,선봉대 레오나,5,Medium,4.41,0.06,9.6%,52.2%,레오나 | 르블랑 | 티모 | 누누와 윌럼프 | 블리츠크랭크 | 일라오이 | 모데카이저 | 조이 | 나서스,"레오나★ (가고일 돌갑옷, 가고일 돌갑옷, 워모그의 갑옷) | 르블랑 (구인수의 격노검, 모렐로노미콘, 공허의 지팡이) | 티모★ (구인수의 격노검, 마법공학 총검, 거인 학살자) | 누누와 윌럼프 (적응형 투구, 수호자의 맹세, 워모그의 갑옷) | 블리츠크랭크 | 일라오이 | 모데카이저 | 조이 | 나서스★"
A,불한당 카이사 피즈,7,Easy,4.41,0.05,8.9%,52.2%,카이사 | 피즈 | 오른 | 마오카이 | 라아스트 | 아트록스 | 초가스,"카이사★ (죽음의 검, 무한의 대검, 거인 학살자) | 피즈★ (보석 건틀릿, 수은, 정의의 손길) | 오른★ (크라운가드, 수호자의 맹세, 태양불꽃 망토) | 마오카이★ (덤불 조끼, 가고일 돌갑옷, 워모그의 갑옷) | 라아스트★ | 아트록스 | 초가스"
A,우주 그루브 사미라,7,Medium,4.42,0.21,13.4%,50.7%,사미라 | 사미라 | 오른 | 오른 | 자야 | 누누와 윌럼프 | 블리츠크랭크 | 잭스,"사미라★ (죽음의 검, 무한의 대검, 쇼진의 창) | 사미라 | 오른★ (용의 발톱, 가고일 돌갑옷, 워모그의 갑옷) | 오른 | 자야 (구인수의 격노검, 최후의 속삭임, 거인 학살자) | 누누와 윌럼프 (적응형 투구, 수호자의 맹세, 수호자의 맹세) | 블리츠크랭크 | 잭스"
A,암흑의 별 카르마,,Easy,4.44,0.09,11.0%,51.3%,카르마 | 탐 켄치 | 진 | 거대 메크 로봇 | 블리츠크랭크 | 카이사 | 모데카이저 | 초가스 | 리산드라,"카르마 (적응형 투구, 라바돈의 죽음모자, 공허의 지팡이) | 탐 켄치 (태양불꽃 망토, 정령의 형상, 저녁갑주) | 진 (죽음의 검, 무한의 대검, 최후의 속삭임) | 거대 메크 로봇 (수호자의 맹세, 가고일 돌갑옷, 태양불꽃 망토) | 블리츠크랭크 | 카이사 | 모데카이저 | 초가스 | 리산드라"
