Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,여행자 빅토르,7,Medium,3.90,0.50,12.7%,62.3%,빅토르 | 일라오이 | 나미 | 라아스트 | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라,"빅토르★ (드론 업링크, 보석 건틀릿, 라바돈의 죽음모자) | 일라오이★ (덤불 조끼, 가고일 돌갑옷, 워모그의 갑옷) | 나미 (거인 학살자, 쇼진의 창, 공허의 지팡이) | 라아스트★ (이온 충격기, 태양불꽃 망토, 워모그의 갑옷) | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라"
S,태고족 벨베스,6,Medium,4.11,0.47,9.8%,59.1%,벨베스 | 렉사이 | 킨드레드 | 아칼리 | 마오카이 | 아트록스 | 브라이어 | 케이틀린,"벨베스★ (거인 학살자, 수은, 크라켄의 분노) | 렉사이★ (수호자의 맹세, 태양불꽃 망토, 저녁갑주) | 킨드레드 (죽음의 검, 구인수의 격노검, 거인 학살자) | 아칼리★ (밤의 끝자락, 타격대의 철퇴, 정의의 손길) | 마오카이 | 아트록스★ | 브라이어★ | 케이틀린"
S,선봉대 티모,5,Medium,4.21,0.28,8.8%,56.9%,티모 | 레오나 | 리산드라 | 나서스 | 나미 | 일라오이 | 모데카이저 | 조이,"티모★ (구인수의 격노검, 거인 학살자, 라바돈의 죽음모자) | 레오나★ (가고일 돌갑옷, 가고일 돌갑옷, 워모그의 갑옷) | 리산드라★ (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 나서스★ (이온 충격기, 태양불꽃 망토, 워모그의 갑옷) | 나미 | 일라오이 | 모데카이저 | 조이★"
S,선봉대 누누와 윌럼프,,Medium,4.22,0.36,15.1%,54.6%,누누와 윌럼프 | 벡스 | 카르마 | 바드 | 블리츠크랭크 | 소나 | 일라오이 | 꼬마 정령 | 모데카이저,"누누와 윌럼프 (적응형 투구, 적응형 투구, 수호자의 맹세) | 벡스 (구인수의 격노검, 거인 학살자, 라바돈의 죽음모자) | 카르마 (라바돈의 죽음모자, 쇼진의 창, 공허의 지팡이) | 바드 | 블리츠크랭크 | 소나 | 일라오이 | 꼬마 정령 | 모데카이저"
A,운명술사 트위스티드 페이트,5,Medium,4.27,0.41,9.8%,55.4%,트위스티드 페이트 | 잭스 | 케이틀린 | 탈론 | 코르키 | 리븐 | 밀리오 | 아트록스,"트위스티드 페이트★ (내셔의 이빨, 내셔의 이빨, 라바돈의 죽음모자) | 잭스★ (크라운가드, 가고일 돌갑옷, 가고일 돌갑옷) | 케이틀린★ (죽음의 검, 구인수의 격노검, 거인 학살자) | 탈론★ (밤의 끝자락, 마법공학 총검, 쇼진의 창) | 코르키 | 리븐 | 밀리오 | 아트록스★"
A,메카 우르곳,7,Medium,4.27,0.47,12.4%,55.0%,우르곳 | 오로라 | 마오카이 | 거대 메크 로봇 | 라아스트 | 아칼리,"우르곳★ (무한의 대검, 거인 학살자, 수은) | 오로라★ (보석 건틀릿, 타격대의 철퇴, 쇼진의 창) | 마오카이★ (용의 발톱, 저녁갑주, 워모그의 갑옷) | 거대 메크 로봇 (가고일 돌갑옷, 정령의 형상, 스테락의 도전) | 라아스트★ | 아칼리"
A,저격수 자야,,Medium,4.30,0.72,21.1%,51.9%,자야 | 누누와 윌럼프 | 람머스 | 진 | 바드 | 라아스트 | 나르 | 잭스 | 모데카이저,"자야 (전투 토끼 석궁, 구인수의 격노검, 무한의 대검) | 누누와 윌럼프 (적응형 투구, 수호자의 맹세, 수호자의 맹세) | 람머스 (태양불꽃 망토, 저녁갑주, 워모그의 갑옷) | 진 (무한의 대검, 최후의 속삭임, 거인 학살자) | 바드 | 라아스트 | 나르 | 잭스 | 모데카이저"
A,정령족 베이가,5,Medium,4.34,0.13,11.8%,52.6%,베이가 | 뽀삐 | 람머스 | 리산드라 | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저,"베이가★ (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 뽀삐★ (크라운가드, 수호자의 맹세, 이온 충격기) | 람머스 (용의 발톱, 수호자의 맹세, 가고일 돌갑옷) | 리산드라★ (보석 건틀릿, 타격대의 철퇴, 쇼진의 창) | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저"
A,선봉대 레오나,5,Medium,4.39,0.07,9.8%,52.5%,레오나 | 르블랑 | 티모 | 누누와 윌럼프 | 블리츠크랭크 | 일라오이 | 모데카이저 | 조이 | 나서스,"레오나★ (가고일 돌갑옷, 가고일 돌갑옷, 워모그의 갑옷) | 르블랑 (구인수의 격노검, 모렐로노미콘, 공허의 지팡이) | 티모★ (구인수의 격노검, 마법공학 총검, 거인 학살자) | 누누와 윌럼프 (수호자의 맹세, 수호자의 맹세, 워모그의 갑옷) | 블리츠크랭크 | 일라오이 | 모데카이저 | 조이 | 나서스★"
A,우주 그루브 사미라,7,Medium,4.39,0.20,14.0%,51.3%,사미라 | 사미라 | 오른 | 오른 | 자야 | 누누와 윌럼프 | 블리츠크랭크 | 잭스,"사미라★ (죽음의 검, 무한의 대검, 쇼진의 창) | 사미라 | 오른★ (용의 발톱, 가고일 돌갑옷, 워모그의 갑옷) | 오른 | 자야 (구인수의 격노검, 최후의 속삭임, 붉은 덩굴정령) | 누누와 윌럼프 (적응형 투구, 수호자의 맹세, 수호자의 맹세) | 블리츠크랭크 | 잭스"
