Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Ionic Spark,S,3.97,-0.53,16.5%,91,0.0%,Blitzcrank | Illaoi | Nunu & Willump | Tahm Kench | Maokai
Radiant Nashor's Tooth,S,4.00,-0.50,20.4%,1665,0.3%,Lulu | Lissandra | Nami | Karma | Aurelion Sol
Radiant Rabadon's Deathcap,S,4.13,-0.37,16.4%,2415,0.4%,Aurelion Sol | Vex | Bard | Karma | LeBlanc
Radiant Dragon's Claw,S,4.14,-0.36,15.5%,181,0.0%,Nunu & Willump | Rammus | Cho'Gath | Tahm Kench | Ornn
Radiant Red Buff,S,4.16,-0.34,19.9%,748,0.1%,Xayah | Vex | Kindred | Corki | Jhin
Radiant Morellonomicon,A,4.22,-0.28,20.7%,169,0.0%,Karma | Milio | Sona | Bard | Vex
Radiant Thief's Gloves,A,4.23,-0.27,14.6%,4762,0.8%,Blitzcrank | Riven | Fiora | Shen | The Mighty Mech
Radiant Deathblade,A,4.28,-0.22,11.6%,5718,1.0%,Corki | Graves | Jhin | Xayah | Miss Fortune
Radiant Sterak's Gage,B,4.30,-0.20,12.6%,461,0.1%,Riven | Fiora | Master Yi | Graves | Briar
Radiant Bloodthirster,B,4.33,-0.17,14.6%,437,0.1%,Diana | Riven | Fiora | Jax | Master Yi
Radiant Void Staff,B,4.33,-0.17,16.9%,408,0.1%,Aurelion Sol | Vex | Karma | Bard | Sona
Radiant Striker's Flail,B,4.33,-0.17,10.7%,1591,0.3%,Corki | Aurelion Sol | Graves | Jhin | Vex
Radiant Edge of Night,B,4.35,-0.15,12.9%,1006,0.2%,Master Yi | Zed | Fiora | Riven | Diana
Radiant Giant Slayer,B,4.36,-0.14,13.3%,4122,0.7%,Master Yi | Corki | Vex | Graves | Xayah
Radiant Titan's Resolve,B,4.38,-0.12,15.7%,642,0.1%,Diana | Master Yi | Riven | Fiora | Jax
Radiant Jeweled Gauntlet,B,4.38,-0.12,13.8%,2214,0.4%,Aurelion Sol | Vex | Lulu | Bard | Karma
Radiant Hextech Gunblade,C,4.42,-0.08,14.8%,391,0.1%,Vex | Aurelion Sol | LeBlanc | Karma | Bard
Radiant Hand of Justice,C,4.43,-0.07,10.6%,425,0.1%,Riven | Master Yi | Fiora | Gragas | Pyke
Radiant Gargoyle Stoneplate,C,4.44,-0.06,15.4%,2361,0.4%,The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench | Jax
Radiant Archangel's Staff,C,4.44,-0.06,11.3%,204,0.0%,Aurelion Sol | Vex | LeBlanc | Bard | Lulu
Radiant Infinity Edge,C,4.45,-0.05,14.7%,1078,0.2%,Corki | Jhin | Graves | Xayah | Miss Fortune
Radiant Kraken's Fury,C,4.46,-0.04,17.7%,1274,0.2%,Xayah | Kindred | Jinx | Graves | Miss Fortune
Radiant Evenshroud,C,4.49,-0.01,6.7%,75,0.0%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Radiant Last Whisper,C,4.50,-0.00,9.4%,457,0.1%,Corki | Kindred | Jhin | Xayah | Graves
Radiant Spirit Visage,C,4.50,-0.00,14.5%,516,0.1%,Cho'Gath | Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech
Radiant Blue Buff,D,4.52,+0.02,10.7%,590,0.1%,Corki | Karma | Lulu | Kai'Sa | Sona
Radiant Warmog's Armor,D,4.53,+0.03,10.8%,1053,0.2%,Rammus | Nunu & Willump | Cho'Gath | Tahm Kench | The Mighty Mech
Radiant Spear of Shojin,D,4.53,+0.03,18.7%,460,0.1%,Zed | Corki | Graves | Lulu | Karma
Radiant Sunfire Cape,D,4.56,+0.06,8.8%,204,0.0%,Rammus | Tahm Kench | Nunu & Willump | Ornn | The Mighty Mech
Radiant Adaptive Helm,D,4.56,+0.06,11.2%,269,0.0%,Nunu & Willump | Cho'Gath | Rammus | Zed | Lulu
Radiant Protector's Vow,D,4.61,+0.11,12.4%,590,0.1%,Nunu & Willump | Rammus | Cho'Gath | Tahm Kench | The Mighty Mech
Radiant Steadfast Heart,D,4.61,+0.11,12.5%,160,0.0%,Rammus | Nunu & Willump | Tahm Kench | Cho'Gath | Ornn
Radiant Bramble Vest,D,4.62,+0.12,12.1%,373,0.1%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Cho'Gath
Radiant Crownguard,D,4.68,+0.18,10.5%,172,0.0%,Rammus | Nunu & Willump | Jax | Tahm Kench | Ornn
Radiant Quicksilver,D,4.74,+0.24,13.1%,404,0.1%,Master Yi | Graves | Riven | Urgot | Fiora
Radiant Guinsoo's Rageblade,D,4.91,+0.41,14.5%,1542,0.3%,Vex | Xayah | LeBlanc | Diana | Graves
