Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.68,-2.82,76.1%,683,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Kayle's Radiant Exaltation,S,1.97,-2.53,59.3%,528,0.0%,Vex | LeBlanc | Aurelion Sol | Xayah | Kindred
Radiant Field,S,3.87,-0.63,29.8%,14612,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Nashor's Tooth,S,3.97,-0.53,17.0%,9514,0.6%,Twisted Fate | Nami | Veigar | Aurora | Fizz
Radiant Kraken's Fury,S,3.99,-0.51,15.6%,6429,0.4%,Xayah | Kindred | Bel'Veth | Graves | Caitlyn
Radiant Rabadon's Deathcap,S,4.00,-0.50,16.2%,8622,0.6%,Aurelion Sol | Viktor | Twisted Fate | Vex | LeBlanc
Radiant Deathblade,S,4.03,-0.47,16.8%,6485,0.4%,Corki | Jhin | Xayah | Kai'Sa | Samira
Radiant Gargoyle Stoneplate,S,4.11,-0.39,16.7%,25639,1.7%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Jax
Radiant Giant Slayer,S,4.13,-0.37,13.9%,17652,1.2%,Vex | LeBlanc | Bel'Veth | Master Yi | Xayah
Radiant Red Buff,S,4.15,-0.35,15.0%,3788,0.3%,Xayah | Vex | Nami | Kindred | Karma
Radiant Striker's Flail,S,4.17,-0.33,14.9%,7768,0.5%,Kai'Sa | Aurelion Sol | Corki | Vex | Kindred
Radiant Infinity Edge,S,4.19,-0.31,16.4%,12268,0.8%,Jhin | Kai'Sa | Xayah | Samira | Graves
Radiant Last Whisper,A,4.20,-0.30,15.0%,3598,0.2%,Corki | Xayah | Jhin | Samira | Kai'Sa
Radiant Jeweled Gauntlet,A,4.20,-0.30,14.1%,21837,1.5%,Viktor | Aurelion Sol | Nami | LeBlanc | Vex
Radiant Ionic Spark,A,4.21,-0.29,12.4%,3318,0.2%,Illaoi | Nunu & Willump | Blitzcrank | Rammus | Tahm Kench
Radiant Spear of Shojin,A,4.22,-0.28,15.5%,10493,0.7%,Nami | Karma | Zed | Kai'Sa | Samira
Radiant Hextech Gunblade,A,4.22,-0.28,14.1%,6652,0.4%,Vex | LeBlanc | Aurelion Sol | Teemo | Twisted Fate
Radiant Edge of Night,A,4.24,-0.26,12.7%,6738,0.5%,Master Yi | Fiora | Riven | Akali | Zed
Radiant Thief's Gloves,A,4.24,-0.26,13.5%,22449,1.5%,Blitzcrank | Fiora | Shen | Riven | Morgana
Radiant Void Staff,A,4.24,-0.26,13.2%,9283,0.6%,Aurelion Sol | Vex | Nami | LeBlanc | Viktor
Radiant Morellonomicon,A,4.27,-0.23,13.5%,2806,0.2%,Karma | Aurelion Sol | Nami | Bard | Vex
Radiant Hand of Justice,A,4.27,-0.23,12.5%,7667,0.5%,Akali | Fiora | Riven | Master Yi | Graves
Radiant Archangel's Staff,A,4.29,-0.21,11.9%,7188,0.5%,Viktor | Aurelion Sol | Vex | LeBlanc | Nami
Radiant Blue Buff,B,4.32,-0.18,12.8%,4181,0.3%,Kai'Sa | Corki | Karma | Nami | Samira
Radiant Titan's Resolve,B,4.33,-0.17,13.8%,6784,0.5%,The Mighty Mech | Riven | Fiora | Master Yi | Graves
Radiant Sunfire Cape,B,4.33,-0.17,11.3%,14395,1.0%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Quicksilver,B,4.34,-0.16,11.2%,4745,0.3%,Bel'Veth | Graves | Master Yi | Fiora | Riven
Radiant Sterak's Gage,B,4.36,-0.14,14.7%,6899,0.5%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Radiant Protector's Vow,B,4.37,-0.13,12.3%,8124,0.5%,Nunu & Willump | Rammus | Tahm Kench | Jax | Illaoi
Radiant Warmog's Armor,B,4.39,-0.11,11.8%,9857,0.7%,Nunu & Willump | Rammus | Illaoi | The Mighty Mech | Tahm Kench
Radiant Bloodthirster,C,4.41,-0.09,12.4%,8206,0.5%,Riven | Fiora | Master Yi | Graves | Blitzcrank
Radiant Evenshroud,C,4.41,-0.09,11.9%,3206,0.2%,Nunu & Willump | Ornn | Rammus | Tahm Kench | Cho'Gath
Radiant Guinsoo's Rageblade,C,4.41,-0.09,13.6%,26922,1.8%,Vex | LeBlanc | Xayah | Kindred | Jhin
Radiant Spirit Visage,C,4.46,-0.04,11.1%,11128,0.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Radiant Crownguard,C,4.48,-0.02,11.0%,3430,0.2%,Nunu & Willump | Rammus | Jax | Ornn | Tahm Kench
Radiant Steadfast Heart,C,4.48,-0.02,10.9%,4753,0.3%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Dragon's Claw,C,4.48,-0.02,10.6%,7935,0.5%,Nunu & Willump | Rammus | Illaoi | Ornn | The Mighty Mech
Radiant Adaptive Helm,D,4.52,+0.02,10.3%,4471,0.3%,Nunu & Willump | Rammus | Tahm Kench | Jax | Illaoi
Radiant Bramble Vest,D,4.59,+0.09,9.0%,4069,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
