Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Nashor's Tooth,S,3.97,-0.53,15.3%,44157,0.7%,Twisted Fate | Nami | Veigar | Karma | Fizz
Radiant Rabadon's Deathcap,S,4.02,-0.48,14.5%,41862,0.7%,Viktor | Twisted Fate | Aurelion Sol | Vex | Nami
Radiant Infinity Edge,S,4.02,-0.48,19.0%,75799,1.2%,Xayah | Urgot | Kai'Sa | Jhin | Samira
Radiant Last Whisper,S,4.04,-0.46,16.9%,16985,0.3%,Xayah | Jhin | Urgot | Corki | Samira
Radiant Giant Slayer,S,4.05,-0.45,15.1%,89231,1.4%,Urgot | Bel'Veth | Vex | Xayah | LeBlanc
Radiant Deathblade,S,4.07,-0.43,16.4%,31753,0.5%,Xayah | Jhin | Urgot | Kai'Sa | Corki
Radiant Kraken's Fury,S,4.08,-0.42,15.3%,29453,0.5%,Xayah | Bel'Veth | Kindred | Graves | Caitlyn
Radiant Red Buff,S,4.09,-0.41,15.7%,15172,0.2%,Xayah | Nami | Vex | Karma | Jhin
Radiant Gargoyle Stoneplate,S,4.09,-0.41,15.9%,110959,1.7%,The Mighty Mech | Nunu & Willump | Leona | Jax | Rammus
Radiant Jeweled Gauntlet,S,4.16,-0.34,14.0%,83239,1.3%,Viktor | Nami | Aurelion Sol | Vex | Veigar
Radiant Edge of Night,S,4.19,-0.31,13.1%,25936,0.4%,Master Yi | Riven | Akali | Fiora | Meepsie
Radiant Striker's Flail,S,4.19,-0.31,15.1%,30081,0.5%,Kai'Sa | Urgot | Vex | Corki | Aurelion Sol
Radiant Ionic Spark,S,4.19,-0.31,12.0%,12437,0.2%,Illaoi | Nunu & Willump | Rammus | Blitzcrank | Tahm Kench
Radiant Hextech Gunblade,S,4.20,-0.30,13.6%,22090,0.3%,Vex | Teemo | LeBlanc | Aurelion Sol | Talon
Radiant Void Staff,A,4.21,-0.29,12.7%,31936,0.5%,Nami | Aurelion Sol | Viktor | Vex | Karma
Radiant Quicksilver,A,4.21,-0.29,12.4%,29501,0.5%,Urgot | Bel'Veth | Graves | Master Yi | Fiora
Radiant Morellonomicon,A,4.23,-0.27,12.8%,10826,0.2%,Karma | Nami | Aurora | Zoe | Bard
Radiant Thief's Gloves,A,4.24,-0.26,13.2%,96361,1.5%,Blitzcrank | Fiora | Talon | Rhaast | Riven
Radiant Sterak's Gage,A,4.25,-0.25,15.0%,21726,0.3%,The Mighty Mech | Fiora | Briar | Graves | Riven
Radiant Evenshroud,A,4.26,-0.24,14.4%,19400,0.3%,Nunu & Willump | Rammus | Maokai | Ornn | Rek'Sai
Radiant Archangel's Staff,A,4.26,-0.24,11.6%,24752,0.4%,Viktor | Aurelion Sol | Vex | Aurora | Twisted Fate
Radiant Hand of Justice,A,4.27,-0.23,11.6%,32468,0.5%,Akali | Urgot | Fiora | Riven | Meepsie
Radiant Spear of Shojin,A,4.27,-0.23,13.9%,47298,0.7%,Nami | Karma | Zed | Samira | Kai'Sa
Radiant Sunfire Cape,A,4.30,-0.20,12.2%,59399,0.9%,Nunu & Willump | Rammus | Illaoi | Maokai | Tahm Kench
Radiant Titan's Resolve,B,4.30,-0.20,12.8%,24483,0.4%,Riven | The Mighty Mech | Briar | Fiora | Master Yi
Radiant Protector's Vow,B,4.36,-0.14,13.9%,44275,0.7%,Nunu & Willump | Rammus | Maokai | Jax | Illaoi
Radiant Blue Buff,B,4.37,-0.13,11.9%,17760,0.3%,Kai'Sa | Karma | Nami | Corki | Aurora
Radiant Warmog's Armor,B,4.37,-0.13,11.9%,47356,0.7%,Nunu & Willump | Rammus | Illaoi | Leona | Ornn
Radiant Crownguard,B,4.38,-0.12,11.5%,15062,0.2%,Nunu & Willump | Jax | Rammus | Ornn | Maokai
Radiant Bloodthirster,C,4.41,-0.09,11.9%,32142,0.5%,Riven | Fiora | Briar | Graves | Master Yi
Radiant Spirit Visage,C,4.43,-0.07,11.2%,47061,0.7%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Guinsoo's Rageblade,C,4.43,-0.07,14.4%,121513,1.9%,Xayah | Vex | LeBlanc | Kindred | Teemo
Radiant Steadfast Heart,C,4.45,-0.05,11.1%,17877,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Leona
Radiant Bramble Vest,D,4.51,+0.01,9.5%,17780,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Maokai
Radiant Dragon's Claw,D,4.53,+0.03,10.2%,30556,0.5%,Nunu & Willump | Illaoi | Rammus | Ornn | The Mighty Mech
Radiant Adaptive Helm,D,4.54,+0.04,10.8%,19502,0.3%,Nunu & Willump | Rammus | Leona | Jax | Illaoi
