Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.73,-2.77,73.7%,209,0.0%,Illaoi | Fiora | The Mighty Mech | Blitzcrank | Nunu & Willump
Kayle's Radiant Exaltation,S,1.81,-2.69,57.3%,150,0.0%,Jhin | Kindred | LeBlanc | Kai'Sa | Corki
Radiant Gargoyle Stoneplate,S,3.90,-0.60,19.6%,11376,2.2%,The Mighty Mech | Rammus | Ornn | Nunu & Willump | Illaoi
Radiant Rabadon's Deathcap,S,3.93,-0.57,16.5%,3054,0.6%,Aurelion Sol | Twisted Fate | Viktor | Nami | Karma
Radiant Field,S,3.94,-0.56,28.9%,5151,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Fiora
Radiant Nashor's Tooth,S,4.02,-0.48,16.9%,2866,0.6%,Twisted Fate | Nami | Veigar | Karma | Aurora
Radiant Deathblade,S,4.11,-0.39,15.9%,1820,0.4%,Corki | Jhin | Kindred | Kai'Sa | Caitlyn
Radiant Kraken's Fury,S,4.11,-0.39,13.2%,1944,0.4%,Kindred | Xayah | Bel'Veth | Jhin | Caitlyn
Radiant Ionic Spark,S,4.12,-0.38,13.0%,1202,0.2%,Illaoi | Nunu & Willump | Blitzcrank | Rammus | Rhaast
Radiant Jeweled Gauntlet,S,4.14,-0.36,14.7%,8241,1.6%,Viktor | LeBlanc | Aurelion Sol | Nami | Karma
Radiant Striker's Flail,S,4.15,-0.35,15.2%,2706,0.5%,Kai'Sa | Kindred | Corki | Miss Fortune | Jhin
Radiant Giant Slayer,S,4.16,-0.34,13.4%,5934,1.2%,LeBlanc | Kindred | Bel'Veth | Vex | Jhin
Radiant Last Whisper,S,4.16,-0.34,14.7%,1184,0.2%,Corki | Jhin | Kindred | Xayah | Urgot
Radiant Red Buff,A,4.21,-0.29,14.5%,1424,0.3%,Jhin | Xayah | Kindred | Corki | Kai'Sa
Radiant Morellonomicon,A,4.21,-0.29,11.8%,1287,0.3%,Karma | Bard | Nami | Aurelion Sol | Viktor
Radiant Archangel's Staff,A,4.23,-0.27,12.1%,2997,0.6%,Viktor | Aurelion Sol | LeBlanc | Karma | Nami
Radiant Void Staff,A,4.23,-0.27,13.1%,3904,0.8%,Aurelion Sol | Karma | Nami | Vex | LeBlanc
Radiant Sterak's Gage,A,4.24,-0.26,15.6%,3594,0.7%,The Mighty Mech | Fiora | Riven | Master Yi | Graves
Radiant Spear of Shojin,A,4.25,-0.25,14.1%,3231,0.6%,Nami | Karma | Kai'Sa | Corki | Samira
Radiant Hextech Gunblade,A,4.26,-0.24,13.2%,2562,0.5%,LeBlanc | Vex | Aurelion Sol | Teemo | Karma
Radiant Thief's Gloves,A,4.26,-0.24,13.1%,7560,1.5%,Blitzcrank | Rhaast | Fiora | Shen | Riven
Radiant Infinity Edge,A,4.27,-0.23,14.9%,3376,0.7%,Jhin | Kai'Sa | Corki | Kindred | Miss Fortune
Radiant Titan's Resolve,A,4.28,-0.22,14.6%,2866,0.6%,Riven | The Mighty Mech | Fiora | Master Yi | Diana
Radiant Edge of Night,B,4.34,-0.16,13.0%,2146,0.4%,Master Yi | Fiora | Akali | Riven | Pyke
Radiant Sunfire Cape,B,4.35,-0.15,11.1%,4633,0.9%,Nunu & Willump | Rammus | Ornn | Tahm Kench | Illaoi
Radiant Hand of Justice,B,4.39,-0.11,12.0%,2476,0.5%,Fizz | Akali | Fiora | Riven | Master Yi
Radiant Blue Buff,B,4.40,-0.10,12.0%,1358,0.3%,Kai'Sa | Corki | Karma | Nami | Miss Fortune
Radiant Protector's Vow,C,4.41,-0.09,11.3%,2662,0.5%,Nunu & Willump | Illaoi | Rammus | Jax | Tahm Kench
Radiant Warmog's Armor,C,4.44,-0.06,11.5%,3035,0.6%,Rammus | Nunu & Willump | Ornn | Illaoi | Maokai
Radiant Guinsoo's Rageblade,C,4.45,-0.05,13.0%,8920,1.7%,Kindred | LeBlanc | Vex | Jhin | Xayah
Radiant Evenshroud,C,4.45,-0.05,12.6%,879,0.2%,Ornn | Rammus | Nunu & Willump | Tahm Kench | Maokai
Radiant Bloodthirster,C,4.46,-0.04,12.5%,2801,0.5%,Riven | Fiora | Master Yi | Diana | Urgot
Radiant Spirit Visage,C,4.49,-0.01,9.9%,3705,0.7%,Nunu & Willump | Rammus | Ornn | Tahm Kench | Illaoi
Radiant Quicksilver,D,4.50,+0.00,10.8%,1422,0.3%,Bel'Veth | Master Yi | Graves | Fiora | Riven
Radiant Steadfast Heart,D,4.53,+0.03,11.6%,1685,0.3%,Nunu & Willump | Rammus | Tahm Kench | Ornn | Illaoi
Radiant Dragon's Claw,D,4.56,+0.06,9.7%,2756,0.5%,Nunu & Willump | Rammus | Ornn | Illaoi | Tahm Kench
Radiant Adaptive Helm,D,4.58,+0.08,9.7%,1719,0.3%,Karma | Nunu & Willump | Bard | Nami | Rammus
Radiant Crownguard,D,4.60,+0.10,9.5%,1156,0.2%,Rammus | Illaoi | Nunu & Willump | Jax | Tahm Kench
Radiant Bramble Vest,D,4.62,+0.12,9.2%,1266,0.2%,Rammus | Nunu & Willump | Ornn | Illaoi | Tahm Kench
