Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Nashor's Tooth,S,3.91,-0.59,23.1%,1841,0.3%,Lulu | Lissandra | Nami | Karma | Aurelion Sol
Radiant Ionic Spark,S,3.92,-0.58,27.0%,100,0.0%,Illaoi | Nunu & Willump | Blitzcrank | Tahm Kench | The Mighty Mech
Radiant Hextech Gunblade,S,4.07,-0.43,15.3%,457,0.1%,Vex | Aurelion Sol | LeBlanc | Lulu | Karma
Radiant Red Buff,S,4.10,-0.40,16.7%,282,0.1%,Xayah | Vex | Kindred | Corki | Jhin
Radiant Hand of Justice,S,4.13,-0.37,14.3%,428,0.1%,Riven | Master Yi | Gragas | Fiora | Pyke
Radiant Rabadon's Deathcap,S,4.15,-0.35,16.0%,2896,0.5%,Aurelion Sol | Vex | Karma | Lulu | LeBlanc
Radiant Morellonomicon,S,4.17,-0.33,16.1%,168,0.0%,Karma | Milio | Aurelion Sol | Bard | Sona
Radiant Deathblade,A,4.20,-0.30,12.7%,4708,0.9%,Corki | Jhin | Graves | Kai'Sa | Miss Fortune
Radiant Thief's Gloves,A,4.22,-0.28,14.5%,4722,0.9%,Riven | Blitzcrank | Fiora | The Mighty Mech | Morgana
Radiant Sterak's Gage,B,4.30,-0.20,14.3%,470,0.1%,Riven | Fiora | Master Yi | Briar | Graves
Radiant Edge of Night,B,4.32,-0.18,17.7%,1074,0.2%,Master Yi | Zed | Fiora | Riven | Diana
Radiant Giant Slayer,B,4.33,-0.17,13.6%,4534,0.8%,Master Yi | Corki | Vex | Aurelion Sol | Graves
Radiant Infinity Edge,B,4.36,-0.14,14.9%,1083,0.2%,Corki | Jhin | Kai'Sa | Graves | Miss Fortune
Radiant Striker's Flail,B,4.37,-0.13,11.2%,1721,0.3%,Corki | Aurelion Sol | Kai'Sa | Graves | Jhin
Radiant Jeweled Gauntlet,B,4.40,-0.10,15.1%,2622,0.5%,Aurelion Sol | Lulu | Vex | Karma | LeBlanc
Radiant Kraken's Fury,C,4.40,-0.10,14.9%,322,0.1%,Xayah | Kindred | Graves | Jinx | Bel'Veth
Radiant Warmog's Armor,C,4.42,-0.08,12.4%,1066,0.2%,Rammus | Nunu & Willump | Cho'Gath | The Mighty Mech | Tahm Kench
Radiant Sunfire Cape,C,4.42,-0.08,14.0%,264,0.0%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Radiant Last Whisper,C,4.44,-0.06,10.7%,448,0.1%,Corki | Kindred | Jhin | Xayah | Kai'Sa
Radiant Titan's Resolve,C,4.45,-0.05,14.6%,656,0.1%,Diana | Master Yi | Riven | Briar | Fiora
Radiant Gargoyle Stoneplate,D,4.51,+0.01,15.2%,3482,0.6%,The Mighty Mech | Rammus | Nunu & Willump | Jax | Leona
Radiant Spirit Visage,D,4.52,+0.02,14.2%,522,0.1%,Cho'Gath | Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench
Radiant Spear of Shojin,D,4.54,+0.04,18.8%,452,0.1%,Zed | Corki | Lulu | Ezreal | Karma
Radiant Blue Buff,D,4.54,+0.04,11.9%,653,0.1%,Corki | Kai'Sa | Karma | Lulu | Aurelion Sol
Radiant Evenshroud,D,4.60,+0.10,12.1%,107,0.0%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Radiant Void Staff,D,4.62,+0.12,10.6%,501,0.1%,Aurelion Sol | Karma | Vex | Bard | LeBlanc
Radiant Bloodthirster,D,4.62,+0.12,11.9%,436,0.1%,Riven | Diana | Fiora | Briar | Master Yi
Radiant Protector's Vow,D,4.67,+0.17,10.7%,644,0.1%,Nunu & Willump | Rammus | The Mighty Mech | Cho'Gath | Jax
Radiant Bramble Vest,D,4.74,+0.24,9.3%,324,0.1%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Radiant Archangel's Staff,D,4.75,+0.25,10.6%,208,0.0%,Aurelion Sol | Vex | LeBlanc | Karma | Lulu
Radiant Steadfast Heart,D,4.81,+0.31,9.6%,166,0.0%,Rammus | Tahm Kench | The Mighty Mech | Nunu & Willump | Cho'Gath
Radiant Quicksilver,D,4.83,+0.33,9.2%,468,0.1%,Master Yi | Urgot | Bel'Veth | Fiora | Riven
Radiant Crownguard,D,4.84,+0.34,11.3%,195,0.0%,Rammus | Jax | Nunu & Willump | Cho'Gath | Tahm Kench
Radiant Guinsoo's Rageblade,D,4.87,+0.37,14.1%,1217,0.2%,Vex | LeBlanc | Xayah | Kindred | Diana
Radiant Dragon's Claw,D,5.09,+0.59,10.4%,259,0.0%,Rammus | The Mighty Mech | Nunu & Willump | Cho'Gath | Tahm Kench
Radiant Adaptive Helm,D,5.13,+0.63,8.6%,245,0.0%,Nunu & Willump | Aurelion Sol | Rammus | Karma | The Mighty Mech
