Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Nashor's Tooth,S,3.96,-0.54,16.2%,31462,0.7%,Twisted Fate | Nami | Veigar | Karma | Fizz
Radiant Rabadon's Deathcap,S,4.01,-0.49,15.4%,27769,0.6%,Viktor | Aurelion Sol | Twisted Fate | Vex | Nami
Radiant Kraken's Fury,S,4.04,-0.46,15.0%,20495,0.5%,Xayah | Bel'Veth | Kindred | Caitlyn | Graves
Radiant Red Buff,S,4.09,-0.41,16.6%,10805,0.2%,Xayah | Vex | Nami | Jhin | Karma
Radiant Deathblade,S,4.09,-0.41,16.3%,21115,0.5%,Xayah | Jhin | Corki | Kai'Sa | Samira
Radiant Infinity Edge,S,4.10,-0.40,17.8%,44128,1.0%,Xayah | Jhin | Kai'Sa | Samira | Graves
Radiant Last Whisper,S,4.10,-0.40,16.6%,11141,0.2%,Xayah | Corki | Jhin | Samira | Kai'Sa
Radiant Gargoyle Stoneplate,S,4.11,-0.39,16.0%,77187,1.7%,The Mighty Mech | Nunu & Willump | Rammus | Jax | Illaoi
Radiant Giant Slayer,S,4.11,-0.39,14.0%,53848,1.2%,Vex | Bel'Veth | LeBlanc | Xayah | Graves
Radiant Jeweled Gauntlet,S,4.17,-0.33,13.9%,62645,1.4%,Viktor | Nami | Aurelion Sol | Vex | LeBlanc
Radiant Ionic Spark,A,4.20,-0.30,12.4%,9693,0.2%,Illaoi | Nunu & Willump | Blitzcrank | Rammus | Ornn
Radiant Hextech Gunblade,A,4.20,-0.30,13.9%,16766,0.4%,Vex | LeBlanc | Teemo | Aurelion Sol | Talon
Radiant Edge of Night,A,4.21,-0.29,13.0%,19478,0.4%,Master Yi | Akali | Riven | Fiora | Pyke
Radiant Archangel's Staff,A,4.23,-0.27,12.3%,19114,0.4%,Viktor | Aurelion Sol | Vex | LeBlanc | Nami
Radiant Striker's Flail,A,4.23,-0.27,14.6%,23030,0.5%,Kai'Sa | Vex | Corki | Graves | Jhin
Radiant Spear of Shojin,A,4.24,-0.26,14.5%,33286,0.7%,Nami | Karma | Samira | Zed | Kai'Sa
Radiant Thief's Gloves,A,4.24,-0.26,13.5%,68519,1.5%,Blitzcrank | Fiora | Riven | Rhaast | Shen
Radiant Void Staff,A,4.25,-0.25,12.1%,24651,0.6%,Nami | Aurelion Sol | Vex | Karma | Viktor
Radiant Morellonomicon,A,4.26,-0.24,12.8%,7840,0.2%,Karma | Nami | Bard | Zoe | Aurelion Sol
Radiant Hand of Justice,A,4.27,-0.23,12.2%,23201,0.5%,Akali | Fiora | Riven | Graves | Pyke
Radiant Sterak's Gage,A,4.29,-0.21,15.0%,16373,0.4%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Radiant Sunfire Cape,B,4.31,-0.19,11.9%,42536,1.0%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Quicksilver,B,4.33,-0.17,11.0%,14778,0.3%,Bel'Veth | Graves | Master Yi | Fiora | Urgot
Radiant Blue Buff,B,4.34,-0.16,12.5%,12945,0.3%,Kai'Sa | Corki | Karma | Nami | Veigar
Radiant Titan's Resolve,B,4.35,-0.15,12.9%,17667,0.4%,Riven | The Mighty Mech | Fiora | Master Yi | Bel'Veth
Radiant Protector's Vow,B,4.36,-0.14,13.5%,26786,0.6%,Nunu & Willump | Rammus | Jax | Tahm Kench | Illaoi
Radiant Warmog's Armor,B,4.37,-0.13,11.9%,31913,0.7%,Nunu & Willump | Rammus | Illaoi | Ornn | The Mighty Mech
Radiant Evenshroud,B,4.39,-0.11,13.4%,10725,0.2%,Nunu & Willump | Ornn | Rammus | Tahm Kench | Maokai
Radiant Crownguard,B,4.40,-0.10,11.4%,10189,0.2%,Nunu & Willump | Rammus | Jax | Ornn | Illaoi
Radiant Spirit Visage,C,4.41,-0.09,11.4%,33952,0.8%,Nunu & Willump | Rammus | Ornn | Tahm Kench | Illaoi
Radiant Bloodthirster,C,4.43,-0.07,12.5%,23373,0.5%,Riven | Fiora | Master Yi | Graves | Blitzcrank
Radiant Guinsoo's Rageblade,C,4.44,-0.06,13.9%,83649,1.9%,Vex | Xayah | LeBlanc | Kindred | Teemo
Radiant Steadfast Heart,C,4.45,-0.05,11.4%,13664,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
Radiant Dragon's Claw,D,4.53,+0.03,10.3%,23671,0.5%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
Radiant Adaptive Helm,D,4.56,+0.06,10.2%,13061,0.3%,Nunu & Willump | Rammus | Leona | Illaoi | Tahm Kench
Radiant Bramble Vest,D,4.58,+0.08,8.9%,12573,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
