Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Ionic Spark,S,3.85,-0.65,22.6%,62,0.0%,Blitzcrank | Nunu & Willump | Illaoi | Leona | Tahm Kench
Radiant Red Buff,S,4.08,-0.42,21.6%,871,0.2%,Xayah | Vex | Kindred | Jinx | Jhin
Radiant Last Whisper,S,4.09,-0.41,15.7%,286,0.1%,Corki | Kindred | Xayah | Jhin | Samira
Radiant Hextech Gunblade,S,4.12,-0.38,15.5%,220,0.1%,Vex | LeBlanc | Aurelion Sol | Bard | Gwen
Radiant Thief's Gloves,S,4.18,-0.32,14.5%,3216,0.9%,Blitzcrank | Fiora | Riven | Shen | Graves
Radiant Warmog's Armor,S,4.20,-0.30,14.3%,955,0.3%,Ornn | Nunu & Willump | Leona | Cho'Gath | Tahm Kench
Radiant Rabadon's Deathcap,A,4.21,-0.29,14.9%,1398,0.4%,Aurelion Sol | Vex | Bard | LeBlanc | Nami
Radiant Deathblade,A,4.23,-0.27,13.5%,2930,0.8%,Corki | Miss Fortune | Graves | Xayah | Jhin
Radiant Bloodthirster,A,4.24,-0.26,18.4%,245,0.1%,Riven | Diana | Fiora | Jax | Master Yi
Radiant Spear of Shojin,A,4.25,-0.25,17.9%,352,0.1%,Zed | Samira | Graves | Ezreal | Nami
Radiant Evenshroud,A,4.26,-0.24,12.1%,58,0.0%,Tahm Kench | Rammus | Ornn | Nunu & Willump | Maokai
Radiant Hand of Justice,A,4.29,-0.21,13.1%,313,0.1%,Fiora | Riven | Pyke | Gwen | Gragas
Radiant Titan's Resolve,A,4.29,-0.21,15.0%,374,0.1%,Diana | Master Yi | Riven | Fiora | Jax
Radiant Archangel's Staff,A,4.29,-0.21,16.9%,130,0.0%,Vex | Aurelion Sol | LeBlanc | Bard | Nami
Radiant Giant Slayer,B,4.32,-0.18,13.3%,2300,0.6%,Master Yi | Vex | Graves | Corki | Xayah
Radiant Edge of Night,B,4.32,-0.18,13.7%,585,0.2%,Master Yi | Zed | Fiora | Pyke | Riven
Radiant Void Staff,B,4.34,-0.16,14.6%,308,0.1%,Vex | Bard | Sona | Aurelion Sol | Karma
Radiant Nashor's Tooth,B,4.35,-0.15,14.0%,970,0.3%,Nami | Lulu | Lissandra | Karma | Sona
Radiant Infinity Edge,B,4.36,-0.14,15.0%,873,0.2%,Miss Fortune | Jhin | Graves | Corki | Xayah
Radiant Blue Buff,B,4.36,-0.14,14.1%,355,0.1%,Corki | Sona | Nami | Lulu | Karma
Radiant Kraken's Fury,B,4.36,-0.14,20.5%,1012,0.3%,Xayah | Kindred | Jinx | Miss Fortune | Graves
Radiant Sterak's Gage,B,4.37,-0.13,12.3%,300,0.1%,Fiora | Graves | Riven | Master Yi | Urgot
Radiant Striker's Flail,C,4.41,-0.09,12.1%,792,0.2%,Corki | Graves | Miss Fortune | Vex | Jhin
Radiant Bramble Vest,C,4.42,-0.08,8.9%,213,0.1%,Rammus | Ornn | Tahm Kench | Nunu & Willump | Leona
Radiant Crownguard,C,4.42,-0.08,16.2%,117,0.0%,Ornn | Rammus | Nunu & Willump | Jax | Tahm Kench
Radiant Protector's Vow,C,4.45,-0.05,15.7%,408,0.1%,Nunu & Willump | Rammus | Cho'Gath | Ornn | Leona
Radiant Quicksilver,C,4.48,-0.02,11.5%,270,0.1%,Master Yi | Graves | Fiora | Bel'Veth | Urgot
Radiant Dragon's Claw,C,4.48,-0.02,10.6%,180,0.0%,Ornn | Leona | Rammus | Tahm Kench | Nunu & Willump
Radiant Morellonomicon,D,4.51,+0.01,15.5%,148,0.0%,Sona | Karma | Bard | Vex | Milio
Radiant Adaptive Helm,D,4.53,+0.03,14.6%,212,0.1%,Nunu & Willump | Leona | Cho'Gath | Rammus | Zed
Radiant Jeweled Gauntlet,D,4.55,+0.05,12.3%,1385,0.4%,Vex | Aurelion Sol | Bard | Nami | Lulu
Radiant Gargoyle Stoneplate,D,4.55,+0.05,14.2%,1632,0.4%,The Mighty Mech | Leona | Ornn | Rammus | Nunu & Willump
Radiant Spirit Visage,D,4.58,+0.08,11.4%,431,0.1%,Ornn | Nunu & Willump | Cho'Gath | Tahm Kench | Leona
Radiant Sunfire Cape,D,4.67,+0.17,9.4%,139,0.0%,Ornn | Tahm Kench | Rammus | Nunu & Willump | Cho'Gath
Radiant Guinsoo's Rageblade,D,4.83,+0.33,11.5%,1245,0.3%,Vex | Xayah | LeBlanc | Graves | Miss Fortune
Radiant Steadfast Heart,D,4.88,+0.38,8.2%,122,0.0%,Ornn | Rammus | Tahm Kench | Nunu & Willump | Cho'Gath
