Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Morellonomicon,S,3.86,-0.64,23.1%,91,0.0%,Zoe | Karma | Milio | Lissandra | Lulu
Radiant Nashor's Tooth,S,3.90,-0.60,21.9%,1113,0.3%,Lulu | Twisted Fate | Veigar | Karma | Nami
Radiant Titan's Resolve,S,3.97,-0.53,13.0%,806,0.2%,Briar | Master Yi | Riven | Fiora | Diana
Radiant Deathblade,S,3.99,-0.51,15.6%,1691,0.5%,Corki | Kai'Sa | Jhin | Ezreal | Kindred
Radiant Rabadon's Deathcap,S,4.07,-0.43,16.5%,849,0.3%,Teemo | Twisted Fate | Lulu | Vex | Aurelion Sol
Radiant Hand of Justice,S,4.11,-0.39,14.3%,398,0.1%,Master Yi | Riven | Briar | Fiora | Gragas
Radiant Protector's Vow,S,4.15,-0.35,14.3%,321,0.1%,Nunu & Willump | Jax | Rammus | Leona | Cho'Gath
Radiant Hextech Gunblade,S,4.17,-0.33,15.0%,333,0.1%,Teemo | Vex | LeBlanc | Twisted Fate | Talon
Radiant Adaptive Helm,S,4.17,-0.33,16.4%,116,0.0%,Lulu | Leona | Jax | Cho'Gath | Karma
Radiant Striker's Flail,A,4.21,-0.29,15.9%,949,0.3%,Corki | Kai'Sa | Jhin | Kindred | Ezreal
Radiant Warmog's Armor,A,4.21,-0.29,16.0%,799,0.2%,Leona | Rammus | Jax | Cho'Gath | Tahm Kench
Radiant Infinity Edge,A,4.24,-0.26,17.7%,1239,0.4%,Kai'Sa | Corki | Jhin | Urgot | Xayah
Radiant Giant Slayer,A,4.26,-0.24,14.2%,3409,1.0%,Master Yi | Corki | Urgot | Kai'Sa | Bel'Veth
Radiant Sterak's Gage,A,4.27,-0.23,13.2%,680,0.2%,Briar | Master Yi | Fiora | Riven | The Mighty Mech
Radiant Gargoyle Stoneplate,A,4.28,-0.22,18.0%,2816,0.8%,The Mighty Mech | Leona | Jax | Rammus | Nunu & Willump
Radiant Dragon's Claw,A,4.29,-0.21,13.3%,90,0.0%,Cho'Gath | Leona | Jax | Rammus | Maokai
Radiant Red Buff,B,4.30,-0.20,15.8%,165,0.0%,Xayah | Kindred | Corki | Vex | Kai'Sa
Radiant Crownguard,B,4.30,-0.20,11.6%,112,0.0%,Jax | Rammus | Leona | Cho'Gath | Tahm Kench
Radiant Thief's Gloves,B,4.31,-0.19,13.4%,2497,0.7%,Fiora | Riven | Blitzcrank | Talon | Urgot
Radiant Sunfire Cape,B,4.32,-0.18,10.3%,175,0.1%,Tahm Kench | Rammus | Leona | Jax | Nunu & Willump
Radiant Blue Buff,B,4.33,-0.17,13.7%,498,0.1%,Kai'Sa | Corki | Lulu | Karma | Ezreal
Radiant Kraken's Fury,B,4.33,-0.17,16.6%,331,0.1%,Kindred | Xayah | Bel'Veth | Graves | Master Yi
Radiant Bloodthirster,B,4.35,-0.15,10.1%,396,0.1%,Briar | Riven | Fiora | Master Yi | Diana
Radiant Spirit Visage,B,4.37,-0.13,17.1%,356,0.1%,Leona | Cho'Gath | Jax | Rammus | The Mighty Mech
Radiant Last Whisper,C,4.40,-0.10,11.1%,289,0.1%,Kindred | Corki | Kai'Sa | Jhin | Urgot
Radiant Edge of Night,C,4.42,-0.08,12.9%,877,0.3%,Master Yi | Fiora | Zed | Riven | Pyke
Radiant Steadfast Heart,C,4.44,-0.06,11.8%,110,0.0%,Leona | Rammus | Jax | Tahm Kench | Cho'Gath
Radiant Jeweled Gauntlet,C,4.45,-0.05,14.4%,803,0.2%,Lulu | Karma | Aurelion Sol | Vex | LeBlanc
Radiant Spear of Shojin,C,4.45,-0.05,19.8%,343,0.1%,Zed | Ezreal | Kai'Sa | Corki | Lulu
Radiant Bramble Vest,C,4.46,-0.04,11.8%,321,0.1%,Rammus | Leona | Jax | Tahm Kench | Nunu & Willump
Radiant Ionic Spark,C,4.48,-0.02,4.5%,44,0.0%,Leona | Nunu & Willump | Illaoi | Maokai | Jax
Radiant Evenshroud,C,4.49,-0.01,15.1%,106,0.0%,Tahm Kench | Rammus | Rek'Sai | Cho'Gath | Maokai
Radiant Void Staff,D,4.58,+0.08,12.4%,234,0.1%,Vex | Karma | Zoe | LeBlanc | Teemo
Radiant Archangel's Staff,D,4.67,+0.17,12.5%,144,0.0%,Teemo | Aurelion Sol | LeBlanc | Vex | Twisted Fate
Radiant Quicksilver,D,4.78,+0.28,9.2%,545,0.2%,Master Yi | Bel'Veth | Urgot | Riven | Fiora
Radiant Guinsoo's Rageblade,D,4.80,+0.30,12.6%,835,0.2%,Vex | Teemo | Xayah | LeBlanc | Kindred
